😀	mặt, mặt cười toét, toe toét
😃	cười, miệng, mặt, mặt cười miệng há với mắt to, mặt cười tươi với hai mắt mở to, mở
😄	cười, miệng, mắt, mặt, mặt cười miệng há mắt cười, mở
😁	cười, mắt, mặt, mặt cười toét mắt cười, toe toét
😆	cười, cười to, hài lòng, miệng, mặt, mặt cười miệng há mắt nhắm chặt
😅	cười, lạnh, mặt, mặt cười miệng há mồ hôi, mồ hôi, mở
🤣	cười, lăn, mặt, mặt cười lăn cười bò, sàn
😂	cười, mặt, mặt cười với nước mắt vui sướng, nước mắt, vui sướng
🙂	cười, mặt, mặt cười mỉm
🙃	lộn ngược, mặt, mặt lộn ngược
😉	mặt, mặt nháy mắt, nháy mắt
😊	cười, mắt, mặt, mặt mỉm cười với hai mắt híp lại, đỏ mặt
😇	giả tưởng, hào quang, mặt, mặt cười có hào quang, ngây thơ, thiên thần
🥰	mặt cười với 3 trái tim, phải lòng, yêu, yêu quý
😍	cười, mắt, mặt, mặt cười mắt hình trái tim, yêu
🤩	cười toét, mắt, mặt, ngôi sao, ngưỡng mộ
😘	hôn, mặt, mặt đang hôn gió
😗	hôn, mặt, mặt hôn
☺️	cười, mặt, mặt cười, thoải mái, thư giãn
😚	hôn, mắt, mặt, mặt hôn mắt nhắm, nhắm
😙	cười, hôn, mắt, mặt, mặt hôn mắt cười
😋	cười, mặt, mặt thưởng thức món ngon, ngon, ngon tuyệt, thưởng thức
😛	lưỡi, mặt, mặt lè lưỡi
😜	lưỡi, mắt, mặt, mặt lè lưỡi nháy mắt, nháy mắt, nói đùa
🤪	lớn, mắt, mặt làm trò hề, ngốc, nhỏ
😝	hương vị, kinh khủng, lưỡi, mắt, mặt, mặt thè lưỡi mắt nhắm chặt
🤑	miệng, mặt, mặt có tiền ở miệng, tiền
🤗	mặt, mặt ôm, ôm
🤭	mặt với tay che miệng, xin lỗi
🤫	im lặng, mặt ra dấu suỵt, suỵt
🤔	mặt, mặt suy nghĩ, đang suy nghĩ
🤐	khóa kéo, miệng, mặt, mặt có miệng bị kéo khóa
🤨	hoài nghi, mặt với lông mày rướn lên, ngờ vực
😐️	mặt, mặt ngây ra bất động, mặt trung lập, trung lập
😑	không diễn cảm, mặt, mặt vô cảm, thản nhiên, vô cảm
😶	miệng, mặt, mặt không có miệng, yên lặng, ít nói
😏	cười khẩy, mặt, mặt cười khẩy
😒	buồn, không vui, mặt, mặt buồn
🙄	mắt, mặt, mặt có mắt đu đưa, đu đưa
😬	mặt, mặt nhăn nhó, nhăn nhó
🤥	mặt, mặt nói dối, nói dối, pinocchio
😌	mặt, mặt nhẹ nhõm, nhẹ nhõm
😔	mặt, mặt trầm ngâm, thất vọng, trầm ngâm
😪	buồn ngủ, mặt, mặt buồn ngủ
🤤	chảy dãi, mặt, mặt chảy dãi
😴	mặt, mặt đang ngủ, ngủ, zzz
😷	bác sĩ, lạnh, mặt, mặt nạ, mặt đeo khẩu trang y tế, ốm
🤒	mặt, mặt có miệng ngậm nhiệt kế, mệt, nhiệt kế, ốm
🤕	băng, mặt, mặt đeo băng đầu, vết thương, đau
🤢	buồn nôn, mặt, mặt buồn nôn, nôn mửa
🤮	mặt nôn mửa, nôn mửa, ốm
🤧	hắt hơi, mặt, mặt hắt hơi, sức khỏe
🥵	mặt nóng, nóng, sốc nhiệt, sốt, đỏ mặt, đổ mồ hôi
🥶	lạnh, lạnh cứng, mặt lạnh, mặt xanh, tê cóng, đóng băng
🥴	chóng mặt, chếnh choáng, miệng uốn lượn, mắt đảo điên, mặt choáng váng, say xỉn
😵	chóng mặt, mặt, mặt chóng mặt
🤯	bị sốc, đầu nổ tung
🤠	cao bồi, mũ, mặt, mặt đội mũ cao bồi, nữ cao bồi
🥳	buổi tiệc, lễ kỷ niệm, mũ, mặt tiệc tùng, sừng
😎	kính, mặt, mặt cười đeo kính, mặt trời, phong cách, sáng
🤓	mặt, mặt mọt sách, mọt sách, đam mê
🧐	mặt với kính một mắt, ngột ngạt
😕	bối rối, mặt, mặt bối rối
😟	lo lắng, mặt, mặt lo lắng
🙁	cau mày, mặt, mặt hơi cau mày
☹️	cau mày, mặt, mặt cau mày
😮	miệng, mặt, mặt có miệng há, mở, thông cảm
😯	choáng váng, làm thinh, mặt, mặt làm thinh, ngạc nhiên
😲	hoàn toàn, kinh ngạc, mặt, mặt kinh ngạc, sốc
😳	choáng váng, mặt, mặt đỏ ửng, đỏ mặt
🥺	lòng thương, mắt cún con, mặt cầu xin, xin xỏ
😦	miệng, mặt, mặt cau miệng há, mở, nhăn mặt
😧	mặt, mặt đau khổ, đau khổ
😨	kinh hãi, mặt, mặt sợ hãi, sợ, sợ hãi
😰	lạnh, mặt, mặt lo lắng và toát mồ hôi, mặt lo lắng và toát mồ hôi mồ hôi, vội vã, xanh da trời
😥	mặt, mặt thất vọng nhưng nhẹ nhõm, ngạc nhiên, nhẹ nhõm, thất vọng
😢	buồn, khóc, mặt, mặt khóc, nước mắt
😭	buồn, khóc, mặt, mặt khóc to, nước mắt, thổn thức
😱	kinh sợ, la hét, mặt, mặt la hét kinh hãi, sợ, sợ hãi
😖	mặt, mặt xấu hổ, xấu hổ
😣	kiên nhẫn, mặt, mặt kiên nhẫn
😞	mặt, mặt thất vọng, thất vọng
😓	lạnh, mặt, mặt chán nản với mồ hôi, mồ hôi
😩	kiệt sức, mặt, mặt kiệt sức, mệt mỏi
😫	mặt, mặt mệt mỏi, mệt mỏi
🥱	chán, mặt đang ngáp, mệt mỏi, ngáp
😤	chiến thắng, hân hoan, mặt, mặt có mũi đang phì hơi
😡	cơn thịnh nộ, hờn dỗi, mặt, mặt hờn dỗi, tức giận, điên, đỏ
😠	mặt, mặt giận giữ, tức giận, điên
🤬	chửi rủa, mặt có các ký hiệu trên miệng
😈	cười, mặt, mặt cười có sừng, sừng, truyện cổ tích, tưởng tượng
👿	ma quỷ, mặt, mặt giận dữ có sừng, mặt giận giữ có sừng, quỷ, tiểu yêu, tưởng tượng
💀	cái chết, mặt, quái vật, truyện cổ tích, đầu lâu
