😀	Gesicht, grinsendes Gesicht, lol, lustig
😃	Gesicht, grinsendes Gesicht mit großen Augen, lol, lustig, lächeln
😄	Gesicht, grinsendes Gesicht mit lachenden Augen, lol, lustig
😁	Gesicht, Zähne, lustig, strahlendes Gesicht mit lachenden Augen
😆	Gesicht, geschlossene Augen, grinsendes Gesicht mit zusammengekniffenen Augen, offener Mund
😅	Gesicht, Schweiß, grinsendes Gesicht mit Schweißtropfen, lustig, schwitzen
🤣	Gesicht, lachen, sich vor Lachen auf dem Boden wälzen
😂	Gesicht, Gesicht mit Freudentränen, Tränen, lachen
🙂	Gesicht, Lächeln, leicht lächelndes Gesicht, lächelnd
🙃	Gesicht, auf dem Kopf stehen, umgekehrtes Gesicht
😉	Gesicht, Zwinkern, zwinkerndes Gesicht
😊	Freude, Gesicht, erröten, lächelndes Gesicht mit lachenden Augen, rote Wangen
😇	Gesicht, Heiligenschein, Lächeln, lächelndes Gesicht mit Heiligenschein
🥰	anhimmeln, lächelndes Gesicht mit Herzen, verknallt, verliebt
😍	Gesicht, lächelndes Gesicht mit herzförmigen Augen, verliebt
🤩	Augen, Gesicht, Grinsen, Stern, überwältigt
😘	Gesicht, Kuss, Kuss zuwerfendes Gesicht
😗	Gesicht, Kuss, küssendes Gesicht
☺️	Lächeln, fröhlich, lächelnd, lächelndes Gesicht
😚	Gesicht, küssendes Gesicht mit geschlossenen Augen, rote Wangen
😙	Gesicht, Kuss, küssendes Gesicht mit lächelnden Augen, lächelnde Augen
😋	Gesicht, lecker, leckeres Essen, sich die Lippen leckendes Gesicht
😛	Gesicht, Gesicht mit herausgestreckter Zunge, herausgestreckte Zunge
😜	Gesicht, Zwinkern, herausgestreckte Zunge, zwinkerndes Gesicht mit herausgestreckter Zunge
🤪	Auge, groß, irres Gesicht, klein
😝	Gesicht, Gesicht mit herausgestreckter Zunge und zusammengekniffenen Augen, herausgestreckte Zunge
🤑	Geld, Gesicht, Gesicht mit Dollarzeichen, Mund
🤗	Gesicht, Gesicht mit umarmenden Händen, Umarmung, umarmen
🤭	Huch, verlegen kicherndes Gesicht
🤫	ermahnendes Gesicht, leise, pst
🤔	Gesicht, nachdenken, nachdenkendes Gesicht, nachdenklich
🤐	Gesicht, Gesicht mit Reißverschlussmund, Mund, Reißverschluss
🤨	Gesicht mit hochgezogenen Augenbrauen, argwöhnisch, skeptisch
😐️	Gesicht, kein Kommentar, neutrales Gesicht
😑	Gesicht, ausdrucksloses Gesicht, kein Kommentar
😶	Gesicht, Gesicht ohne Mund, kein Mund, sprachlos
😏	Gesicht, selbstgefällig grinsendes Gesicht
😒	Gesicht, unglücklich, verstimmtes Gesicht
🙄	Augen verdrehen, Augen verdrehendes Gesicht, Gesicht
😬	Gesicht, Grimasse, Grimassen schneidendes Gesicht, Zähne
🤥	Gesicht, Lüge, Pinocchio-Nase, lügendes Gesicht
😌	Gesicht, erleichtert, erleichtertes Gesicht, geschlossene Augen
😔	Gesicht, nachdenklich, nachdenkliches Gesicht
😪	Gesicht, müde, schläfriges Gesicht
