😀	бет, езу тарту, езу тартып күлу
😃	аузын ашып күлу, ауыз, ашық, бет, жымию
😄	аузын ашып, ыржиып тұрып күлу, ауыз, ашық, бет, жымию, көз
😁	бал-бұл жайнап күлу, бет, езу тарту, күлу, көз
😆	аузын ашып, көзін жұмып күлу, ауыз, ашық, бет, жымию, күлкі, қанағаттану
😅	жымию, күлу, сасқалақтап, сасқалақтап күлу, тер
🤣	бет, күлу, ішек-сілесі, ішек-сілесі қатып күлу
😂	бет, жас, күлкі, көзден жас шыққанша күлу, қуаныш
🙂	бет, жымию
🙃	бет, мысқыл
😉	бет, көз қысу
😊	ажар, жымию, күлу, риза болып күлу
😇	бейуаз, бейуаз күлкі, бет, жымию, кінәсіз, періште, хало, қиял
🥰	жақсы көру, жүрекшелері бар бет, ғашық
😍	бет, көз, махаббат, сүйсініп қарау
🤩	бет, желігу, көз
😘	бет, көзді қысып қойып сүю, сүю
😗	бет, сүю
☺️	бет, еркін, жымию, күлу, сызулы
😚	бет, көзді жұмып, көзді жұмып тұрып сүю, сүю
😙	бет, күліп сүю, көз, сүю
😋	бет, дәмді, күлу, тілін шығарып күлу
😛	бет, тіл, тілін шығару
😜	бет, көз, көз қысу, көзін қысып, тілін шығару, тіл, тілін шығарып, көзін қысу, қалжың
🤪	жынды
😝	бет, дәмі, жеркенішті, көз, көзін жұмып, тілін шығару, тіл, тілін шығарып, көзін жұму
🤑	ауыз, ақша, ақшадан көз айырмау, бет
🤗	бет, құшақ, құшақтау
🤭	айтып қою, аузын қолмен жауып күлу
🤫	сөйлеме, тыныш, үндеме
🤔	бет, ойлану
🤐	ауыз, бет, сыдырма ілгек, сөйлемеу
🤨	күмәндану, сенбеу
😐️	бет, бәрібір, енжар
😑	бет, сезімсіз, эмоциясыз
😶	аузы жоқ бет, ауыз, бет, тыныш, үнсіз
😏	бет, көз, мырс-мырс күлу
😒	бет, қуанышты емес, қызық емес
🙄	бет, көз, көз алару, көзі алару
😬	бет, бет-аузын қисайту
🤥	Пиноккио, өтірік, өтірікші
😌	бет, жеңілдеп қалу
😔	бет, мұңды, ойлы
😪	бет, ұйқы, ұйқы басу
🤤	ағып, сілекей, сілекейі ағып тұр, тұр
😴	бет, ұйықтау, ұйқы
😷	ауру, ауырып қалу, бет, дәрігер, маска, медициналық маскасы бар бет, суық
🤒	ауру, бет, дене қызуы артқан, науқас, термометр, қызуы көтерілген
🤕	бандаж, басы бинттелген, бет, жарақат алу, соғу
🤢	бет, жүрегі айнып тұр, құсқысы келіп тұр
🤮	ауыру, құсу
🤧	бет, түшкіру
🥵	жылу соққысы, терлеп тұр, ыстық, ыстықтаған бет, қызарған
🥶	жаураған бет, көгерген, мұздату, мұздаған, суық, сүңгі
🥴	бас жазған, басы айналған, екі түрлі көз, мастанған, әлсіреген жүз
😵	басы айналу, бет
🤯	бас жарылғалы тұр
🤠	ковбой, ковбой қалпағы, қалпақ
🥳	кеш, мүйіз, тойлау, шляпа
😎	бет, көзілдірік, көзілдірік тағып жымию, мықты
🤓	білгішсымақ, көзілдірік таққан
🧐	менсінбеу, монокль тағу
😕	абдырау, бет
😟	бет, уайымдау
🙁	аздап тұнжырау, бет, тұнжырау
☹️	бет, тұнжырау, тұнжыраған
😮	аузы ашылу, аң-таң болу, бет, таңдану
😯	бет, таңдану, таңырқату, таңғалу
😲	аң-таң, аң-таң болу, бет, таң қалу
😳	аң-таң, бет, таңырқаған
🥺	жалыну, жалынған жүз, кешірім сұраған, мөлдіреген көздер, рақымшыл
😦	аузын ашып, бұртию, ауыз, ашық, бет, бұртию
😧	бет, қиналу
😨	бет, шошу, шошып кету, қорыққан, қорқынышты
😰	аузын ашып, суық терін шығару, ашық, бет, көк, мұңды, суық, тер, қатты қобалжу
😥	бет, жеңілдену, түңілу, уфф
😢	бет, жылау, көз жасы, ренжіген
😭	айқайлап жылау, бет, боздау, жылау, көз жасы, ренжіген
😱	айқайлау, бет, зәресі ұшу, сылпылдату, қорыққан, қорқыныш, қорқынышты, үріккен
😖	бет, есі шығу
😣	бет, шыдамдылық
😞	бет, түңілген, түңілу
😓	бет, суық тер, тер, қатты шаршап терлеу, қатты шаршап, терлеу
😩	беті, шаршаған, қалжырау, қалжыраған
😫	бет, шаршау, қатты шаршау
🥱	есінеу, іші пысу, қатты шаршау
😤	бет, жеңген, жеңіс
😡	ашу, ашулану, ашулы, бет, ернін бұлтитқан бет, ернін бұртиту, қызыл
😠	ашулы, бет, жынданған
🤬	балағаттау, боқтау, цензура, ұрысу
😈	жымию, күлімдеген ібіліс, мүйіз, ібіліс, қиял
👿	ашулану, ашуланған ібіліс, мүйіз, ібіліс, қиял
💀	бас сүйек, бет, ертегі, қаңқа, құбыжық, өлім
☠️	айқас сүйектер, бас сүйек пен сүйектер, бет, қаңқа, қаңқа мен сүйек, құбыжық, өлім
💩	бет, боқ, комик, тезек, тезек үйіндісі, тыңайту, құбыжық
🤡	бет, клоун
👹	бет, ертегі, жалмауыз, мақұлұқ, қиял, құбыжық
👺	бет, гоблин, ертегі, қиял, құбыжық
👻	аруақ, бет, елес, ертегі, құбыжық
👽️	аруақ, бет, гуманоид, ертегі, қиял
👾	басқа планетадан келген құбыжық, басқа планеталық, басқа планеталық құбыжық, белгісіз ұшатын нысан, бет, қиял, өзге әлемдік
🤖	бет, робот, құбыжық
😺	аузын ашқан мысық, ауыз, ашық, бет, жымию, күлімдеген мысық, мысық
😸	бет, жымию, күліп тұрған мысық, көз, көздері күліп, ыржиып тұрған мысық, мысық, ыржию
😹	бет, көз жасы, көзінен жас шыққанша күлген мысық, мысық, қатып күліп жатқан мысық, қуаныш
😻	бет, жымию, көз, махаббат, мысық, сүйсініп тұрған мысық, сүйсініп қарап тұрған мысық
😼	бет, жымию, мырс-мырс күліп тұрған мысық, мысық, мысқыл, қыжырта өтірік күлімсіреген мысық, өтірік күлу
😽	бет, көз, көздері жұмылып, сүйіп тұрған мысық, мысық, сүйіп тұрған мысық, өбіс
🙀	зәресі ұшқан, зәресі ұшқан мысық, мысық, таңырқаған
😿	бет, жылап тұрған мысық, жылау, көз жасы, мысық, мұңды
😾	ашулану, ашуланған мысық, бет, мысық
🙈	бет, зиян, көзін жауып тұрған маймыл, көру, көруге болмайды, маймыл, рұқсат етілмеген, қимыл
🙉	бет, есту, зиянды, маймыл, рұқсат етілмеген, тыңдауға болмайды, құлағын жауып тұрған маймыл
🙊	аузын жауып тұрған маймыл, бет, зиянды, маймыл, рұқсат етілмеген, сөйлеу, сөйлеуге болмайды
💋	белгі, ерін, жүрек, романтика, өбіс
💌	жүрек, махаббат, пошта, сүйіспеншілік хаты, хат
💘	купидон, көрсеткі, романтика
💝	валентин, жүрек, таспа, таспалы жүрек
💖	жылтырау, жылтыраған жүрек, жүрек, көңіл-күйі көтеріңкі
💗	жүрек соғысы, күйінгіш, көңіл-күйі көтеріңкі, үлкейетін жүрек, өсу
