😀	seja, smaids, smiekli
😃	atvērts, mute, plats smaids un lielas acis, seja, smaids
😄	atvērts, mute, seja, smaidoša seja ar atvērtu muti un smaidošām acīm, smaids
😁	plats smaids un smaidošas acis, seja, smaids, smīns
😆	atvērts, laimīgs, mute, seja, smaidoša seja ar atvērtu muti un aizmiegtām acīm, smaids, smiekli
😅	atvērts, auksts, plats smaids ar sviedru lāsi, seja, smaids, sviedri
🤣	grīda, seja, smieties, vārtās smieklos pa grīdu
😂	asaras, prieks, seja, seja ar prieka asarām, smiekli
🙂	seja, seja ar vieglu smaidu, smaids
🙃	apgriezta seja, apgriezts, otrādi, seja
😉	acs, miegt, mirkšķināt, seja, seja ar piemiegtu aci
😊	nosarkt, prieks, seja, smaidoša seja ar smaidošām acīm, smaids
😇	eņģelis, nevainīgs, nimbs, seja, smaidoša seja ar nimbu, smaids, svētais
🥰	aizrāvies, dievināt, iemīlējies, smaidoša seja ar sirsniņām
😍	acs, mīlestība, seja, sirds, smaidoša seja ar sirds formas acīm, smaids
🤩	acis, seja, smaidīt, zvaigznes, zvaigžņu pārņemts
😘	seja, sirds, skūpstoša seja, skūpsts
😗	seja, seja sniedz skūpstu, skūpsts
☺️	mierīgs, prieks, seja, smaidoša seja, smaids
😚	acs, aizvērts, seja, seja ar aizvērtām acīm sniedz skūpstu, skūpsts, smaids
😙	seja, seja ar smaidošām acīm sniedz skūpstu, skūpsts, smaids
😋	garšīgs, seja, smaids, ēdienu baudoša seja, ņamm
😛	mēle, seja, seja ar izbāztu mēli
😜	acs, miegt, mirkšķināt, mēle, seja, seja ar izbāztu mēli un piemiegtu aci
🤪	acs, liels, mazs, traka seja
😝	acs, garša, mēle, negaršīgs, seja, seja ar izbāztu mēli un aizmiegtām acīm
🤑	mute, nauda, seja, seja ar naudu mutē
🤗	apskaut, apskāviens, seja, seja ar apskāvienu
🤭	seja ar roku pār muti, vai
🤫	klusināt, klusēt, kuš, šušinoša seja, šušināt
🤔	domāt, domīga seja, seja
🤐	ciet, mute, rāvējslēdzējs, seja, seja ar rāvējslēdzēju mutes vietā
🤨	neuzticīgs, seja ar paceltām uzacīm, skeptisks
😐️	bez izteiksmes, neitrāla seja, neitrāls, neizteiksmīgs, seja
😑	bez izteiksmes, neizteiksmīgs, seja, seja bez izteiksmes
😶	kluss, mute, seja, seja bez mutes
😏	seja, smīnoša seja, smīns, viltīgs
😒	dusmas, dusmīgs, saīdzis, saīgusi seja, seja
🙄	acis, neapmierināts, pārgriezt, seja, seja ar pārgrieztām acīm
😬	grimase, saviebta seja, seja
🤥	meli, melojoša seja, pinokio, seja
😌	atvieglojums, seja, seja ar atvieglojuma izteiksmi
😔	domās iegrimusi seja, domīgs, pārdomas, seja
😪	gulēt, miegaina seja, miegs, seja
🤤	seja, siekalas, siekalojas
😴	gulēt, guļoša seja, seja, žāvāties
😷	maska, medicīna, seja, seja ar medicīnas masku, slims, ārsts
🤒	seja, seja ar termometru, slims, termometrs
🤕	apsējs, ievainojums, seja, seja ar galvas apsēju
🤢	nelabums, seja, slimība
🤮	nelabums, slimība, vemjoša seja
🤧	seja, šķauda
🥵	drudzī, karstuma dūriens, nosvīdis, piesārtusi seja, sarkanu seju, saules dūriens
🥶	apsaldējies, auksta seja, auksts, lāstekas, nozilējis, stindzinošs
🥴	apreibis, noreibusi seja, piedzēries, šķību muti, šķībām acīm
😵	apreibis, apreibusi seja, seja
🤯	eksplodējoša galva, šokēts
🤠	cepure, kovbojs, seja, seja ar kovboja cepuri, seja kovboja cepurē
🥳	ballīte, ballīšu seja, cepure, svinības, taurīte
😎	saulesbrilles, seja, smaidoša seja ar saulesbrillēm, smaids, stilīgs
🤓	briļļainais, gudrītis, seja
🧐	seja ar monokli, vecmodīga
😕	apjucis, apjukums, apjukusi seja, seja
😟	noraizējies, noraizējusies seja, rūpes, seja
🙁	bēdas, bēdīgs, nedaudz bēdīga seja, seja
☹️	bēdas, bēdīga seja, bēdīgs, seja
