😀	দেঁতো হাসি, মুখ, মুখে দেঁতো হাসি
😃	খোলা, ঠোঁট, বড় বড় চোখ করে হাসি মুখ, মুখ, হাসি
😄	খোলা, খোলা মুখে চোখে হাসির সাথে মুখে হাসি, চোখ, ঠোঁট, মুখ, হাসি
😁	চোখ, চোখে হাসির সাথে মুখে দেঁতো হাসি, দেঁতো হাসি, মুখ, হাসি
😆	খোলা, জোরে হাসা, ঠোঁট, মুখ, মুখে হাসির সাথে মুখ খোলা এবং এঁটে চোখ বন্ধ করা, সন্তুষ্ট, হাসি
😅	খোলা, ঘর্মাক্ত অবস্থা, ঠান্ডা, মুখ, মুখ খোলা এবং ঠাণ্ডা ঘামের সাথে মুখে হাসি, হাসি
🤣	গড়াগড়ি, মাটি, মুখ, হাসি, হেসে মাটিতে লুটোপুটি খাওয়া
😂	আনন্দ, আনন্দের কান্না ভরা মুখ, কান্না, জোরে হাসা, মুখ
🙂	মুখ, মুখে সামান্য হাসি, হাসি
🙃	ওল্টানো চেহারা, মাথাটা নিচে তলাটা উপরে এমন মুখ, মুখ
😉	চোখ মারা, মুখ
😊	গালে লজ্জার গোলাপী আভা, চোখ, চোখে হাসির সাথে মুখে হাসি, মুখ, হাসি
😇	কল্পনা, জ্যোতির্বলয়, দেবদূত, নিরীহ, মাথায় চক্রের সাথে মুখে হাসি, মুখ, রূপকথা, হাসি
🥰	3টি হার্ট সহ হাসি মুখ, ক্র্যাশ, খুব পছন্দ, প্রেমে
😍	চোখ, ভালবাসা, মুখ, হার্ট, হার্টের-আকারের চোখের সাথে হাসি মুখ, হাসি
🤩	চোখ, তারকা-প্রণয়াভিলাসী, তারা, মুখ, হাস্যরত
😘	চুম্বন, মুখ, মুখ দিয়ে চুম্বন ছোঁড়া
😗	চুম্বন, চুম্বনরত মুখ, মুখ
☺️	নিশ্চিন্ত, মুখ, রূপরেখা, হাসি, হাসি মুখ
