😀	зубы, усмешка, шырока ўсміхаецца
😃	адкрыты, рот, усмешка, усміхаецца з адкрытым ротам
😄	вочы, рот, усмешка, усміхаецца, адкрыўшы рот і прыплюшчыўшы вочы
😁	вочы, зубы, усмешка, шырока ўсміхаецца, прыплюшчыўшы вочы
😆	адкрыты, задаволены, рот, смех, смяецца, адкрыўшы рот і заплюшчыўшы вочы
😅	пот, усмешка, усміхаецца адкрытым ротам з халодным потам на лбе, халодны
🤣	качацца, качаюся са смеху, смех
😂	зубы, слёзы, слёзы шчасця, смех, шчасце
🙂	злёгку ўсміхаецца, усмешка
🙃	дагары нагамі
😉	падморгвае, падморгванне, твар
😊	вочы, румянец, усмешка, усміхаецца, прыплюшчыўшы вочы
😇	анёл, аўра, казачны, нявінны, німб, усмешка
🥰	захапленне, каханне, твар з трыма сэрцамі ўсміхаецца, улюблёнасць
😍	закаханы твар, каханне, сэрца, усмешка
🤩	вочы, зорка, твар, твар з зоркамі, ухмылка
😘	паветраны пацалунак, падморгванне, пацалунак, сэрца
😗	пацалунак, цалуе
☺️	выразны, спакойны, усмешка, усміхаецца
😚	губы, заплюшчаныя вочы, пацалунак, цалуе, заплюшчыўшы вочы
😙	вочы, пацалунак, усмешка, цалуе, прыплюшчыўшы вочы
😋	гам, смакаванне, смачна, усмешка
😛	паказвае язык, шкоднік, язык
😜	вочы, жарт, падморгванне, паказвае язык і падморгвае, язык
🤪	вока, вялікае, звар’яцелы твар, маленькае
😝	вочы, гарэза, паказвае язык, закрыўшы вочы, смак, язык
🤑	грошы, рот, скнара, чую грошы
🤗	абдымкі
🤭	закрывае рукой рот, ой
🤫	ціхі, шыкае
🤔	гм, развага, роздум, у роздуме
🤐	замок, маўчу, рот, рот на замок
🤨	не верыць, скептычны, твар з узнятымі бровамі
😐️	абыякавы, нейтральны, нейтральны твар
😑	без эмоцый, каменны, невыразны
😶	маўклівы, рот, твар без рота, ціхі
😏	усмешка, ухмылка, ухмыляецца
😒	зануда, незадаволены, незадаволены твар, нудны
🙄	вочы, закочвае вочы, закочванне, толькі не гэта
😬	грымаса, крыўляецца, крыўлянне
🤥	пінокіа, твар, твар хлуса, хлусня
😌	адчувае палёгку, палёгка, як добра
😔	задуменны, задуменны твар, засмучаны
😪	санлівасць, сон, сонны твар
🤤	пускае сліну, пускаць, сліна
😴	сон, спіць, хррр
😷	доктар, маска, медыцына, твар у медыцынскай масцы, хворы
🤒	прастуда, твар з тэрмометрам, тэрмометр, хворы
🤕	выцятае месца, павязка, твар з павязкай на галаве, траўма
🤢	моташна, нудзіць, твар
🤮	моташна, нудзіць, твар нудзіць
🤧	твар, чхае
🥵	гарачы твар, горача, ліхаманка, перагрэў, пот, чырвоны твар
🥶	блакітны твар, замярзае, мароз, халодны твар, холадна, ільдзінкі
🥴	кружыцца галава, нецвярозы, перакошаны рот, п’яны, разбягаюцца вочы
😵	галава круціцца, галавакружэнне, заблытаны
🤯	галава ўзрываецца, шакіраваны
🤠	капялюш, каўбой, каўбой у капелюшы
🥳	вечарына, капялюш, ражок, свята, святкуе
