😀	obraz, režanje, režeči obraz
😃	nasmeh, obraz, odprto, smejoči obraz z odprtimi usti, usta
😄	nasmeh, obraz, odprto, oči, smejoči obraz z odprtimi usti in smejočimi očmi, usta
😁	nasmeh, obraz, oči, režanje, režeči obraz s smejočimi očmi
😆	nasmeh, obraz, odprto, smejoči obraz z odprtimi usti in trdno zaprtimi očmi, usta, zadovoljno
😅	mrzlo, nasmeh, obraz, odprto, pot, smejoči obraz z odprtimi usti in mrzlim potom
🤣	krohotanje, smeh, tla, valjanje po tleh
😂	obraz, obraz s solzami veselja, smeh, solze, veselje
🙂	nasmeh, obraz, rahlo smejoči obraz
🙃	na glavo obrnjen obraz, narobe obrnjeno, obraz
😉	obraz, obraz s pomežikom, pomežik
😊	nasmeh, obraz, oči, smejoči obraz s smejočimi očmi, zardevanje
😇	angel, avra, fantazija, nasmeh, nedolžno, obraz, pravljica, smejoči obraz s svetniškim sijem
🥰	ljubezen, oboževanje, smejoči obraz s srčki, zaljubljenost
😍	ljubezen, nasmeh, obraz, oči, smejoči obraz z očmi v obliki srčka, srce
🤩	obraz z očmi v obliki zvezdic
😘	obraz, obraz, ki pošlje ljubčka, poljub, srce
😗	obraz, obraz, ki poljublja, poljub
☺️	nasmeh, obraz, obris, smejoči obraz, sproščeno
😚	obraz, obraz z zaprtimi očmi, ki poljublja, oči, poljub, zaprto
😙	nasmeh, obraz, obraz s smejočimi očmi, ki poljublja, oči, poljub
😋	nasmeh, njam, obraz, obraz, ki z užitkom pomalica okusno hrano, okušanje, slastno
😛	jezik, obraz, obraz z molečim jezikom
😜	jezik, mežik, obraz, obraz z molečim jezikom in pomežikom, oči, šala
🤪	majhen, nor obraz, oko, velik
😝	grozno, jezik, obraz, obraz z molečim jezikom in trdno zaprtimi očmi, okus, oči
🤑	denar, obraz, obraz z denarjem namesto ust, usta
🤗	objem, objemanje, obraz, obraz, ki objema
🤭	obraz z roko čez usta
🤫	obraz s prstom čez usta
🤔	obraz, razmišljanje, razmišljujoči obraz
🤐	obraz, obraz z usti v obliki zadrge, usta, zadrga, zapečateno, zaprto
🤨	obraz z dvignjenimi obrvmi
😐️	mrtvo hladno, nevtralni obraz, nevtralno, obraz
😑	brezizrazni obraz, brezizrazno, neprizadeto, obraz, prazno
😶	molčeče, obraz, obraz brez ust, tiho, usta
😏	obraz, obraz s privoščljivim nasmeškom, privoščljiv nasmešek
😒	nenaklonjeno, nezadovoljno, obraz, obraz s hladnim nasmeškom
🙄	obraz, obraz z zavijajočimi očmi, oči, zavijanje
😬	grimasa, obraz, spačen obraz
🤥	laž, lažnivec, lažnivi obraz, ostržek
😌	obraz, olajšan obraz, olajšano
😔	brezvoljen obraz, brezvoljno, obraz, pobito
😪	obraz, spanje, zaspan obraz
🤤	obraz, obraz, ki se slini, slinjenje
😴	obraz, spanje, speči obraz, zzz
😷	bolno, maska, obraz, obraz z medicinsko masko, prehlad, zdravilo, zdravnik
🤒	bolno, obraz, obraz s termometrom, slabotno, termometer
🤕	obraz, obraz, obvezan s povojem, povoj, poškodba, poškodovano
🤢	bruhanje, obraz, ki se počuti slabo, slabost
🤮	obraz, ki bruha
🤧	kihanje, na zdravje, obraz, ki kiha
🥵	poten, rdeč obraz, vroč obraz, vroče, vročina, vročinska kap
🥶	ledene sveče, mrzel, mrzel obraz, ozebline, plav obraz, premražen
🥴	okajen obraz, omotičen, različni očesi, v rožicah, valovita usta, vinjen
😵	obraz, omotičen obraz, omotično
🤯	eksplozija v glavi
🤠	kavboj, klobuk, obraz s kavbojskim klobukom
🥳	hupa, klobuček, praznovanje, praznujoči obraz, zabava
😎	frajersko, nasmeh, obraz, očala, oči, smejoči obraz s sončnimi očali, sonce, sončna očala, svetlo, vreme
🤓	frik, obraz, piflar, piflarski obraz, znalec
🧐	obraz z monoklom
😕	obraz, zmeden obraz, zmedeno
😟	obraz, zaskrbljen obraz, zaskrbljeno
🙁	mrščenje, nekoliko namrščen obraz, obraz
☹️	mrščenje, namrščen obraz, obraz
😮	obraz, obraz z odprtimi usti, odprto, sočutje, usta
😯	obraz, osupljen obraz, osuplo, presenečeno, tiho
😲	frapirano, obraz, popolnoma, presenečeno, začuden obraz, začudeno
😳	obraz, zardeli obraz, zardelo, zmedeno
🥺	kužkove oči, milost, moledovanje, proseč obraz
😦	namrščen obraz z odprtimi usti, namrščenost, obraz, odprto, usta
😧	obraz, trpeč obraz, trpeče
😨	bojazljiv obraz, obraz, preplašeno, prestrašeno, strah
😰	hladno, modro, naglo, obraz, obraz z odprtimi usti in mrzlim potom, odprto, pot, usta
😥	fiju, obraz, olajšano, razočaran, a olajšan obraz, razočarano
😢	jokajoči obraz, jokanje, obraz, solza, žalostno
😭	cmerajoči obraz, ihtenje, jokanje, obraz, solze, žalostno
😱	krik, munch, obraz, obraz, ki kriči od strahu, preplašeno, prestrašeno, strah
😖	obraz, zbegan obraz, zbegano
😣	obraz, vztrajanje, vztrajen obraz
😞	obraz, razočaran obraz, razočarano
😓	mrzlo, obraz, obraz z mrzlim potom, pot
😩	izčrpan obraz, izčrpano, obraz, utrujeno
😫	obraz, utrujen obraz, utrujeno
