😀	smajlík, tvář, výraz, zubící se obličej, úšklebek
😃	otevřený, smajlík, tvář, výraz, zubící se obličej s velkýma očima, úsměv, ústa
😄	oko, otevřený, smajlík, tvář, výraz, zubící se obličej s usměvavýma očima, úsměv, ústa
😁	oko, rozzářený obličej s usměvavýma očima, smajlík, tvář, výraz, úsměv, úšklebek
😆	otevřený, smajlík, smích, spokojený, tvář, výraz, zubící se obličej s mžourajícíma očima, úsměv, ústa
😅	otevřený, pot, smajlík, studený, tvář, výraz, zubící se obličej s kapkou potu, úsměv
🤣	obličej válející se smíchy, smajlík, smích, tvář, válet, výraz
😂	obličej slzící smíchy, radost, slzy, smajlík, smích, tvář, výraz
🙂	obličej s mírným úsměvem, smajlík, tvář, výraz, úsměv
🙃	převrácený obličej, smajlík, tvář, vzhůru nohama, výraz
😉	mrkající obličej, mrknutí, smajlík, tvář, výraz
😊	oko, ruměnec, smajlík, smějící se obličej s usměvavýma očima, tvář, výraz, zardění, úsměv, červenání
😇	anděl, fantasy, nevinný, pohádka, smajlík, svatozář, tvář, usmívající se obličej se svatozáří, výraz, úsměv
🥰	láska, usmívající se obličej se třemi srdíčky, zamilovanost, zbožňování
😍	láska, oko, smajlík, srdce, tvář, usmívající se obličej se srdíčky místo očí, výraz, úsměv
🤩	hvězda, obličej s hvězdami v očích, oči, smajlík, tvář, výraz, šklebící
😘	obličej posílající polibek, polibek, pusa, smajlík, srdce, tvář, výraz
😗	líbající obličej, polibek, pusa, smajlík, tvář, výraz
☺️	pohoda, silueta, smajlík, tvář, usmívající se obličej, výraz, úsměv
😚	líbající obličej se zavřenýma očima, oko, polibek, pusa, smajlík, tvář, výraz, zavřený
😙	líbající obličej s usměvavýma očima, oko, polibek, pusa, smajlík, tvář, výraz, úsměv
😋	chutný, lahodný, mňam, olizující se obličej, smajlík, tvář, výraz, úsměv
😛	jazyk, obličej s vyplazeným jazykem, smajlík, tvář, výraz
😜	jazyk, mrkající obličej s vypláznutým jazykem, mrknutí, oko, smajlík, tvář, vtip, výraz
🤪	malé, oko, velké, šílený obličej
😝	chuť, děs, jazyk, mžourající obličej s vypláznutým jazykem, oko, smajlík, tvář, výraz
🤑	obličej s penězi na jazyku, peníze, smajlík, tvář, výraz, ústa
🤗	obejmout, objetí, obličej s otevřenou náručí, smajlík, tvář, výraz
🤭	ajaj, jejda, jéje, obličej s dlaní před pusou, oj, oops, ouha, ups
🤫	obličej s prstem na puse, pst, pšt, ticho, tiše, tišit, utišit
🤔	smajlík, tvář, výraz, zamyšlení, zamyšlený obličej
🤐	obličej s pusou na zip, smajlík, tvář, výraz, zip, ústa
🤨	nedůvěra, obličej se zvednutým obočím, skepse, skeptický
😐️	kamenná tvář, neutrální, obličej s neutrálním výrazem, smajlík, tvář, výraz
😑	bez výrazu, obličej bez výrazu, prázdný výraz, smajlík, tvář, výraz
😶	obličej bez úst, smajlík, tichý, tvář, výraz, ústa
😏	drzost, drzý, smajlík, tvář, ušklíbající se obličej, výraz, úšklebek
😒	nešťastný, obličej se znuděným výrazem, smajlík, tvář, výraz, znuděný
🙄	koulející, obličej s očima v sloup, oči, smajlík, tvář, v sloup, výraz
😬	grimasa, grimasa s vyceněnými zuby, smajlík, tvář, výraz
🤥	lhát, obličej lháře, pinocchio, smajlík, tvář, výraz
😌	obličej s výrazem úlevy, smajlík, tvář, výraz, úleva
😔	obličej se skleslým výrazem, skleslý, smajlík, trudnomyslný, trudomyslný, tvář, výraz, zahloubaný, zádumčivý
😪	ospalý obličej, smajlík, spánek, tvář, výraz
🤤	slina, slintající obličej, slintat, slintání, smajlík, tvář, výraz
😴	chrr, smajlík, spánek, spící obličej, tvář, výraz, zzz
😷	doktor, lék, lékař, maska, nachlazený, nemocný, obličej s lékařskou rouškou, smajlík, tvář, výraz
🤒	nemocný, obličej s teploměrem, smajlík, teploměr, tvář, výraz
🤕	bolest, obličej s ovázanou hlavou, obvaz, smajlík, tvář, výraz, zranění
🤢	obličej se znechuceným výrazem, smajlík, tvář, výraz, znechucení, zvracet
🤮	smajlík, tvář, výraz, zvracející obličej, zvracet, špatně
🤧	kýchající obličej, kýchat, smajlík, tvář, výraz
🥵	horečka, horko, pocení, rozpálený obličej, rudý obličej, vedro
🥶	modrý obličej, mráz, promrzlý, rampouchy, zima, zmrzlý obličej
🥴	líznutý, opilost, různě velké oči, zpitomělý obličej, zvlněná pusa, závrať
😵	obličej s výrazem závrati, smajlík, tvář, výraz, závrať
🤯	explodující hlava, obličej, smajlík, tvář, výbuch, výraz, šok
🤠	klobouk, kovboj, obličej s kovbojským kloboukem, smajlík, tvář, výraz
🥳	frkačka, oslava, oslavující obličej, párty, čepice, čepička
😎	brýle, cool, frajer, jasno, oko, počasí, slunce, sluneční brýle, smajlík, tvář, usmívající se obličej s brýlemi, výraz, úsměv
🤓	geek, nerd, obličej šprta, smajlík, tvář, výraz, šplhoun, šprt
🧐	konvenční, obličej s brýlovým monoklem, prudérní, staromódní
😕	smajlík, tvář, výraz, zmatený, zmatený obličej
😟	obavy, smajlík, starost, tvář, ustaraný obličej, výraz
🙁	mírně zamračený obličej, smajlík, tvář, výraz, zamračení
☹️	smajlík, tvář, výraz, zamračení, zamračený obličej
😮	obličej s otevřenou pusou, otevřený, smajlík, soucit, tvář, výraz, ústa
😯	obličej se zaraženým výrazem, překvapený, smajlík, tichý, tvář, výraz, zaražený
😲	naprosto, ohromený, smajlík, tvář, užaslý obličej, výraz, úplně, úžas, šok
😳	omámení, ruměnec, smajlík, tvář, výraz, zardění, zrudnutí, zčervenání, červenající se obličej, červenání
🥺	milost, prosba, prosebný obličej, psí oči, slitování, žadonění
😦	otevřený, smajlík, tvář, výraz, zamračení, zamračený obličej s otevřenou pusou, ústa
😧	nepříjemný, obličej s úzkostným výrazem, překvapení, smajlík, trpící, tvář, utrpení, utrápený, výraz, ztrápený, úzkost, šok
😨	děs, smajlík, strach, tvář, ustrašený obličej, výraz
😰	modrá, otevřený, pot, smajlík, studený, tvář, uštvaný, výraz, ústa, úzkostný obličej se studeným potem
😥	smajlík, smutný obličej s výrazem úlevy, tvář, výraz, zklamání, údiv, úleva
😢	plačící obličej, pláč, slza, smajlík, smutek, tvář, výraz
😭	nářek, pláč, slza, smajlík, smutek, tvář, výraz, zoufale plačící obličej
😱	děs, hrůza, munch, obličej křičící hrůzou, smajlík, strach, tvář, výkřik, výraz
😖	naštvaný, obličej s pláčem na krajíčku, překvapený, rozpačitý, smajlík, tvář, výraz, zatraceně, zmatený
😣	obličej s umíněným výrazem, smajlík, tvář, umíněnost, vytrvalost, výraz
😞	smajlík, tvář, výraz, zklamaný obličej, zklamání
😓	pot, sklíčený obličej se studeným potem, smajlík, studený, tvář, výraz
😩	smajlík, tvář, vyčerpaný obličej, vyčerpání, výraz, únava
😫	smajlík, tvář, unavený obličej, výraz, únava
🥱	unavený, výraz, znuděný, zívající obličej
😤	frustrace, hněv, obličej pouštějící páru nosem, odfouknutí, rozhořčení, smajlík, triumf, tvář, vyfouknutí, vztek, vítězství, výdech, výraz, zloba, zlost
😡	hněv, nazlobený, naštvaný, obličej s podrážděným výrazem, podrážděný, rudý, smajlík, tvář, vztek, výraz, zloba, zlost, zuřivý, červený
😠	hněv, hněvivý, naštvaný, rozhněvaný, rozzlobený, rozzlobený obličej, smajlík, tvář, vztek, výraz, zloba, zlost, zuřivost, zuřivý
🤬	klení, nadávající, nadávka, obličej se symboly na puse
😈	fantasy, pohádka, rohy, smajlík, tvář, usmívající se obličej s rohy, výraz, úsměv
👿	démon, fantasy, pohádka, rozzlobený obličej s rohy, skřet, smajlík, tvář, výraz, ďábel
💀	lebka, pohádka, příšera, smajlík, smrt, tvář, tělo, výraz
☠️	lebka, lebka a zkřížené hnáty, příšera, smajlík, smrt, tvář, tělo, výraz, zkřížené hnáty
💩	hovínko, hromádka, obrázek, příšera, smajlík, tvář, výkal, výraz
🤡	klaun, klaunský obličej, smajlík, tvář, výraz
👹	bytost, fantasy, japonský, lidožrout, obr, pohádka, příšera, smajlík, strašidlo, strašák, tvář, výraz, zlobr
👺	bytost, fantasy, japonský, pohádka, příšera, skřítek, smajlík, strašidlo, strašák, tvář, výraz, šotek
👻	bytost, duch, fantasy, pohádka, příšera, smajlík, strašidlo, tvář, výraz
👽️	bytost, fantasy, mimozemšťan, pohádka, příšera, smajlík, tvář, ufo, vesmír, výraz
👾	bytost, fantasy, marťan, mimozemská příšera, mimozemšťan, pohádka, příšera, smajlík, tvář, ufo, vesmír, vetřelec, výraz
🤖	obličej robota, příšera, robot, smajlík, tvář, výraz
😺	kočka, otevřený, smajlík, tvář, výraz, úsměv, ústa, úšklebek, šklebící se kočičí obličej
😸	kočka, oko, smajlík, tvář, výraz, úsměv, úšklebek, šklebící se kočka s usměvavýma očima
😹	kočičí obličej slzící smíchy, kočka, radost, slzy, smajlík, smích, tvář, výraz
😻	kočka, láska, oko, smajlík, srdce, tvář, usmívající se kočka se srdíčky místo očí, výraz, úsměv
😼	ironie, jízlivý, kočičí obličej s jízlivým úsměvem, kočka, smajlík, tvář, výraz, úsměv
😽	kočka, líbající kočičí obličej, oko, polibek, pusa, smajlík, tvář, výraz
🙀	jej, kočka, překvapení, smajlík, tvář, uf, vyčerpaný, vyčerpaný kočičí obličej, vyčerpání, výraz, únava
😿	kočka, plačící kočičí obličej, pláč, slza, smajlík, smutek, tvář, výraz
😾	hněv, kočičí obličej s podrážděným výrazem, kočka, nazlobený, naštvaný, podráždění, podrážděný, smajlík, tvář, vztek, výraz, zloba, zlost, zuřivý
🙈	gesto, ne, opice, opička „nic nevidím“, smajlík, tvář, vidět, výraz, zakázáno, zlo, zákaz
🙉	gesto, ne, opice, opička „nic neslyším“, slyšet, smajlík, tvář, výraz, zakázáno, zlo, zákaz
🙊	gesto, mluvit, ne, opice, opička „nic nepovím“, smajlík, tvář, výraz, zakázáno, zlo, zákaz
💋	otisk rtů, polibek, pusa, romance, romantika, rty, srdce
💌	dopis, láska, milostný dopis, pošta, romance, romantika, srdce
💘	amor, amorek, láska, romance, romantika, srdce, srdce se šípem, střela, šíp
💝	mašle, srdce, srdce s mašlí, stuha, stužka, valentýn
💖	jiskra, jiskřící srdce, srdce, vzrušení
💗	nervozita, puls, rostoucí, rostoucí srdce, srdce, vzrušení
💓	bušení, bušící srdce, puls, srdce, tep
💞	kolo, otáčení, srdce, srdce vířící v kole, víření
💕	dvě srdce, láska, srdce
💟	srdce, srdce jako ozdoba
❣️	interpunkce, srdce, srdce jako vykřičník, vykřičník, znaménko, značka
💔	srdce, zlomené srdce, zlomený, zlomit
❤️	rudé srdce, srdce
🧡	oranžová, oranžové srdce, srdce
💛	srdce, žlutá, žluté srdce
💚	srdce, zelená, zelené srdce
💙	modrá, modré srdce, srdce
💜	fialová, fialové srdce, srdce
🤎	hnědá, hnědé srdce, srdce
🖤	smutek, srdce, zkaženost, zlo, černá, černé srdce
🤍	bílá, bílé srdce, srdce
💯	100, plný, skóre, sto, sto bodů
💢	hněv, japonský symbol hněvu, komiks, manga, naštvaný, vztek, zloba, zlost, úder, žíly
💥	bum, komiks, náraz, srážka
💫	hvězda, hvězdičky, komiks, závrať
💦	cákání, kapky, kapky potu, komiks, pot
💨	běh, komiks, spěch
🕳️	díra
💣️	bomba, komiks
💬	bublina, dialog, komiks, řeč, řečová bublina
👁‍🗨	oko, oko v řečové bublině, svědectví, svědek, řečová bublina
🗨️	dialog, levá řečová bublina, řeč
🗯️	bublina, hněv, naštvaný, pravá rozzlobená bublina, vztek, zloba, zlost
💭	bublina, komiks, myšlenka, myšlenková bublina
