😀	ಮುಖ, ಹಾಸ್ಯ, ಹಾಸ್ಯದ ಮುಖ
😃	ತೆರೆದ, ನಗು, ಬಾಯಿ, ಬಾಯ್ತುಂಬಾ ನಗುತ್ತಿರುವ ನಗುಮುಖ, ಮುಖ
😄	ಕಣ್ಣು, ನಗು, ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳ ಮಂದಸ್ಮಿತ ಮುಖ, ಮುಖ
😁	ಕಣ್ಣು, ನಗು, ನಗುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಹೊಳೆಯುವ ಮುಖ, ಮುಖ, ಹಾಸ್ಯ
😆	ತೃಪ್ತಿಯ, ನಗು, ಬಾಯಿ, ಮಂದಸ್ಮಿತ ಅಣಕಿಸುವ ಮುಖ, ಮುಖ
😅	ತೆರೆದ, ನಗು, ಬೆವರಿನೊಂದಿಗೆ ಮಂದಸ್ಮಿತ ಮುಖ, ಬೆವರು, ಮುಖ
🤣	ನಗು, ನೆಲ, ನೆಲದ ಮೇಲೆ ಹೊರಳಾಡಿ ನಗುವುದು, ಮುಖ, ಹೊರಳಾಡಿ ನಗುವುದು, ಹೊರಳಾಡು
😂	ಆನಂದದ ಕಣ್ಣೀರು, ಆನಂದ ಬಾಷ್ಪ, ಕಣ್ಣೀರು, ನಗು, ಮುಖ, ಸಂತೋಷ
🙂	ನಗು, ಮುಖ, ಸ್ವಲ್ಪ ನಗು ಮುಖ
🙃	ತಲೆಕೆಳಗಾದ ಮುಖ, ಮುಖ
😉	ಕಣ್ಣು ಮಿಟುಕಿಸುವ ಮುಖ, ಮಿಟುಕಿಸು, ಮುಖ
😊	ಕಿರುನಗೆ ಕಣ್ಣುಗಳು, ಕಿರುನಗೆ ಮುಖ ಮತ್ತು ಕಣ್ಣುಗಳು, ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗು ಮುಖ
😇	ತೇಜೋಮಂಡಲ, ತೇಜೋಮಂಡಲ ನಗು, ತೇಜೋಮಂಡಲದೊಂದಿಗೆ ನಗು ಮುಖ
🥰	3 ಹೃದಯಗಳೊಂದಿಗೆ ನಗುವಿನ ಮುಖ, ಆರಾಧಿಸು, ಪ್ರೀತಿಯಲ್ಲಿ, ಮೋಹ
😍	ಕಣ್ಣು, ನಗು, ಪ್ರೀತಿ, ಮುಖ, ಹೃದಯದ ಕಣ್ಣುಗಳಿಂದ ನಗುವಿನ ಮುಖ
🤩	ಕಣ್ಣುಗಳು, ನಕ್ಷತ್ರ, ಮುಖ, ಸ್ಟಾರ್-ಸ್ಟ್ರಕ್, ಹಾಸ್ಯ
😘	ಮುತ್ತು, ಮುತ್ತು ಕೊಡುತ್ತಿರುವ ಮುಖ, ಹೃದಯ
😗	ಚುಂಬನ ಮುಖ, ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ, ಚುಂಬಿಸುವ ಮುಖ, ಮುತ್ತು
☺️	ಕಿರುನಗೆ, ಕಿರುನಗೆ ಮುಖ, ನಗು ಮುಖ, ಸಮಾಧಾನದ ಮುಖ
😚	ಕಣ್ಣು, ಚುಂಬನ, ಮುಖ, ಮುಚ್ಚಿದ, ಮುಚ್ಚಿರುವ ಕಣ್ಣುಗಳಿಂದ ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ
😙	ಕಣ್ಣು, ಚುಂಬನ, ನಗು, ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ, ನಗುತ್ತಿರುುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಚುಂಬಿಸುತ್ತಿರುವ ಮುಖ, ಮುಖ
😋	ಬಾಯಲ್ಲಿ ನೀರೂರಿಸುತ್ತಿರುವ ಮುಖ, ರುಚಿಯಾದ ಆಹಾರ, ರುಚಿಯಾದ ಆಹಾರ ಕಂಡು ಬಾಯಲ್ಲಿ ನೀರೂರಿಸುತ್ತಿರುವ ಮುಖ
😛	ನಾಲಿಗೆ, ನಾಲಿಗೆ ಹೊರ ಚಾಚಿರುವ ಮುಖ, ನಾಲಿಗೆ ಹೊರಚಾಚಿರುವ ಮುಖ, ಮುಖ
😜	ತಮಾಷೆ ಮುಖ, ನಾಲಿಗೆ ಚಾಚಿರುವುದು, ನಾಲಿಗೆ ಹೊರ ಚಾಚಿ ಕಣ್ಣು ಮಿಟಿಕಿಸುತ್ತಿರುವ ಮುಖ, ನಾಲಿಗೆ ಹೊರ ಚಾಚಿರುವ ಮುಖ ಮತ್ತು ಕಣ್ಣು ಮಿಟಿಕಿಸುತ್ತಿರುವುದು
🤪	ಕಣ್ಣು, ಗೇಲಿ ಮಾಡುತ್ತಿರುವ ಮುಖ, ಚಿಕ್ಕದು, ದೊಡ್ಡದು
😝	ಕಣ್ಣು, ನಾಲಿಗೆ ಹೊರ ಚಾಚಿ ಕಣ್ಣು ಬಿಗಿಯಾಗಿ ಮುಚ್ಚಿರುವ ಮುಖ, ನಾಲಿಗೆ ಹೊರಚಾಚಿರುವುದರೊಂದಿಗೆ ಮುದುರಿರುವ ಮುಖ, ಭಯಾನಕ, ಮುಖ
🤑	ಬಾಯಿ, ಮುಖ, ಹಣ, ಹಣದ ಬಾಯಿಯ ಮುಖ
🤗	ಅಪ್ಪಿಕೊಳ್ಳುವ ಮುಖ, ಅಪ್ಪುಗೆ, ಅಪ್ಪುಗೆಯ ಮುಖ
🤭	ಓಹ್, ಕೈಗಳಿಂದ ಬಾಯಿ ಮುಚ್ಚಿರುವ ಮುಖ
🤫	ಮೌನ, ಶ್, ಶ್ ಎಂದು ಹೇಳುತ್ತಿರುವ ಮುಖ
🤔	ಆಲೋಚನೆ, ಆಲೋಚನೆ ಮುಖ, ಮುಖ
🤐	ಝಿಪ್ಪರ್, ಝಿಪ್ಪರ್ ಬಾಯಿಯ ಮುಖ, ಬಾಯಿ, ಮುಖ
🤨	ಅಪನಂಬಿಕೆ, ಎತ್ತರಿಸಿದ ಹುಬ್ಬುಳ್ಳ ಮುಖ, ಸ್ಕೆಪ್ಟಿಕ್
😐️	ತಟಸ್ಥ, ತಟಸ್ಥ ಮುಖ, ನಿರ್ಲಿಪ್ತ, ಮುಖ
😑	ಭಾವನೆಯಿಲ್ಲದ ಮುಖ, ಭಾವವಿಲ್ಲದ, ವ್ಯಕ್ತಪಡಿಸಲಾರದ ಮುಖ
