😀	лицо, радость, счастье, улыбка, широкая улыбка, широко улыбается
😃	лицо, радость, рот, смеется, смех, улыбка
😄	закрытые глаза, радость, смеется с закрытыми глазами, смех, улыбка с закрытыми глазами
😁	зубы, светится от счастья, счастливое лицо, улыбающиеся глаза, широкая улыбка
😆	прищуренные глаза, смеется с закрытыми глазами, смеется с прищуренными глазами, смех, смех с прищуренными глазами
😅	нервно смеется, нервный смех, облегчение, пот, холодный пот
🤣	rofl, катается со смеху, кататься от хохота, смех, смеяться
😂	лицо, радость, слезы, смеется до слез, смех, смех до слез
🙂	легкая улыбка, лицо, радость, слегка улыбается, улыбка, хорошо
🙃	вверх, вверх тормашками, лицо, ногами, перевернутое
😉	глаз, лицо, мигать, подмигивает, подмигивать, прищур
😊	глаза, довольно улыбается, лицо, румянец, улыбка, щеки
😇	ангел, лицо, невинность, с нимбом, святость, сказка
🥰	влюбленность, влюбленный, сердечки, улыбающееся лицо с сердечками, улыбка с сердечками
😍	влюбленное лицо, глаза, лицо, любовь, сердце, чувства
🤩	звезды, звезды в глазах, радость, смеяться, улыбка
😘	воздушный, воздушный поцелуй, любовь, отправляет воздушный поцелуй, сердечко, целует, целую
😗	лицо, любовь, поцелуй, целует
☺️	довольный, лицо, смайлик, счастье, улыбается, улыбка, хорошо
😚	глаза, закрытые, лицо, поцелуй, поцелуй с закрытыми глазами, целует с закрытыми глазами
😙	глаза, лицо, поцелуй, счастливый поцелуй, улыбка
😋	вкус, вкусно, еда, пища, смак
😛	дразнит, лицо, показывает язык, хитрый, язык
😜	лицо, подмигивание, подтрунивание, показывает язык и подмигивает, розыгрыш, язык
🤪	большой, глаз, кривой, лицо, маленький, рожа, сумасшедшее лицо
😝	гадость, зажмуривается, морщится и показывает язык, отвращение, показывает язык
🤑	деньги в глазах, жадный, лицо, прибыль, рот
🤗	лицо, обнимает, объятие, руки
🤭	лишнего, лишнее, ляпнуть, ой, прикрывает рот рукой, проговориться, хи-хи
🤫	молчи, секрет, тайна, тихо, тишина, тс-с-с
🤔	думает, задумчивость, лицо, пальцы, размышления
🤐	закрытый, лицо, молчание, рот, рот на замке, секрет
🤨	не верит, недоверие, подозрение, скептик, скептически
😐️	все равно, лицо, ничего, равнодушие
😑	без эмоций, безразличие, лицо, нет, ничего, эмоции
😶	без рта, лицо без рта, молчание, тихо, тишина
😏	задумал, лицо, ухмылка, ухмыляется, хитрый
😒	лицо, недовольный, скука, скусно, скучает, тоска
🙄	глаза, досада, закатить, закатывает глаза, лицо, скука
😬	гримаса, зубы, лицо, рожа
🤥	буратино, врать, длинный нос, лжец, обманывать
😌	испытывает облегчение, лицо, минуло, облегчение, обошло, спокойствие, стороной
😔	задумчивость, лицо, мысли, размышления, размышляет
😪	лицо, мало, сон, сонливость, усталость, хочет спать
🤤	лицо, пускает слюни, слюни
😴	дрема, лицо, отдых, сон, спит
😷	больной, в медицинской маске, врач, защита, лицо, маска, медик
🤒	болезнь, лицо, недуг, рот, с градусником во рту, термометр
🤕	боль, лицо, лоб, плохо, повязка, с перевязанной головой
🤢	болезнь, лицо, морская болезнь, тошнит, тошно
🤮	блевать, рвота, тошнит, тошнота
🤧	апчхи, лицо, насморк, пчхи, чихает
🥵	болеет, высокая температура, жар, лихорадка, потеет
🥶	замерз, мерзнет, морозно, посинел, холодно
🥴	головокружение, дезориентация, плохо, тошнота, чувствует головокружение
😵	голова кружится, головокружение, головокружительный, лицо
🤯	в шоке, взрыв мозга, голова, шок
🤠	в ковбойской шляпе, в шляпе, ковбой, лицо, шляпа
🥳	веселится, вечеринка, день рождения, на вечеринке, праздник
😎	клево, круто, лицо в солнцезащитный очках, лицо в темных очках, солнцезащитные очки
🤓	в очках, всезнайка, отличник, очкарик, очки
🧐	задавака, монокль, напыщенный, с моноклем, старомодный
😕	в замешательстве, замешательство, конфуз, лицо, стеснение
😟	беспокоится, беспокойство, лицо, расстройство, тревога, тревожность
🙁	лицо, недовольный, немного грустит, немного грустное лицо, плохо, хмурый
☹️	грустит, грустное лицо, грусть, лицо, печаль, плохо, хмурый
😮	лицо, открытый, рот, удивление
😯	лицо, молчание, неприятно, неприятный сюрприз, сюрприз, удивление
😲	в шоке, лицо, потрясение, удивление, шок
😳	краснеет, красный, лицо, смущение, щеки
🥺	большие глаза, глаза, просит, слезы, умоляет
😦	в изумлении, изумление, лицо, открыт, рот, удивление, хмурый
