😀	facie, surridente, surriso, visage, visage con grande surriso
😃	aperte, bucca, facie, grande surriso con grande oculos, surriso, visage
😄	aperte, facie, grande surriso con oculos surridente, oculos, surridente, visage
😁	facie, radiante, surridente, surriso, visage, visage radiante con oculos surridente
😆	facie, grande surriso con oculos clause, satisfacite, satisfaction, surridente, visage
😅	aperte, facie, frigide, grande surriso con gutta de sudor, sudor, visage
🤣	facie, ridente, riso, rolante se per terra de rider, rolar, visage
😂	facie, gaudio, joia, lacrimas, visage, visage plorante de riso
😉	batter, facie, palpebras, visage, visage que batte le palpebras
😊	facie, rubescer, rubor, surridente, surriso con oculos surridente, visage
😍	corde, facie, oculo, surridente, surriso con oculos in forma de corde, visage
😋	alimento, deliciose, facie, mangiar, visage, visage que sapora un bon repasto
😎	berillos, facie, sol, surriso, surriso con oculares de sol, visage
🦰	capillos rosse, rossa, rossastre, rubee, rubie, rubre
🦱	afro, buclate, buclettas, capillos, capillos crispe, crispe
🦳	blanc, capillos, capillos blanc, gris, vetere, vetule
🦲	calve, chemotherapia, glabre, rasate, sin capillos
🏧	automatic, banca, billetes, cassa, distributor, signo de cassa automatic
🚮	immunditias, jectar, receptaculo, recipiente, signo de receptaculo de immunditias
🚰	aqua, aqua potabile, biber, bibibile, potabile
♿️	accesso, rolante, rotas, sede, sedia, symbolo de sedia rolante
🚹️	cabinetto, homine, lavatorio, lavatorio pro homines, toilette, wc
🚺️	cabinetto, femina, lavatorio, lavatorio pro feminas, toilette, wc
🚻	cabinetto, lavatorio, toilette, toilettes, wc
🚼️	baby, bebe, cambiar, fascia, neonato, symbolo de bebe
🚾	aqua, cabinetto, lavatorio, toilette, water-closet, wc
🛂	controlo, controlo de passaportos, passaporto
🛃	doana
🛄	bagage, collecta, collecta de bagage, reception, retiro
🛅	bagage, consigna, deposito, deposito de bagage
⚠️	advertimento, attention, aviso
🚸	infante, passage, pedones, traffico, transversata, transversata de infantes
⛔️	direction unic, entrata prohibite, senso unic, traffico, unidirectional
🚫	entrata, no, non, prohibite, sin
🚳	bicycletta, bicyclettas prohibite, bicyclo, no, prohibite, sin
🚭️	fumar, fumo, no, non, non fumar, prohibite
🚯	immunditias, jectar, lassar cader, non abandonar immunditias, prohibite
🚱	aqua, aqua non potabile, non bibibile, non potabile
🚷	accesso, interdicite, pedon, pedones, prohibite, prohibite al pedones
📵	interdicite, mobile, portabile, prohibite, telephono, telephonos mobile prohibite
#⃣	clave, clave: #
*⃣	clave, clave: *
0⃣	clave, clave: 0
1⃣	clave, clave: 1
2⃣	clave, clave: 2
3⃣	clave, clave: 3
4⃣	clave, clave: 4
5⃣	clave, clave: 5
6⃣	clave, clave: 6
7⃣	clave, clave: 7
8⃣	clave, clave: 8
9⃣	clave, clave: 9
🔟	clave, clave: 10
🏁	bandiera, bandiera a quadros, currer, cursa, quadrettos, quadros
🚩	bandiera triangular, palo
🎌	bandieras cruciate, celebration, cruce, cruciate, japonese
🏴	agitante, bandiera nigre, flottante, undulante
🏳️	agitante, bandiera blanc, flottante, undulante
🏳‍🌈	arco del celo, bandiera iride, bandiera iris, iride, iris
🏴‍☠	bandiera de pirata, cranio, ossos, piliage, pirata, tresor
🇦🇩	bandiera, bandiera: Andorra
🇦🇪	bandiera, bandiera: Emiratos Arabe Unite
🇦🇫	bandiera, bandiera: Afghanistan
🇦🇬	bandiera, bandiera: Antigua e Barbuda
🇦🇱	bandiera, bandiera: Albania
🇦🇲	bandiera, bandiera: Armenia
🇦🇴	bandiera, bandiera: Angola
🇦🇶	bandiera, bandiera: Antarctica
🇦🇷	bandiera, bandiera: Argentina
🇦🇸	bandiera, bandiera: Samoa american
🇦🇹	bandiera, bandiera: Austria
🇦🇺	bandiera, bandiera: Australia
🇦🇽	bandiera, bandiera: Insulas Åland
🇦🇿	bandiera, bandiera: Azerbaidzhan
🇧🇦	bandiera, bandiera: Bosnia e Herzegovina
🇧🇩	bandiera, bandiera: Bangladesh
🇧🇪	bandiera, bandiera: Belgica
🇧🇫	bandiera, bandiera: Burkina Faso
🇧🇬	bandiera, bandiera: Bulgaria
🇧🇮	bandiera, bandiera: Burundi
🇧🇯	bandiera, bandiera: Benin
🇧🇲	bandiera, bandiera: Bermuda
🇧🇴	bandiera, bandiera: Bolivia
🇧🇷	bandiera, bandiera: Brasil
🇧🇸	bandiera, bandiera: Bahamas
🇧🇹	bandiera, bandiera: Bhutan
