🤣	cara, risa, rodando, rodando pel suelu de risa, suelu
😂	allegría, cara, cara llorando d’allegría, llárima, risa
😘	besu, cara, cara tirando un besu
😗	besu, cara, cara besando
☺️	cara sorriendo
🤳	selfie
👅	cuerpu, llingua
👄	boca, llabios
💏	besu
👪️	familia
💍	aniellu, diamante
💎	diamante, piedra preciosa, xema, xoya
#⃣	tecles, tecles: #
*⃣	tecles, tecles: *
0⃣	tecles, tecles: 0
1⃣	tecles, tecles: 1
2⃣	tecles, tecles: 2
3⃣	tecles, tecles: 3
4⃣	tecles, tecles: 4
5⃣	tecles, tecles: 5
6⃣	tecles, tecles: 6
7⃣	tecles, tecles: 7
8⃣	tecles, tecles: 8
9⃣	tecles, tecles: 9
🔟	tecles, tecles: 10
🇦🇨	bandera, bandera: Islla Ascensión
🇦🇩	bandera, bandera: Andorra
🇦🇪	bandera, bandera: Emiratos Árabes Xuníos
🇦🇫	bandera, bandera: Afganistán
🇦🇬	bandera, bandera: Antigua y Barbuda
🇦🇮	bandera, bandera: Anguila
🇦🇱	bandera, bandera: Albania
🇦🇲	bandera, bandera: Armenia
🇦🇴	bandera, bandera: Angola
🇦🇶	bandera, bandera: L’Antártida
🇦🇷	bandera, bandera: Arxentina
🇦🇸	bandera, bandera: Samoa Americana
🇦🇹	bandera, bandera: Austria
🇦🇺	bandera, bandera: Australia
🇦🇼	bandera, bandera: Aruba
🇦🇽	bandera, bandera: Islles Aland
🇦🇿	bandera, bandera: Azerbaixán
🇧🇦	bandera, bandera: Bosnia y Herzegovina
🇧🇧	bandera, bandera: Barbados
🇧🇩	bandera, bandera: Bangladex
🇧🇪	bandera, bandera: Bélxica
🇧🇫	bandera, bandera: Burkina Fasu
🇧🇬	bandera, bandera: Bulgaria
🇧🇭	bandera, bandera: Baḥréin
🇧🇮	bandera, bandera: Burundi
🇧🇯	bandera, bandera: Benín
🇧🇱	bandera, bandera: San Bartolomé
🇧🇲	bandera, bandera: Les Bermudes
🇧🇳	bandera, bandera: Brunéi
🇧🇴	bandera, bandera: Bolivia
🇧🇶	bandera, bandera: Caribe neerlandés
🇧🇷	bandera, bandera: Brasil
🇧🇸	bandera, bandera: Les Bahames
🇧🇹	bandera, bandera: Bután
🇧🇻	bandera, bandera: Islla Bouvet
🇧🇼	bandera, bandera: Botsuana
🇧🇾	bandera, bandera: Bielorrusia
🇧🇿	bandera, bandera: Belize
🇨🇦	bandera, bandera: Canadá
🇨🇨	bandera, bandera: Islles Cocos (Keeling)
🇨🇩	bandera, bandera: Congu - Kinxasa
🇨🇫	bandera, bandera: República Centroafricana
🇨🇬	bandera, bandera: Congu - Brazzaville
🇨🇭	bandera, bandera: Suiza
🇨🇮	bandera, bandera: Costa de Marfil
🇨🇰	bandera, bandera: Islles Cook
🇨🇱	bandera, bandera: Chile
🇨🇲	bandera, bandera: Camerún
🇨🇳	bandera, bandera: China
🇨🇴	bandera, bandera: Colombia
🇨🇵	bandera, bandera: Islla Clipperton
🇨🇷	bandera, bandera: Costa Rica
🇨🇺	bandera, bandera: Cuba
🇨🇻	bandera, bandera: Cabu Verde
🇨🇼	bandera, bandera: Curaçao
🇨🇽	bandera, bandera: Islla Christmas
🇨🇾	bandera, bandera: Xipre
🇨🇿	bandera, bandera: Chequia
🇩🇪	bandera, bandera: Alemaña
🇩🇬	bandera, bandera: Diego Garcia
🇩🇯	bandera, bandera: Xibuti
🇩🇰	bandera, bandera: Dinamarca
🇩🇲	bandera, bandera: Dominica
🇩🇴	bandera, bandera: República Dominicana
🇩🇿	bandera, bandera: Arxelia
🇪🇦	bandera, bandera: Ceuta y Melilla
🇪🇨	bandera, bandera: Ecuador
🇪🇪	bandera, bandera: Estonia
🇪🇬	bandera, bandera: Exiptu
🇪🇭	bandera, bandera: Sáḥara Occidental
🇪🇷	bandera, bandera: Eritrea
🇪🇸	bandera, bandera: España
🇪🇹	bandera, bandera: Etiopía
🇪🇺	bandera, bandera: Xunión Europea
🇫🇮	bandera, bandera: Finlandia
🇫🇯	bandera, bandera: Islles Fixi
🇫🇰	bandera, bandera: Falkland Islands
🇫🇲	bandera, bandera: Micronesia
🇫🇴	bandera, bandera: Islles Feroe
🇫🇷	bandera, bandera: Francia
🇬🇦	bandera, bandera: Gabón
🇬🇧	bandera, bandera: Reinu Xuníu
🇬🇩	bandera, bandera: Granada
🇬🇪	bandera, bandera: Xeorxa
🇬🇫	bandera, bandera: Guyana Francesa
🇬🇬	bandera, bandera: Guernsey
🇬🇭	bandera, bandera: Ghana
🇬🇮	bandera, bandera: Xibraltar
🇬🇱	bandera, bandera: Groenlandia
🇬🇲	bandera, bandera: Gambia
🇬🇳	bandera, bandera: Guinea
🇬🇵	bandera, bandera: Guadalupe
🇬🇶	bandera, bandera: Guinea Ecuatorial
🇬🇷	bandera, bandera: Grecia
🇬🇸	bandera, bandera: Islles Xeorxa del Sur y Sandwich del Sur
🇬🇹	bandera, bandera: Guatemala
🇬🇺	bandera, bandera: Guam
🇬🇼	bandera, bandera: Guinea-Bisáu
🇬🇾	bandera, bandera: Guyana
🇭🇰	bandera, bandera: ARE China de Ḥong Kong
🇭🇲	bandera, bandera: Islles Heard y McDonald
🇭🇳	bandera, bandera: Hondures
🇭🇷	bandera, bandera: Croacia
🇭🇹	bandera, bandera: Haití
🇭🇺	bandera, bandera: Hungría
🇮🇨	bandera, bandera: Islles Canaries
🇮🇩	bandera, bandera: Indonesia
🇮🇪	bandera, bandera: Irlanda
🇮🇱	bandera, bandera: Israel
🇮🇲	bandera, bandera: Islla de Man
🇮🇳	bandera, bandera: India
🇮🇴	bandera, bandera: Territoriu Británicu del Océanu Índicu
🇮🇶	bandera, bandera: Iraq
🇮🇷	bandera, bandera: Irán
🇮🇸	bandera, bandera: Islandia
🇮🇹	bandera, bandera: Italia
🇯🇪	bandera, bandera: Jersey
🇯🇲	bandera, bandera: Xamaica
🇯🇴	bandera, bandera: Xordania
🇯🇵	bandera, bandera: Xapón
🇰🇪	bandera, bandera: Kenia
🇰🇬	bandera, bandera: Kirguistán
🇰🇭	bandera, bandera: Camboya
🇰🇮	bandera, bandera: Kiribati
🇰🇲	bandera, bandera: Les Comores
🇰🇳	bandera, bandera: Saint Kitts y Nevis
🇰🇵	bandera, bandera: Corea del Norte
🇰🇷	bandera, bandera: Corea del Sur
🇰🇼	bandera, bandera: Kuwait
🇰🇾	bandera, bandera: Islles Caimán
🇰🇿	bandera, bandera: Kazakstán
🇱🇦	bandera, bandera: Laos
🇱🇧	bandera, bandera: Líbanu
🇱🇨	bandera, bandera: Santa Llucía
🇱🇮	bandera, bandera: Liechtenstein
🇱🇰	bandera, bandera: Sri Lanka
🇱🇷	bandera, bandera: Liberia
🇱🇸	bandera, bandera: Lesothu
🇱🇹	bandera, bandera: Lituania
🇱🇺	bandera, bandera: Luxemburgu
🇱🇻	bandera, bandera: Letonia
🇱🇾	bandera, bandera: Libia
🇲🇦	bandera, bandera: Marruecos
🇲🇨	bandera, bandera: Mónacu
🇲🇩	bandera, bandera: Moldavia
🇲🇪	bandera, bandera: Montenegru
🇲🇫	bandera, bandera: Saint Martin
🇲🇬	bandera, bandera: Madagascar
🇲🇭	bandera, bandera: Islles Marshall
🇲🇰	bandera, bandera: Macedonia
🇲🇱	bandera, bandera: Malí
🇲🇲	bandera, bandera: Myanmar (Birmania)
🇲🇳	bandera, bandera: Mongolia
🇲🇴	bandera, bandera: ARE China de Macáu
🇲🇵	bandera, bandera: Islles Marianes del Norte
🇲🇶	bandera, bandera: La Martinica
🇲🇷	bandera, bandera: Mauritania
🇲🇸	bandera, bandera: Montserrat
🇲🇹	bandera, bandera: Malta
🇲🇺	bandera, bandera: Mauriciu
🇲🇻	bandera, bandera: Les Maldives
🇲🇼	bandera, bandera: Malaui
🇲🇽	bandera, bandera: Méxicu
🇲🇾	bandera, bandera: Malasia
🇲🇿	bandera, bandera: Mozambique
🇳🇦	bandera, bandera: Namibia
🇳🇨	bandera, bandera: Nueva Caledonia
🇳🇪	bandera, bandera: El Níxer
🇳🇫	bandera, bandera: Islla Norfolk
🇳🇬	bandera, bandera: Nixeria
🇳🇮	bandera, bandera: Nicaragua
🇳🇱	bandera, bandera: Países Baxos
🇳🇴	bandera, bandera: Noruega
🇳🇵	bandera, bandera: Nepal
🇳🇷	bandera, bandera: Nauru
🇳🇺	bandera, bandera: Niue
🇳🇿	bandera, bandera: Nueva Zelanda
🇴🇲	bandera, bandera: Omán
🇵🇦	bandera, bandera: Panamá
🇵🇪	bandera, bandera: Perú
🇵🇫	bandera, bandera: Polinesia Francesa
🇵🇬	bandera, bandera: Papúa Nueva Guinea
🇵🇭	bandera, bandera: Filipines
🇵🇰	bandera, bandera: Paquistán
🇵🇱	bandera, bandera: Polonia
🇵🇲	bandera, bandera: Saint Pierre y Miquelon
🇵🇳	bandera, bandera: Islles Pitcairn
🇵🇷	bandera, bandera: Puertu Ricu
🇵🇸	bandera, bandera: Territorios Palestinos
🇵🇹	bandera, bandera: Portugal
🇵🇼	bandera, bandera: Paláu
🇵🇾	bandera, bandera: Paraguái
🇶🇦	bandera, bandera: Qatar
🇷🇪	bandera, bandera: Reunión
🇷🇴	bandera, bandera: Rumanía
🇷🇸	bandera, bandera: Serbia
🇷🇺	bandera, bandera: Rusia
🇷🇼	bandera, bandera: Ruanda
🇸🇦	bandera, bandera: Arabia Saudita
🇸🇧	bandera, bandera: Islles Salomón
🇸🇨	bandera, bandera: Les Seixeles
🇸🇩	bandera, bandera: Sudán
🇸🇪	bandera, bandera: Suecia
🇸🇬	bandera, bandera: Singapur
🇸🇭	bandera, bandera: Santa Helena
🇸🇮	bandera, bandera: Eslovenia
🇸🇯	bandera, bandera: Svalbard ya Islla Jan Mayen
🇸🇰	bandera, bandera: Eslovaquia
🇸🇱	bandera, bandera: Sierra Lleona
🇸🇲	bandera, bandera: San Marín
🇸🇳	bandera, bandera: Senegal
🇸🇴	bandera, bandera: Somalia
🇸🇷	bandera, bandera: Surinam
🇸🇸	bandera, bandera: Sudán del Sur
🇸🇹	bandera, bandera: Santu Tomé y Príncipe
🇸🇻	bandera, bandera: El Salvador
🇸🇽	bandera, bandera: Sint Maarten
🇸🇾	bandera, bandera: Siria
🇸🇿	bandera, bandera: Suazilandia
🇹🇦	bandera, bandera: Tristán da Cunha
🇹🇨	bandera, bandera: Islles Turques y Caicos
🇹🇩	bandera, bandera: Chad
🇹🇫	bandera, bandera: Tierres Australes Franceses
🇹🇬	bandera, bandera: Togu
🇹🇭	bandera, bandera: Tailandia
🇹🇯	bandera, bandera: Taxiquistán
🇹🇰	bandera, bandera: Tokeláu
🇹🇱	bandera, bandera: Timor Oriental
🇹🇲	bandera, bandera: Turkmenistán
🇹🇳	bandera, bandera: Tunicia
🇹🇴	bandera, bandera: Tonga
🇹🇷	bandera, bandera: Turquía
🇹🇹	bandera, bandera: Trinidá y Tobagu
🇹🇻	bandera, bandera: Tuvalu
🇹🇼	bandera, bandera: Taiwán
🇹🇿	bandera, bandera: Tanzania
🇺🇦	bandera, bandera: Ucraína
🇺🇬	bandera, bandera: Uganda
🇺🇲	bandera, bandera: Islles Perifériques Menores de los EE.XX.
🇺🇳	bandera, bandera: Naciones Xuníes
🇺🇸	bandera, bandera: Estaos Xuníos
🇺🇾	bandera, bandera: Uruguái
🇺🇿	bandera, bandera: Uzbequistán
🇻🇦	bandera, bandera: Ciudá del Vaticanu
🇻🇨	bandera, bandera: San Vicente y Granadines
🇻🇪	bandera, bandera: Venezuela
🇻🇬	bandera, bandera: Islles Vírxenes Britániques
🇻🇮	bandera, bandera: Islles Vírxenes Americanes
🇻🇳	bandera, bandera: Vietnam
🇻🇺	bandera, bandera: Vanuatu
🇼🇫	bandera, bandera: Wallis y Futuna
🇼🇸	bandera, bandera: Samoa
🇽🇰	bandera, bandera: Kosovu
🇾🇪	bandera, bandera: Yemen
🇾🇹	bandera, bandera: Mayotte
🇿🇦	bandera, bandera: Sudáfrica
🇿🇲	bandera, bandera: Zambia
🇿🇼	bandera, bandera: Zimbabue
