😀	cara, cara sonriendo, contento, divertido, sonrisa
😃	cara sonriendo con ojos grandes
😄	boca abierta, cara sonriendo con ojos sonrientes, divertido, risa, sonrisa
😁	cara radiante con ojos sonrientes
😆	cara sonriendo con los ojos cerrados
😅	cara sonriendo con sudor frío
😂	cara llorando de felicidad
🙂	cara sonriendo ligeramente
😉	cara, cara guiñando el ojo, guiño
😊	cara, cara feliz con ojos sonrientes, ojos sonrientes, sonrisa
😇	cara sonriendo con aureola
🥰	cara sonriente con 4 corazones
😍	cara sonriendo con ojos de corazón
😘	cara lanzando un beso
😗	cara, cara dando un beso
😚	beso, cara, cara besando con los ojos cerrados, cerrados, ojos
😙	cara besando con ojos sonrientes
😋	broma, cara saboreando comida, delicioso, rico, sonriente
🤪	cara de loco
😝	cara con ojos cerrados y sacando la lengua
🤔	cara, cara pensante, cara pensativa, duda, pensar
🤐	boca, cara, cara con la boca cerrada con cierre, cara con la boca cerrada con cremallera, zipper
😑	cara sin expresión
😏	cara sonriendo con superioridad
🙄	cara con ojos en blanco
🤕	cara, cara con la cabeza vendada, dolor, herido, vendas
🤧	cara, cara estornudando, estornudar, estornudo, resfrío
🥵	cara de calor
🥶	cara de frío
🥴	cara de mareo
😵	cara, cara mareada, mareado
🥳	cara de fiesta
😎	cara sonriendo con lentes de sol
😟	cara, cara preocupada, preocupado
😮	cara con boca abierta, cara con la boca abierta, empatía, sorpresa
😳	avergonzado, cara sonrojada, sonrojado, sorprendido, sorpresa, vergüenza
🥺	cara de súplica
😦	abierta, boca, cara, cara con el ceño fruncido y la boca abierta
😧	cara angustiada
😨	cara asustada
😰	cara con ansiedad y sudor
😥	cara triste pero aliviada
😢	cara llorando, llanto, llorar, triste, tristeza
😱	cara gritando de miedo, grito, horror, miedo, terror
😣	cara perseverante
😞	cara, cara decepcionada, decepcionado, decepción
😩	cara agotada
😫	cara cansada
😤	cara resoplando
😡	cara de furioso
😠	cara, cara enfadada, enojado, enojo
😈	cara malvada sonriendo con cuernos
👿	cara malvada enfadada con cuernos
💀	calavera
☠️	calavera y huesos cruzados, cara, huesos
💩	caca con ojos, cara, estiércol, gracioso
👹	demonio japonés oni, fantasía, japonés, ogro, oni
👺	cara, cuento, demonio, demonio japonés tengu, japonés, tengu
👽️	alienígena
👾	monstruo alienígena
🤖	cara de robot
😺	cara de gato sonriendo
😸	cara de gato sonriendo con ojos sonrientes
😹	cara de gato llorando de risa, gato llorando de risa
😻	gato con ojos de corazón
😼	cara de gato con sonrisa irónica
😽	cara de gato besando
🙈	mono con los ojos tapados
🙉	mono con los oídos tapados
🙊	cara, mono, mono con la boca tapada, no hablar
💝	corazón con lazo
💗	corazón creciente
💓	corazón latiendo
💞	corazones giratorios
💟	adorno de corazón
💔	corazón, mal, roto, sufrir, triste
💢	cómics, emoción, señal de enojo, símbolo de enfado
💫	emoción, estrellas, mareo, símbolo de mareo, ver
💨	corriendo, emoción, escapar, escape, orrer, salir corriendo
💬	burbuja, cómic, diálogo, globo, globo de diálogo
👁‍🗨	ojo en un globo de texto
🗨️	burbuja, cómic, diálogo, globo, globo de diálogo izquierdo
🗯️	burbuja, cómic, derecho, enojado, globo, globo de enojo derecho
💭	burbuja, cómic, globo, globo de pensamiento, pensamiento
💤	cómics, emoción, estar durmiendo, roncar, símbolo de sueño
🖖	saludo, spock, star, trek, vulcano
🖖🏻	saludo, spock, star, tono de piel claro, trek, vulcano
🖖🏼	saludo, spock, star, tono de piel claro medio, trek, vulcano
🖖🏽	saludo, spock, star, tono de piel medio, trek, vulcano
🖖🏾	saludo, spock, star, tono de piel oscuro medio, trek, vulcano
🖖🏿	saludo, spock, star, tono de piel oscuro, trek, vulcano
👌	señal de aprobación con la mano
👌🏻	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel claro, tono de piel claro
👌🏼	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel claro medio, tono de piel claro medio
👌🏽	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel medio, tono de piel medio
👌🏾	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel oscuro medio, tono de piel oscuro medio
👌🏿	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel oscuro, tono de piel oscuro
✌️	amor y paz, mano con señal de victoria, tijera, victoria
✌🏻	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel claro, tijera, tono de piel claro, victoria
✌🏼	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel claro medio, tijera, tono de piel claro medio, victoria
✌🏽	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel medio, tijera, tono de piel medio, victoria
✌🏾	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel oscuro medio, tijera, tono de piel oscuro medio, victoria
✌🏿	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel oscuro, tijera, tono de piel oscuro, victoria
🤘	cuernos, dedos, mano haciendo los cuernos, rock, roll
🤘🏻	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel claro, rock, roll, tono de piel claro
🤘🏼	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel claro medio, rock, roll, tono de piel claro medio
🤘🏽	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel medio, rock, roll, tono de piel medio
🤘🏾	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel oscuro medio, rock, roll, tono de piel oscuro medio
🤘🏿	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel oscuro, rock, roll, tono de piel oscuro
🤙	gesto, llamada, mano, mano haciendo el gesto de llamar
🤙🏻	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel claro, tono de piel claro
🤙🏼	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel claro medio, tono de piel claro medio
🤙🏽	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel medio, tono de piel medio
🤙🏾	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel oscuro medio, tono de piel oscuro medio
🤙🏿	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel oscuro, tono de piel oscuro
👈️	mano con dedo índice hacia la izquierda
👈🏻	mano con dedo índice hacia la izquierda, mano con dedo índice hacia la izquierda: tono de piel claro, tono de piel claro
👈🏼	mano con dedo índice hacia la izquierda, mano con dedo índice hacia la izquierda: tono de piel claro medio, tono de piel claro medio
👈🏽	mano con dedo índice hacia la izquierda, mano con dedo índice hacia la izquierda: tono de piel medio, tono de piel medio
