😀	खीस, चेहरा, दाँत दिखाता चेहरा
😃	lol, खुले मुंह वाली मुस्कान, चेहरा, बड़ी आँखों वाला दाँत दिखाता चेहरा, मज़ेदार, मुस्काना, स्माइली, हंसी
😄	आँख, चेहरा, मुँह, मुस्कुराती आँखों वाला दाँत दिखाता चेहरा, मुस्कुराहट
😁	आँख, खीस, चेहरा, मुस्काती आँखों के साथ खींसें निपोरना, मुस्कुराहट
😆	खुला मुंह, खुले मुंह वाली मुस्कान, चेहरा, बंद आँखों वाला दाँत दिखाता चेहरा, बंद आंखें, बंद आंखों वाली मुस्कान
😅	ठंडा पसीना, ठंडे पसीने वाली मुस्कान, दाँत दिखाता पसीने वाला चेहरा, मुस्कान लेकिन ठंडा पसीना
🤣	चेहरा, फ़र्श, लोटना, हँसते हँसते लोट-पोट होना, हंसते हंसते लोट-पोट होना, हंसी
😂	आँसू, खुशी, खुशी के आँसुओं वाला चेहरा, चेहरा, हँसी
🙂	धीरे से हँसता चेहरा, स्माइली, हल्की मुस्कान वाला चेहरा, हौले से मुस्काना
🙃	उल्टा चेहरा, चेहरा
😉	आँख मारता चेहरा, आंख मारना, चेहरा
😊	मुस्काता चेहरा, मुस्काता चेहरा और आंखें, मुस्काती आँखों वाला मुस्काता चेहरा, मुस्काती आंखें, मुस्कान
😇	चेहरा, प्रभामंडल, प्रभामंडल वाली मुस्कान, प्रभामंडल वाली मुस्कान वाला चेहरा, मुस्कान
🥰	दुलार, प्यार में, प्यार में डूबा चेहरा, प्रेमी
😍	आंखें, आंखें चार होना, दिल और आँखें, दिल के आकार वाली आँखों वाला मुस्काता चेहरा, दिल वाली आँखों का मुस्काता चेहरा, प्यार
🤩	आँखें, चेहरे पर सितारे वाली आँखें, सितारा आँखें, सितारे, सितारों वाली आँखें
😘	चुंबन देता चेहरा, चूमता चेहरा, चेहरा, चेहरे पर चुंबन देना
😗	चुंबन, चुंबन वाला चेहरा, चेहरा
☺️	चेहरा, मुस्काता चेहरा, शर्म से लाल चेहरा, स्माइली, हँसता चेहरा
😚	आँख बंद करके चूमता चेहरा, आँखों को बंद करके चूमता चेहरा, चूमना, चेहरा, बंद आँखें, बंद आँखों से चूमना
😙	चुंबन और मुस्कान, चेहरा, मुस्काती आँखो के साथ चुंबन वाला चेहरा, मुस्काती आंखें, मुस्कान, मुस्कुराती आँखो के साथ चुंबन वाला चेहरा
😋	चेहरा, मुस्काता चेहरा, स्वादिष्ट, स्वादिष्ट खाना, स्वादिष्ट खाने का मज़ा लेता चेहरा
😛	चेहरा, जीभ बाहर, जीभ बाहर रहना, बाहर लटकी हुई जीभ वाला चेहरा
😜	आँख मारते हुए और जीभ बाहर निकालता चेहरा, आंख मारते हुए जीभ बाहर, आंख मारना, चुटकुला, चेहरा, छेड़ना, जीभ बाहर
🤪	अजीबोगरीब मज़ाकिया चेहरा, आँख, छोटा, बड़ा
😝	आंखें बंद, चेहरा, जीभ बाहर, डरावना, बंद आँखों के साथ जीभ बाहर निकालता चेहरा, बंद आंखों के साथ जीभ बाहर, यक
🤑	चेहरा, धनयुक्त चेहरा
🤗	गले लगाता हुआ, गले लगाता हुआ चेहरा, गले लगाना, चेहरा
🤭	खुशी या हैरानी से चिल्लाना, चीख, मुँह पर हाथ रखे हुए चेहरा, हू हू
🤫	चुप, मौन, शांत, शांत रहने का इशारा करता हुआ चेहरा
🤔	चेहरा, विचारमग्न चेहरा, सोचता हुआ चेहरा
🤐	चेहरा, ज़िपर-मुँह वाला चेहरा, मुंह
🤨	अविश्वासी, तनी हुई भौहों वाला चेहरा, भौहें ताने हुआ चेहरा, शक्की
😐️	उदासीन, कोई टिप्पणी नहीं, चेहरा, भावहीन, भावहीन चेहरा
😑	अभिव्यक्तिरहित चेहरा, कोई टिप्पणी नहीं, चेहरा, भावशून्य
😶	चेहरा, बिना मुँह का चेहरा, मुंह रहित
😏	कृत्रिम हंसी, चेहरा, बनावटी हँसी वाला चेहरा, बनावटी हंसी
😒	अप्रसन्न, अप्रसन्न चेहरा, चेहरा, नाखुश
🙄	आंखें, ऊपर देखती आँखों वाला चेहरा, ऊपर देखती आंखें, चेहरा
😬	खिसियाता चेहरा, चेहरा, दांत निकालना, मुंह बनाता चेहरा, मुंह बनाना
🤥	चेहरा, झूठ, झूठ बोलता चेहरा, पिनोकिओ
😌	चिंतामुक्त, चिंतामुक्त चेहरा, चेहरा
😔	चेहरा, निरुत्साहित, निरुत्साहित चेहरा, विचारमग्न
😪	उनींदा, उनींदा चेहरा, चेहरा
🤤	चेहरा, लार टपकता चेहरा, लार टपकना
😴	चेहरा, सोता हुआ चेहरा, सोया हुआ चेहरा
😷	चिकित्सा मास्क, चिकित्सा मास्क वाला चेहरा, चेहरा, ठंड, नकाब, मास्क वाला चेहरा
🤒	चेहरा, थर्मामीटर, थर्मामीटर वाला चेहरा, बीमार
🤕	चेहरा, चोट, दुर्घटनाग्रस्त, सिर पर पट्टी, सिर पर पट्टी वाला चेहरा
🤢	उल्टी, उल्टी करता चेहरा, चेहरा
🤮	उबकाई, उल्टी, उल्टी करता हुआ चेहरा
