😀	lice, lice sa širokim osmehom, usta, zubi, široki osmeh
😃	lice, lice sa oduševljenim osmehom, oduševljenje, usta, zubi, široki osmeh
😄	lice, lice koje se slatko smeje, otvoreno, oči, usta, široki osmeh
😁	kez, lice, lice sa kezom, oči, usta, zubi, široki osmeh
😆	lice, lice sa zločestim osmehom, osmeh, smeh, usta, zadovoljno, zločesto
😅	hladan znoj, lice, lice sa nervoznim osmehom, nervoza, usta, široki osmeh
🤣	smeh, urnebesno, valjanje, valjanje od smeha
😂	lice, lice sa suzama radosnicama, smeh, suze, veselje
🙂	blago nasmejano lice, lice, osmeh
🙃	lice, lice okrenuto naopako, naopako
😉	lice, lice koje namiguje, namigivanje
😊	lice, nasmejano lice sa nasmejanim očima, osmeh, oči, rumeno
😇	anđeo, bajka, lice, nasmejano lice sa oreolom, nevinost, oreol, osmeh
🥰	obožavanje, smajli sa srcima, zaljubljen
😍	lice, ljubav, nasmejano lice sa očima u obliku srca, osmeh, oči, srce
🤩	kez, lice, oči, pod srećnom zvezdom, zvezda
😘	lice, lice koje šalje poljubac, poljubac, srce
😗	lice, lice koje ljubi, poljubac
☺️	lice, nasmejano lice, osmeh, rumeno, zadovoljno
😚	lice, lice koje ljubi sa zatvorenim očima, oči, poljubac, zatvoreno
😙	lice, lice koje ljubi sa nasmejanim očima, osmeh, oči, poljubac
😋	fino, lice, lice koje uživa u ukusnoj hrani, njam, osmeh, ukusno
😛	jezik, lice, lice koje se plazi
😜	jezik, lice, lice koje se plazi i namiguje, namigivanje, oči, šala
🤪	ludačko lice, malo, oko, veliko
😝	gadno, jezik, lice, lice koje se plazi sa zatvorenim očima, oči, ukus
🤑	lice, novac, pohlepa, pohlepno lice, usta
🤗	grljenje, lice, lice koje grli, zagrljaj
🤭	lice sa rukom preko usta, ups
🤫	tiho, ućutkujuće lice, ćuti
🤔	lice, lice koje razmišlja, razmišljanje
🤐	lice, lice sa zapečaćenim ustima, rajsferšlus, usta, zapečaćeno
🤨	lice sa uzdignutom obrvom, nepoverenje, skeptično
😐️	bezlično, lice, lice sa neutralnim izrazom, neutralno
😑	bezizražajno, bezizražajno lice, bezlično, lice
😶	bez reči, lice, lice bez usta, nečujno, tiho, usta
😏	lice, lice koje se zlobno smeška, zlobno smeškanje
😒	dosada, lice, smor, smoreno lice
🙄	kolutanje, lice, lice koje koluta očima, oči
😬	grimasa, lice, lice sa grimasom
🤥	laž, lažljivac, lica, nos, pinokio
😌	lice, olakšanje, spokoj, spokojno lice
😔	bezvoljnost, lice, zamišljeno lice, zamišljenost
😪	lice, pospano lice, spavanje
🤤	bale, lice, lice kojem ide voda na usta, usta
