🙃	face, upside down, upside-down face
😍	smiling face with heart eyes
😋	delicious, face, face savouring food, savoring, savouring, smile, yum
🤭	face with hand over mouth, oops, whoops
😷	cold, doctor, face, face with medical mask, ill, mask, sick
🤒	face, face with thermometer, ill, sick, thermometer
🤧	bless you, face, gesundheit, sneeze, sneezing face
😻	smiling cat face with heart eyes
😼	cat, cat with wry smile, face, ironic, smile, wry
🗨️	dialogue, left speech bubble, speech
👌	OK, hand, perfect
👌🏻	OK, hand, light skin tone, perfect
👌🏼	OK, hand, medium-light skin tone, perfect
👌🏽	OK, hand, medium skin tone, perfect
👌🏾	OK, hand, medium-dark skin tone, perfect
👌🏿	OK, dark skin tone, hand, perfect
🤟	love you gesture
🤟🏻	light skin tone, love you gesture, love you gesture: light skin tone
🤟🏼	love you gesture, love you gesture: medium-light skin tone, medium-light skin tone
🤟🏽	love you gesture, love you gesture: medium skin tone, medium skin tone
🤟🏾	love you gesture, love you gesture: medium-dark skin tone, medium-dark skin tone
🤟🏿	dark skin tone, love you gesture, love you gesture: dark skin tone
🤘	finger, hand, horns, rock on, sign of the horns
🤘🏻	finger, hand, horns, light skin tone, rock on, sign of the horns
🤘🏼	finger, hand, horns, medium-light skin tone, rock on, sign of the horns
🤘🏽	finger, hand, horns, medium skin tone, rock on, sign of the horns
🤘🏾	finger, hand, horns, medium-dark skin tone, rock on, sign of the horns
🤘🏿	dark skin tone, finger, hand, horns, rock on, sign of the horns
🤙	call me hand
🤙🏻	call me hand, call me hand: light skin tone, light skin tone
🤙🏼	call me hand, call me hand: medium-light skin tone, medium-light skin tone
🤙🏽	call me hand, call me hand: medium skin tone, medium skin tone
🤙🏾	call me hand, call me hand: medium-dark skin tone, medium-dark skin tone
🤙🏿	call me hand, call me hand: dark skin tone, dark skin tone
🤛	fist, left-facing fist, leftward
🤛🏻	fist, left-facing fist, leftward, light skin tone
🤛🏼	fist, left-facing fist, leftward, medium-light skin tone
🤛🏽	fist, left-facing fist, leftward, medium skin tone
🤛🏾	fist, left-facing fist, leftward, medium-dark skin tone
🤛🏿	dark skin tone, fist, left-facing fist, leftward
🤜	fist, right-facing fist, rightward
🤜🏻	fist, light skin tone, right-facing fist, rightward
🤜🏼	fist, medium-light skin tone, right-facing fist, rightward
🤜🏽	fist, medium skin tone, right-facing fist, rightward
🤜🏾	fist, medium-dark skin tone, right-facing fist, rightward
🤜🏿	dark skin tone, fist, right-facing fist, rightward
💪	flexed bicep
💪🏻	flexed bicep, flexed bicep: light skin tone, light skin tone
💪🏼	flexed bicep, flexed bicep: medium-light skin tone, medium-light skin tone
💪🏽	flexed bicep, flexed bicep: medium skin tone, medium skin tone
💪🏾	flexed bicep, flexed bicep: medium-dark skin tone, medium-dark skin tone
💪🏿	dark skin tone, flexed bicep, flexed bicep: dark skin tone
🧒	child, gender-neutral, toddler, unspecified gender, young
🧒🏻	child, gender-neutral, light skin tone, toddler, unspecified gender, young
🧒🏼	child, gender-neutral, medium-light skin tone, toddler, unspecified gender, young
🧒🏽	child, gender-neutral, medium skin tone, toddler, unspecified gender, young
🧒🏾	child, gender-neutral, medium-dark skin tone, toddler, unspecified gender, young
🧒🏿	child, dark skin tone, gender-neutral, toddler, unspecified gender, young
🧑‍⚕	health worker
🧑🏻‍⚕	health worker, light skin tone
🧑🏼‍⚕	health worker, medium-light skin tone
🧑🏽‍⚕	health worker, medium skin tone
🧑🏾‍⚕	health worker, medium-dark skin tone
🧑🏿‍⚕	dark skin tone, health worker
👨‍⚕	doctor, health care, man, man health worker, nurse, therapist
👨🏻‍⚕	doctor, health care, light skin tone, man, man health worker, nurse, therapist
👨🏼‍⚕	doctor, health care, man, man health worker, medium-light skin tone, nurse, therapist
👨🏽‍⚕	doctor, health care, man, man health worker, medium skin tone, nurse, therapist
👨🏾‍⚕	doctor, health care, man, man health worker, medium-dark skin tone, nurse, therapist
👨🏿‍⚕	dark skin tone, doctor, health care, man, man health worker, nurse, therapist
👩‍⚕	doctor, health care, nurse, therapist, woman, woman health worker
👩🏻‍⚕	doctor, health care, light skin tone, nurse, therapist, woman, woman health worker
👩🏼‍⚕	doctor, health care, medium-light skin tone, nurse, therapist, woman, woman health worker
👩🏽‍⚕	doctor, health care, medium skin tone, nurse, therapist, woman, woman health worker
👩🏾‍⚕	doctor, health care, medium-dark skin tone, nurse, therapist, woman, woman health worker
👩🏿‍⚕	dark skin tone, doctor, health care, nurse, therapist, woman, woman health worker
🧑‍🚒	firefighter
🧑🏻‍🚒	firefighter, light skin tone
🧑🏼‍🚒	firefighter, medium-light skin tone
🧑🏽‍🚒	firefighter, medium skin tone
🧑🏾‍🚒	firefighter, medium-dark skin tone
🧑🏿‍🚒	dark skin tone, firefighter
👨‍🚒	fire truck, firefighter, fireman, man
👨🏻‍🚒	fire truck, firefighter, fireman, light skin tone, man
👨🏼‍🚒	fire truck, firefighter, fireman, man, medium-light skin tone
👨🏽‍🚒	fire truck, firefighter, fireman, man, medium skin tone
👨🏾‍🚒	fire truck, firefighter, fireman, man, medium-dark skin tone
👨🏿‍🚒	dark skin tone, fire truck, firefighter, fireman, man
👩‍🚒	fire truck, firefighter, firewoman, woman
👩🏻‍🚒	fire truck, firefighter, firewoman, light skin tone, woman
👩🏼‍🚒	fire truck, firefighter, firewoman, medium-light skin tone, woman
👩🏽‍🚒	fire truck, firefighter, firewoman, medium skin tone, woman
👩🏾‍🚒	fire truck, firefighter, firewoman, medium-dark skin tone, woman
👩🏿‍🚒	dark skin tone, fire truck, firefighter, firewoman, woman
🎅	Christmas, Claus, Father, Santa, celebration
🎅🏻	Christmas, Claus, Father, Santa, celebration, light skin tone
🎅🏼	Christmas, Claus, Father, Santa, celebration, medium-light skin tone
🎅🏽	Christmas, Claus, Father, Santa, celebration, medium skin tone
🎅🏾	Christmas, Claus, Father, Santa, celebration, medium-dark skin tone
🎅🏿	Christmas, Claus, Father, Santa, celebration, dark skin tone
🤶	Mrs. Claus
🤶🏻	Mrs. Claus, Mrs. Claus: light skin tone, light skin tone
🤶🏼	Mrs. Claus, Mrs. Claus: medium-light skin tone, medium-light skin tone
🤶🏽	Mrs. Claus, Mrs. Claus: medium skin tone, medium skin tone
🤶🏾	Mrs. Claus, Mrs. Claus: medium-dark skin tone, medium-dark skin tone
🤶🏿	Mrs. Claus, Mrs. Claus: dark skin tone, dark skin tone
🧑‍🎄	Claus, Christmas, Mx. Claus
🧑🏻‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: light skin tone, light skin tone
🧑🏼‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: medium-light skin tone, medium-light skin tone
🧑🏽‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: medium skin tone, medium skin tone
🧑🏾‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: medium-dark skin tone, medium-dark skin tone
🧑🏿‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: dark skin tone, dark skin tone
💇	barber, beauty, haircut, parlour, person getting haircut
💇🏻	barber, beauty, haircut, light skin tone, parlour, person getting haircut
💇🏼	barber, beauty, haircut, medium-light skin tone, parlour, person getting haircut
💇🏽	barber, beauty, haircut, medium skin tone, parlour, person getting haircut
💇🏾	barber, beauty, haircut, medium-dark skin tone, parlour, person getting haircut
💇🏿	barber, beauty, dark skin tone, haircut, parlour, person getting haircut
🏋️	lifter, person lifting weights, weight, weightlifter
🏋🏻	lifter, light skin tone, person lifting weights, weight, weightlifter
🏋🏼	lifter, medium-light skin tone, person lifting weights, weight, weightlifter
🏋🏽	lifter, medium skin tone, person lifting weights, weight, weightlifter
🏋🏾	lifter, medium-dark skin tone, person lifting weights, weight, weightlifter
🏋🏿	dark skin tone, lifter, person lifting weights, weight, weightlifter
🤹	balance, juggle, multi-task, multitask, person juggling, skill
🤹🏻	balance, juggle, light skin tone, multi-task, multitask, person juggling, skill
🤹🏼	balance, juggle, medium-light skin tone, multi-task, multitask, person juggling, skill
🤹🏽	balance, juggle, medium skin tone, multi-task, multitask, person juggling, skill
🤹🏾	balance, juggle, medium-dark skin tone, multi-task, multitask, person juggling, skill
🤹🏿	balance, dark skin tone, juggle, multi-task, multitask, person juggling, skill
🤹‍♂	juggling, man, multi-task, multitask
🤹🏻‍♂	juggling, light skin tone, man, multi-task, multitask
🤹🏼‍♂	juggling, man, medium-light skin tone, multi-task, multitask
🤹🏽‍♂	juggling, man, medium skin tone, multi-task, multitask
🤹🏾‍♂	juggling, man, medium-dark skin tone, multi-task, multitask
🤹🏿‍♂	dark skin tone, juggling, man, multi-task, multitask
🤹‍♀	juggling, multi-task, multitask, woman
🤹🏻‍♀	juggling, light skin tone, multi-task, multitask, woman
🤹🏼‍♀	juggling, medium-light skin tone, multi-task, multitask, woman
🤹🏽‍♀	juggling, medium skin tone, multi-task, multitask, woman
🤹🏾‍♀	juggling, medium-dark skin tone, multi-task, multitask, woman
🤹🏿‍♀	dark skin tone, juggling, multi-task, multitask, woman
👭	couple, hand, two women holding hands, woman, women, women holding hands
👭🏻	couple, hand, light skin tone, two women holding hands, woman, women, women holding hands
👩🏻‍🤝‍👩🏼	couple, hand, light skin tone, medium-light skin tone, two women holding hands, woman, women, women holding hands
👩🏻‍🤝‍👩🏽	couple, hand, light skin tone, medium skin tone, two women holding hands, woman, women, women holding hands
👩🏻‍🤝‍👩🏾	couple, hand, light skin tone, medium-dark skin tone, two women holding hands, woman, women, women holding hands
👩🏻‍🤝‍👩🏿	couple, dark skin tone, hand, light skin tone, two women holding hands, woman, women, women holding hands
👩🏼‍🤝‍👩🏻	couple, hand, light skin tone, medium-light skin tone, two women holding hands, woman, women, women holding hands
👭🏼	couple, hand, medium-light skin tone, two women holding hands, woman, women, women holding hands
👩🏼‍🤝‍👩🏽	couple, hand, medium skin tone, medium-light skin tone, two women holding hands, woman, women, women holding hands
👩🏼‍🤝‍👩🏾	couple, hand, medium-dark skin tone, medium-light skin tone, two women holding hands, woman, women, women holding hands
👩🏼‍🤝‍👩🏿	couple, dark skin tone, hand, medium-light skin tone, two women holding hands, woman, women, women holding hands
👩🏽‍🤝‍👩🏻	couple, hand, light skin tone, medium skin tone, two women holding hands, woman, women, women holding hands
👩🏽‍🤝‍👩🏼	couple, hand, medium skin tone, medium-light skin tone, two women holding hands, woman, women, women holding hands
👭🏽	couple, hand, medium skin tone, two women holding hands, woman, women, women holding hands
👩🏽‍🤝‍👩🏾	couple, hand, medium skin tone, medium-dark skin tone, two women holding hands, woman, women, women holding hands
👩🏽‍🤝‍👩🏿	couple, dark skin tone, hand, medium skin tone, two women holding hands, woman, women, women holding hands
👩🏾‍🤝‍👩🏻	couple, hand, light skin tone, medium-dark skin tone, two women holding hands, woman, women, women holding hands
👩🏾‍🤝‍👩🏼	couple, hand, medium-dark skin tone, medium-light skin tone, two women holding hands, woman, women, women holding hands
👩🏾‍🤝‍👩🏽	couple, hand, medium skin tone, medium-dark skin tone, two women holding hands, woman, women, women holding hands
👭🏾	couple, hand, medium-dark skin tone, two women holding hands, woman, women, women holding hands
👩🏾‍🤝‍👩🏿	couple, dark skin tone, hand, medium-dark skin tone, two women holding hands, woman, women, women holding hands
👩🏿‍🤝‍👩🏻	couple, dark skin tone, hand, light skin tone, two women holding hands, woman, women, women holding hands
👩🏿‍🤝‍👩🏼	couple, dark skin tone, hand, medium-light skin tone, two women holding hands, woman, women, women holding hands
👩🏿‍🤝‍👩🏽	couple, dark skin tone, hand, medium skin tone, two women holding hands, woman, women, women holding hands
👩🏿‍🤝‍👩🏾	couple, dark skin tone, hand, medium-dark skin tone, two women holding hands, woman, women, women holding hands
👭🏿	couple, dark skin tone, hand, two women holding hands, woman, women, women holding hands
👬	Gemini, couple, man, men, men holding hands, twins, two men holding hands, zodiac
👬🏻	Gemini, couple, light skin tone, man, men, men holding hands, twins, two men holding hands, zodiac
👨🏻‍🤝‍👨🏼	Gemini, couple, light skin tone, man, medium-light skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏻‍🤝‍👨🏽	Gemini, couple, light skin tone, man, medium skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏻‍🤝‍👨🏾	Gemini, couple, light skin tone, man, medium-dark skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏻‍🤝‍👨🏿	Gemini, couple, dark skin tone, light skin tone, man, men, men holding hands, twins, two men holding hands, zodiac
👨🏼‍🤝‍👨🏻	Gemini, couple, light skin tone, man, medium-light skin tone, men, men holding hands, twins, two men holding hands, zodiac
👬🏼	Gemini, couple, man, medium-light skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏼‍🤝‍👨🏽	Gemini, couple, man, medium skin tone, medium-light skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏼‍🤝‍👨🏾	Gemini, couple, man, medium-dark skin tone, medium-light skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏼‍🤝‍👨🏿	Gemini, couple, dark skin tone, man, medium-light skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏽‍🤝‍👨🏻	Gemini, couple, light skin tone, man, medium skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏽‍🤝‍👨🏼	Gemini, couple, man, medium skin tone, medium-light skin tone, men, men holding hands, twins, two men holding hands, zodiac
👬🏽	Gemini, couple, man, medium skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏽‍🤝‍👨🏾	Gemini, couple, man, medium skin tone, medium-dark skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏽‍🤝‍👨🏿	Gemini, couple, dark skin tone, man, medium skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏾‍🤝‍👨🏻	Gemini, couple, light skin tone, man, medium-dark skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏾‍🤝‍👨🏼	Gemini, couple, man, medium-dark skin tone, medium-light skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏾‍🤝‍👨🏽	Gemini, couple, man, medium skin tone, medium-dark skin tone, men, men holding hands, twins, two men holding hands, zodiac
👬🏾	Gemini, couple, man, medium-dark skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏾‍🤝‍👨🏿	Gemini, couple, dark skin tone, man, medium-dark skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏿‍🤝‍👨🏻	Gemini, couple, dark skin tone, light skin tone, man, men, men holding hands, twins, two men holding hands, zodiac
👨🏿‍🤝‍👨🏼	Gemini, couple, dark skin tone, man, medium-light skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏿‍🤝‍👨🏽	Gemini, couple, dark skin tone, man, medium skin tone, men, men holding hands, twins, two men holding hands, zodiac
👨🏿‍🤝‍👨🏾	Gemini, couple, dark skin tone, man, medium-dark skin tone, men, men holding hands, twins, two men holding hands, zodiac
👬🏿	Gemini, couple, dark skin tone, man, men, men holding hands, twins, two men holding hands, zodiac
🦳	gray, grey, hair, old, white
🐫	Bactrian, camel, hump, two-hump camel
🐞	ladybug
🕸️	spider web
🌾	sheaf of rice
🧄	flavouring, garlic
🧅	flavouring, onion
🥜	food, nut, peanut, peanuts, vegetable
🌰	chestnut, nut
🥐	French, bread, crescent roll, croissant, food
🥖	French, baguette, bread, food
🍔	hamburger
🍟	French fries
🌮	Mexican, taco
🌯	Mexican, burrito, wrap
🧆	chick pea, chickpea, falafel, meatball
🥫	canned food
🥡	takeout box
🍦	cream, dessert, ice, soft, sweet
🍪	cookie
🍬	candy
🍭	candy, dessert, lollipop, sweet
🍴	fork and knife
🗻	mount Fuji
🗼	Tokyo Tower
🗽	Liberty, Statue, Statue of Liberty
🕌	Islam, Muslim, mosque, religion
🛕	Hindu temple
⛩️	Shinto shrine
🕋	Islam, Muslim, kaaba, religion
🎡	Ferris wheel
💈	barber pole
🚃	car, electric, railway, railway carriage, train, tram, trolley bus, trolleybus
🚄	Shinkansen, high-speed train, railway, speed, train
🚅	Shinkansen, bullet, railway, speed, train
🚊	tram, trolley bus, trolleybus
🚋	tramcar
🚎	trolley bus
🚒	fire truck
🚙	SUV, recreational, sport utility, sport utility vehicle
🛺	auto rickshaw, tuk tuk, tuk-tuk, tuktuk
⛽️	gas pump
🛥️	motorboat
🛫	aeroplane, airplane, check-in, departure, departures
🕧	twelve thirty
🕜	one thirty
🕝	two thirty
🕞	three thirty
🕟	four thirty
🕠	five thirty
🕡	six thirty
🕢	seven thirty
🕣	eight thirty
🕤	nine thirty
🕥	ten thirty
🕦	eleven thirty
🌝	full-moon face
⭐️	yellow medium star
🌌	Milky Way
🎃	Halloween, celebration, jack, jack-o-lantern, jack-o’-lantern, lantern
🎋	Tanabata tree
🎑	moon-viewing ceremony
🏉	rugby
🏏	ball, bat, cricket, cricket match, game
🤿	diving, diving mask, scuba, snorkelling
🧿	bead, charm, evil eye, nazar, nazar amulet, talisman
🀄️	Mahjong red dragon
👕	T-shirt, clothing, shirt, t-shirt, tee-shirt, tshirt
🎒	backpack
🩴	flip-flop
🎓️	cap, celebration, clothing, graduation, hat
🧢	baseball cap
💎	gemstone
💾	computer, disk, diskette, floppy
🎥	movie camera
📺️	television, tv, video
🔦	flashlight
