😀	faccina, faccina che sogghigna, faccina con un gran sorriso, risata, sogghignare
😃	faccina, faccina con un gran sorriso e occhi spalancati, faccina sorridente, risata, sorridere
😄	bocca aperta, faccina con sorriso e occhi sorridenti, faccina con un gran sorriso e occhi sorridenti, occhi felici, risata, sorriso
😁	faccina, faccina raggiante con occhi felici, occhi felici, risata, sogghignare
😆	bocca aperta, occhi chiusi, sorriso, sorriso a bocca aperta con occhi chiusi
😅	faccina con un gran sorriso e goccia di sudore, goccia, sorriso teso, sudore
🤣	crepapelle, ridere, ridere a crepapelle
😂	faccina, faccina con lacrime di gioia, gioia, lacrime, piangere dal ridere
🙂	faccina con sorriso accennato, mezzo sorriso, sorriso, sorriso a bocca chiusa
🙃	capovolta, faccina, faccina sottosopra, scombussolata, sottosopra
😉	faccina, faccina che fa l’occhiolino, fare l’occhiolino
😊	faccina, faccina con occhi sorridenti, felice, occhi sorridenti, sorriso
😇	angioletto, aureola, faccina, faccina con sorriso e aureola, faccina sorridente con aureola
🥰	adorazione, colpo di fulmine, faccina con cuoricini, faccina innamorata
😍	amore, cuore, faccina, faccina con sorriso e occhi a cuore
🤩	colpo di fulmine, faccia sorridente, occhi, stelline
😘	baci, faccina, faccina che manda baci, faccina che manda un bacio
😗	faccina, faccina che bacia, faccina che dà bacio
☺️	contorno faccina sorridente, emozionarsi, faccina, faccina sorridente, sorridente
😚	baciare, bacio, faccina, faccina che bacia con occhi chiusi, occhi chiusi
😙	faccina, faccina che bacia con occhi sorridenti, faccina che manda baci, faccina sorridente
😋	buono, cibo delizioso, faccina, faccina che si lecca i baffi, gnam
😛	faccina, faccina che mostra la lingua, faccina con lingua fuori, linguaccia
😜	faccina, faccina che fa l’occhiolino e mostra la lingua, linguaccia con occhiolino, occhiolino, scherzo
🤪	faccina impazzita, grande, occhio, piccolo
😝	bleah, faccina, faccina con un gran sorriso che mostra la lingua, linguaccia, orribile
🤑	avidità, faccina avida di denaro, guadagnare, ricchezza, soldi
🤗	abbraccio, faccina, faccina che abbraccia, sorriso
🤭	faccina con mano sulla bocca, oops
🤫	faccina che zittisce, silenzio, zittire
🤔	concentrarsi, faccina, faccina concentrata, pensare
🤐	bocca cucita, faccina con bocca con cerniera, no comment, non posso parlare, zitto
🤨	diffidente, faccia con sopracciglia alzate, scettico
😐️	faccina, faccina neutra, impassibile, neutra, no comment
😑	faccina, faccina inespressiva, inespressiva, no comment
😶	faccina, faccina senza bocca, non posso parlare, senza bocca
😏	faccina, faccina che sorride, faccina con sorrisetto, furbetto, malizioso
😒	contrariata, faccina, faccina contrariata, triste
🙄	faccina, faccina con occhi al cielo, guardare altrove, roteare gli occhi, sollevare gli occhi al cielo
😬	faccina, faccina con smorfia
🤥	bugia, bugiardo, faccina bugiarda, naso lungo, pinocchio
😌	faccina, faccina sollevata
😔	faccina, faccina pensierosa, pensierosa, scoraggiata
😪	assonnato, dormire, faccina, faccina assonnata, sonno
🤤	bava, faccina, faccina che sbava, sbavare
😴	faccina, faccina che dorme, sonno
😷	faccina, faccina con mascherina, maschera, mascherina
🤒	ammalato, faccina con termometro, febbre, influenza, termometro
🤕	bende, dolore, faccina, faccina bendata, farsi male, fasciarsi la testa
🤢	faccina, faccina nauseata, nausea, vomito
🤮	faccina che vomita, nausea, vomito
🤧	faccina, faccina che starnutisce, raffreddore, starnuto
🥵	caldo, faccina accaldata, faccina sudata, febbricitante, sudore
🥶	faccina blu, faccina congelata, freddo, gelone, ipotermia
🥴	faccina con occhi semiaperti, faccina stordita, frastornato, vertigini
😵	faccina frastornata, testa che gira
🤯	scioccato, testa che esplode
🤠	cappello, cowboy, faccina, faccina con cappello da cowboy
🥳	cappellino, faccina che festeggia, festa, festeggiamenti, party, trombetta
😎	faccina, faccina con sorriso e occhiali da sole, occhiali da sole, sorriso, spensierato
🤓	faccina nerd, nerd, occhiali da nerd, secchione, studioso
🧐	faccina con monocolo, sospetto
😕	confusa, faccina, faccina confusa
😟	faccina, faccina preoccupata, preoccupazione preoccupata
🙁	corrucciato, faccina, faccina leggermente imbronciata, imbronciato, mettere il muso
☹️	corrucciato, faccina, faccina imbronciata, imbronciato, mettere il muso
