😀	gülen yüz, gülme, lol, neşeli, sırıtan yüz, yüz
😃	ağzı açık gülen yüz, ağzı açık sırıtma, gülen yüz, gülme, gülümseme, lol, neşeli, yüz
😄	ağzı açık gülen gözler, gülen gözlerle ağzı açık sırıtma, gülen yüz, gülme, gülümseme, lol, neşeli
😁	gülen gözlerle sırıtan yüz, gülen gözlerle sırıtma, gülen yüz, gülme, gülümseme, gülümseyen gözler, lol, neşeli, yüz
😆	ağız açık, gözler kapalı, kapalı gözlerle ağzı açık sırıtma, kapalı gözlerle gülümseme, yüz
😅	soğuk ter, soğuk terli ağzı açık gülümseme
🤣	gülme, gülmekten yerlere yatma, yatma, yer, yüz
😂	gözyaşları, sevinç, sevinç gözyaşları, sevinç gözyaşları olan yüz, yüz
🙂	gülme, hafifçe gülümseyen yüz, yüz
🙃	ters yüz, yüz
😉	göz kırpan yüz, göz kırpma, yüz
😊	ağzı açık gülme, gülümseyen gözler, gülümseyen yüz, gülümseyen yüz ve gözler, yüz
😇	gülümseme, yüz, ışık halkalı gülümseme, ışık halkası
🥰	3 kalpli gülümseyen yüz, aşık olma, hayranlık, kalpli gülümseyen yüz, çarpılma
😍	aşk, değer verme, gözler, kalp, kalp gözlü gülümseme, yüz
🤩	gözler, sırıtan, yüz, yıldız, yıldız çarpmış
😘	yüz, öpücük gönderen yüz
😗	yüz, öpen yüz, öpücük
☺️	gülen yüz, içi boş gülen yüz, yüz
😚	gözler kapalı, gözler kapalı öpüşme, kapalı gözlerle öpen yüz, yüz
😙	gülen gözlerle öpen yüz, gülümseme, gülümseyen gözler, gülümseyerek öpen yüz, yüz
😋	gülümseyen yüz, harika yemek, lezzetli, lezzetli yiyecek beğenen yüz, oh oh harika, yüz
😛	dil dışarıda, dil dışarıda kalmış, dil çıkarmış yüz, yüz
😜	dil dışardayken göz kırpma, dili dışarda göz kırpma, göz kırpma, kışkırtma, yüz, şaka
🤪	büyük, göz, küçük, çılgın surat
😝	dil dışarıda, dil dışarıda ve gözler kapalı, gözler kapalı, gözler kapalı ve dil dışarıda, korkunç, yüz
🤑	ağız, para, para ağızlı yüz, yüz
🤗	kucaklama, kucaklayarak gülümseme, sarılma, yüz
🤭	eliyle ağzını kapatan yüz, tüh
🤫	sessiz, sus işareti yapan yüz, şişt
🤔	düşünen yüz, düşünme, yüz
🤐	ağzı fermuarlı yüz, ağız, fermuar, yüz
🤨	güvenmeyen, tek kaşı çatık yüz, şüpheci
😐️	duygusuz, duygusuz yüz, nötr, yorum yok, yüz
😑	ifadesiz yüz, yorum yok, yüz
😶	ağzı olmayan yüz, ağız, sakin, sessiz, yüz
😏	imalı gülümseme, yapmacık gülümseyen, yapmacık gülümseyen yüz, yüz
😒	keyifsiz yüz, mutsuz, yüz
🙄	gözler, gözlerini deviren yüz, yuvarlanma, yüz
