😀	خندېدلی مخ, مخ, مسکا, مسکېدلی مخ
😃	خله, مخ, مسکا, مسکېدلی مخ د غټو سترګو سره, پېرته
😄	برسېره, خله, سترګه, مخ, مسکا, مسکېدلی مخ د مسکېدلی سترګو, مسکېدلی مخ د مسکېدلی سترګو سره
😁	خندا, سترګه, مخ, مسکا, پړقېدونکی مخ دمسکېدلي سترګو سره
😆	خله, خندا, قانع, مخ, مسکا, مسکېدلی نيمکښ مخ
😅	برسېره, خوله, مخ, مسکا, مسکېدلی مخ د خولو سره, يخ
🤣	خندل, د خندا نه په فرش رغړېدل, فرش, مخ
😂	اوښکې, خندا, خوشالي, د خوشحالۍ د اوښکو مخ, مخ
🙂	لږ مسکېدلی مخ, مخ, مسکا
🙃	مخ, نسکور, نسکور مخ
😉	سترګه وهل, سترګه وهونکی مخ, مخ
😊	سترګه, شرمېدل, مخ, مسکېدونکی مخ د مسکېدونکې سترګو
😇	فرشته, مخ, مسکېدونکی مخ د هالې سره, معصوم, هاله
🥰	د زړه مينه, زړونه, ماتول, مسکېدونکی, مسکېدونکی مخ د زړونو سره, په مينه کې
😍	سترګه, مخ, مسکا, مسکېدونکی مخ د زړه سترګو سره, مينه
🤩	خندل, سترګې, ستورو وهلی, ستوری, مخ
😘	د الوزونکي مچولو مخ, مخ, مچول
😗	مخ, مچول, مچوونکی مخ
☺️	آوټلاين, دمه, مخ, مسکا, مسکېدلی مخ
😚	بندې, سترګه, مخ, مچول, مچوونکی مخ د بندو سترګو سره
😙	سترګه, مخ, مسکا, مچول, مچوونکی مخ د مسکېدلې سترګو سره
😋	خوند اخيستنه, خوندور, له خوړو خوند اخيستونکی مخ, مخ, مسکا, يم
😛	د ژبې مخ, مخ, ژبه
😜	سترګه, سترګه وهل, سترګه وهونکی مخ سره د ژبې, مخ, ملنډه, ژبه
🤪	احمق, ستر, سترګه, مسخره مخ, کوچني
😝	خوند, د کږو سترګو مخ سره د ژبې, سترګه, مخ, ډاروونکې, ژبه
🤑	خوله, د پېسو د خولې مخ, مخ, پېسې
🤗	غاړه ورکوونکی مخ, غېږه, غېږه کې نيول, مخ
🤭	سوځول, لاس په خوله مخ
🤫	غلی, کرارول, کرارونکی مخ
🤔	فکرمند, فکرمند مخ, مخ
🤐	خوله, د ځنځير د خولې مخ, مخ, ځنځير
🤨	بدګماني, د اوچتو شويو وريځو مخ, شکمن
😐️	بې پلوه, بې پلوه مخ, مخ, ځای په ځاي
😑	بې اثره, بې تاثيره, بې تاثيره مخ, بې هيجانه, مخ
😶	خله, غلې, مخ, پرته له خولې مخ, په قلاره
😏	د ملنډو خندا, د ملنډو د خندا مخ, مخ
😒	غمجن, مخ, ناخوشاله, پښيمانه مخ
🙄	تاووهونکې, د تاوهونکو سترګو مخ, سترګې, مخ
😬	بړوستوب, بړوسېدلی مخ, مخ
🤥	دروغ, دروغ مخ, مخ, پينوشو
😌	خوشحاله, خوشحاله مخ, مخ
😔	د فکر مخ, غمجن, فکرمند, مخ
😪	خوب, خوبيولى مخ, مخ
🤤	د خندا وړ, د خندا وړ مخ, مخ
😴	خوب, د خوب مخ, ززز, مخ
😷	سره د طبي ماسک مخ, سوړ, مخ, ناروغه, ډاکټر
🤒	ترماميټر, رنځور, سره ترمامیتر مخ, مخ, ناروغه
🤕	بنداژ, زخمي, سره سر-بنداژ مخ, مخ بنداژ, ژوبل
🤢	زړه بدوالی مخ, قي کول, مخ
🤮	قي کول, قی کوونکی مخ, ناروغه
🤧	مخ, پرنجېدل, پرنجېدونکی مخ, ګيسونهيټ
🥵	تود, تود مخ, د تودوخې, د خولې, سور مخ, ګرم
🥶	آسماني رنګ مخ, آيسيکل, سوړ, سوړ مخ, کنګل, کنګل شوې
🥴	خندور مخ, خوځيدونکې خوله, سرګرځېدونکې, پرکاله, ګډوډي سترګې
😵	سرګرزنی, سرګرزنی مخ, مخ
🤯	حيران, چاودیدلی سر
🤠	خولۍ, د چروایي خولۍ مخ, غوبنه, غوبه, مخ
🥳	خولۍ, نمانځنه, پارټي, پارټي کوونکی مخ, ښکر
😎	د لمر عينکې, لمر, مخ, مسکېدونکی مخ د لمر دعينکو سره, پړقېدونکې, کول
