😀	fjes, glis, glisefjes, latter, lol, morosamt, smilande fjes
😃	fjes, latter, lol, morosamt, munn, open, smil, smilefjes, smilefjes med open munn
😄	latter, lol, med tenner, morosamt, smil, smilande auge, smilande fjes, smilefjes, smilefjes med open munn og smilande auge
😁	fjes, glis, glisefjes med smilande auge, latter, lol, morosamt, smil, smilande auge, smilande fjes, smilefjes
😆	fjes, open munn, smil med open munn, smil med tennene, smilefjes med open munn
😅	kaldsveitte, munn, open, smil med sveitte, sveitt smil
🤣	fjes, golv, latter, rullar, rullar på golvet i latter
😂	fjes, fjes med gledestårer, glede, gledestårer, tårer
🙂	fjes, fjes som smiler litt, smil
😉	andlet, blunk, blunkande andlet
😊	fjes, smil, smilande auge, smilande fjes og auge, smilefjes
😍	auge, fjes, hjarte, hjarteauge, kjærleik, smilefjes med hjarteauge
🤩	fjes, gliser, smil, stjerner, stjerner i auga
😘	andlet, andlet sleng kyss, slengkyss
😗	fjes, kyss, kyssande fjes, kyssefjes
☺️	andlet, smil, smilefjes
😚	auga lukka, fjes, kyss med lukka auge, kyssande
😙	fjes, kyss og smil, kyssande fjes med smil, smil, smilande auge
😋	deilig mat, fjes, mmm, nam, nam-nam-fjes, smilefjes
🤗	fjes, fjes som gjev klem, klem
😎	fjes, smil, smilefjes med solbriller, solbriller
#⃣	tastar, tastar: #
*⃣	tastar, tastar: *
0⃣	tastar, tastar: 0
1⃣	tastar, tastar: 1
2⃣	tastar, tastar: 2
3⃣	tastar, tastar: 3
4⃣	tastar, tastar: 4
5⃣	tastar, tastar: 5
6⃣	tastar, tastar: 6
7⃣	tastar, tastar: 7
8⃣	tastar, tastar: 8
9⃣	tastar, tastar: 9
🔟	tastar, tastar: 10
🇦🇨	flagg, flagg: Ascension
🇦🇩	flagg, flagg: Andorra
🇦🇪	flagg, flagg: Dei sameinte arabiske emirata
🇦🇫	flagg, flagg: Afghanistan
🇦🇬	flagg, flagg: Antigua og Barbuda
🇦🇮	flagg, flagg: Anguilla
🇦🇱	flagg, flagg: Albania
🇦🇲	flagg, flagg: Armenia
🇦🇴	flagg, flagg: Angola
🇦🇶	flagg, flagg: Antarktis
🇦🇷	flagg, flagg: Argentina
🇦🇸	flagg, flagg: Amerikansk Samoa
🇦🇹	flagg, flagg: Austerrike
🇦🇺	flagg, flagg: Australia
🇦🇼	flagg, flagg: Aruba
🇦🇽	flagg, flagg: Åland
🇦🇿	flagg, flagg: Aserbajdsjan
🇧🇦	flagg, flagg: Bosnia-Hercegovina
🇧🇧	flagg, flagg: Barbados
🇧🇩	flagg, flagg: Bangladesh
🇧🇪	flagg, flagg: Belgia
🇧🇫	flagg, flagg: Burkina Faso
🇧🇬	flagg, flagg: Bulgaria
🇧🇭	flagg, flagg: Bahrain
🇧🇮	flagg, flagg: Burundi
🇧🇯	flagg, flagg: Benin
🇧🇱	flagg, flagg: Saint Barthélemy
🇧🇲	flagg, flagg: Bermuda
🇧🇳	flagg, flagg: Brunei
🇧🇴	flagg, flagg: Bolivia
🇧🇶	flagg, flagg: Karibisk Nederland
🇧🇷	flagg, flagg: Brasil
🇧🇸	flagg, flagg: Bahamas
🇧🇹	flagg, flagg: Bhutan
🇧🇻	flagg, flagg: Bouvetøya
🇧🇼	flagg, flagg: Botswana
🇧🇾	flagg, flagg: Kviterussland
🇧🇿	flagg, flagg: Belize
🇨🇦	flagg, flagg: Canada
🇨🇨	flagg, flagg: Kokosøyane
🇨🇩	flagg, flagg: Kongo-Kinshasa
🇨🇫	flagg, flagg: Den sentralafrikanske republikken
🇨🇬	flagg, flagg: Kongo-Brazzaville
🇨🇭	flagg, flagg: Sveits
🇨🇮	flagg, flagg: Elfenbeinskysten
🇨🇰	flagg, flagg: Cookøyane
🇨🇱	flagg, flagg: Chile
🇨🇲	flagg, flagg: Kamerun
🇨🇳	flagg, flagg: Kina
🇨🇴	flagg, flagg: Colombia
🇨🇵	flagg, flagg: Clippertonøya
🇨🇷	flagg, flagg: Costa Rica
🇨🇺	flagg, flagg: Cuba
🇨🇻	flagg, flagg: Kapp Verde
🇨🇼	flagg, flagg: Curaçao
🇨🇽	flagg, flagg: Christmasøya
🇨🇾	flagg, flagg: Kypros
🇨🇿	flagg, flagg: Tsjekkia
🇩🇪	flagg, flagg: Tyskland
🇩🇬	flagg, flagg: Diego Garcia
🇩🇯	flagg, flagg: Djibouti
🇩🇰	flagg, flagg: Danmark
🇩🇲	flagg, flagg: Dominica
🇩🇴	flagg, flagg: Den dominikanske republikken
🇩🇿	flagg, flagg: Algerie
🇪🇦	flagg, flagg: Ceuta og Melilla
🇪🇨	flagg, flagg: Ecuador
🇪🇪	flagg, flagg: Estland
🇪🇬	flagg, flagg: Egypt
🇪🇭	flagg, flagg: Vest-Sahara
🇪🇷	flagg, flagg: Eritrea
🇪🇸	flagg, flagg: Spania
🇪🇹	flagg, flagg: Etiopia
🇪🇺	flagg, flagg: EU
🇫🇮	flagg, flagg: Finland
