😀	ഇളിക്കൽ, കളിയാക്കി ചിരിക്കുന്ന മുഖം, കളിയാക്കൽ, മുഖം
😃	തുറന്ന, പുഞ്ചിരി, മുഖം, വലിയ കണ്ണുകളുള്ള കളിയാക്കി ചിരിക്കുന്ന മുഖം, വായ
😄	കണ്ണ്, തുറന്ന, പുഞ്ചിരി, പുഞ്ചിരിക്കുന്ന കണ്ണുകളോടുകൂടിയ ഗോഷ്‌ടിച്ചിരിയുള്ള മുഖം, മുഖം, വായ
😁	കണ്ണ്, കളിയാക്കൽ, പുഞ്ചിരി, പുഞ്ചിരിക്കുന്ന കണ്ണുകളുമായി പ്രസന്നമായ മുഖം, മുഖം
😆	ഇറുക്കിയടച്ച കണ്ണുകളുള്ള കളിയാക്കി ചിരിക്കുന്ന മുഖം, ഇറുക്കിയടച്ച കണ്ണുകൾ, തുറന്ന, പുഞ്ചിരി, പൊട്ടിച്ചിരി, മുഖം, വായ, സംതൃപ്‌തമായ
😅	തണുത്ത, തുറന്ന, പുഞ്ചിരി, മുഖം, വിയർപ്പുള്ള കളിയാക്കി ചിരിക്കുന്ന മുഖം, വിയർപ്പ്
🤣	ചിരി, ചിരിച്ചുചിരിച്ച് മണ്ണുകപ്പുക, മണ്ണുകപ്പുക, മലർന്നുകിടന്ന് ചിരിക്കുക, മുഖം
😂	ആനന്ദം, ആനന്ദാശ്രുക്കളോടെയുള്ള മുഖം, കണ്ണീർ, പൊട്ടിച്ചിരി, മുഖം, സന്തോഷം
🙂	ചിരി, ചെറുതായുള്ള മന്ദഹാസം, പുഞ്ചിരി, മന്ദഹസിക്കുന്ന മുഖം, മന്ദഹാസം, മുഖം
🙃	തലകീഴായത്, തലകീഴായി നിൽക്കുന്ന മുഖം, പുഞ്ചിരി, മുഖം
😉	കണ്ണടിക്കൽ, കണ്ണിറുക്കുന്ന മുഖം, പുഞ്ചിരി, മുഖം
😊	കണ്ണ്, കവിളിണ, നാണം, പുഞ്ചിരി, പുഞ്ചിരിക്കുന്ന കണ്ണുകളുള്ള പുഞ്ചിരിക്കുന്ന മുഖം, മുഖം
😇	നിഷ്‌കളങ്കം, പുഞ്ചിരി, പ്രകാശവലയം, പ്രകാശവലയമുള്ള പുഞ്ചിരിക്കുന്ന മുഖം, മാലാഖ, മുഖം
🥰	3 ഹൃദയമുള്ള ചിരിക്കുന്ന മുഖം, ആകർഷണം, ആരാധന, പ്രണയത്തിൽ
😍	കണ്ണ്, പുഞ്ചിരി, മുഖം, സ്‌നേഹം, ഹൃദയം, ഹൃദയാകൃതിയിലുള്ള കണ്ണുകളുള്ള പുഞ്ചിരിക്കുന്ന മുഖം
🤩	കണ്ണുകൾ, കളിയാക്കൽ, നക്ഷത്രം, മുഖം, സ്റ്റാർ, സ്റ്റാർ-സ്ട്രക്ക്
😘	ചുംബനം, ചുംബനം നൽകുന്ന മുഖം, ചുംബനം നൽകുന്നു, മുഖം, ഹൃദയം
😗	ചുംബനം, ചുംബിക്കുന്ന മുഖം, മുഖം
☺️	പുഞ്ചിരി, പുഞ്ചിരിക്കുന്ന മുഖം, മുഖം, രൂപത്തിൽ, വിശ്രമം
😚	അടഞ്ഞ, കണ്ണടച്ച് ചുംബിക്കുന്ന മുഖം, കണ്ണ്, ചുംബനം, മുഖം
