😀	hymy, kasvot, leveä hymy, naama, virnistys
😃	auki, hymy, hymy suu auki, kasvot, naama, suu
😄	auki, hymy, hymyilevät silmät ja suu, kasvot, naama, silmä, suu
😁	hymy, kasvot, naama, silmä, virnistys, virnistys ja hymyilevät silmät
😆	auki, hymy, hymy ja tiukasti suljetut silmät, naama, nauru, suu, tyytyväinen
😅	auki, hiki, hymy, hymy ja kylmänhiki, kylmä, naama
🤣	kasvot, kippura, naama, nauraa, nauraa kippurassa
😂	ilo, itkunauru, kasvot naurunkyynelissä, naama, naurunkyyneleet
🙂	hymy, naama, pieni hymy
🙃	naama, väärinpäin, ylösalainen, ylösalainen naama
😉	flirtti, huumori, kasvot, naama, salaisuus, silmä, silmänisku
😊	hymy, naama, punastunut, punastunut hymy, silmä
😇	enkeli, hymy, hymy ja sädekehä, naama, satu, sädekehä, tarina, viaton
🥰	hymy ja kolme sydäntä, ihailla, ihastunut, rakastunut
😍	hymy, hymy ja sydänsilmät, naama, rakkaus, silmä, sydän
🤩	kasvot, naama, silmät, tähdet, tähtisilmä, virnistys
😘	lentosuukko, naama, pusu, sydän
😗	naama, pusu, pusunaama, suudelma, suukko
☺️	hymy, hymynaama, naama, rento
😚	naama, pusu, pusunaama ja suljetut silmät, silmä, suljettu
😙	hymy, naama, pusu, pusunaama ja hymyilevät silmät, silmä
😋	herkullinen, herkullista ruokaa nauttinut, hymy, naama, nam, nami, nautiskeleva
😛	kieli, kieli ulkona, naama
😜	kieli, kieli ulkona ja silmänisku, naama, silmä, silmänisku, vitsi
🤪	eripari, mielipuoli, silmät, virne
😝	kamala, kieli, kieli ulkona ja silmät tiukasti kiinni, maku, naama, silmä
🤑	dollarisilmät ja rahasuu, naama, raha, suu
🤗	halaava naama, halaus, hali, naama
🤭	käsi suun edessä, lipsahdus
🤫	hiljentää, hyssyttelevä, hyssyttää
🤔	mietteliäs, naama
🤐	naama, suu, vetoketju, vetoketjusuu
🤨	epäilevä, kasvot, kohotetut kulmakarvat, naama, skeptinen
😐️	naama, naama peruslukemilla, neutraali, tunteeton
