😀	ଦାନ୍ତ ଦେଖାଇ ହସିବା, ଦାନ୍ତ ଦେଖାଇ ହସୁଥିବା ମୁହଁ, ମୁହଁ
😃	ଖୋଲା, ପାଟି, ବଡ ଆଖି ସହିତ ହସକୁରା ମୁହଁ, ମୁହଁ, ସ୍ମିତହାସ୍ୟ
😄	ଆଖି, ଖୋଲା, ପାଟି, ମୁହଁ, ସ୍ମିତହାସ୍ୟ, ହସୁଥିବା ଆଖି ସହ ହସକୁରା ମୁହଁ
😁	ଆଖି । ମୁହଁ । ଦାନ୍ତ ଦେଖାଇ ହସିବା । ସ୍ମିତହାସ୍ୟ, ହସହସିଆ ଆଖି ସହ ଆନନ୍ଦିତ ମୁହଁ
😆	ପାଟି, ମୁହଁ, ସନ୍ତୁଷ୍ଟ, ସ୍ମିତହାସ୍ୟ, ହସିବା, ହସୁକୁରା ବକ୍ର ଚାହାଣି ଥିବା ମୁହଁ
😅	ଖୋଲା, ଝାଳ, ଝାଳ ଲାଗିଥିବା ହସକୁରା ମୁହଁ, ଥଣ୍ଡା, ମୁହଁ, ସ୍ମିତହାସ୍ୟ
🤣	ଗଡିବା, ଚଟାଣ, ମୁହଁ, ହସି ହସି ଚଟାଣରେ ଗଡ଼ିଯିବା, ହସିବା
😂	ଆନନ୍ଦ, ଆନନ୍ଦାଶ୍ରୁ ସହ ମୁହଁ, ମୁହଁ, ହସିବା । ଲୁହ
🙂	ଟିକେ ହସୁଥିବା ମୁହଁ, ମୁହଁ, ସ୍ମିତହାସ୍ୟ
🙃	ଓଲଟା, ଓଲଟା ମୁହଁ, ମୁହଁ
😉	ଆଖି ଠାର ମାରୁଥିବା ମୁହଁ, ଆଖି ମାରିବା, ମୁହଁ
😊	ଆଖି, ମୁହଁ, ଲଜ୍ଜିତ ହେବା, ସ୍ମିତହାସ୍ୟ, ହସୁଥିବା ଆଖି ସହିତ ହସୁଥିବା ମୁହଁ
😇	କଳ୍ପନା, ନିରୀହ, ପରୀ, ମୁହଁ, ହାଲୋ, ହାଲୋ ସହିତ ହସୁଥିବା ମୁହଁ
🥰	ଆଦରଣୀୟ, କ୍ରସ୍‌, ପ୍ରେମରେ, ହାର୍ଟ ସହିତ ହସୁଆ ମୁହଁ
😍	ଆଖି, ପ୍ରେମ, ମୁହଁ, ହସ, ହୃଦୟ-ଆଖି ସହିତ ହସୁଥିବା ମୁହଁ
🤩	ଆଖିଗୁଡ଼ିକ, ତାରକା ଖଚିତ, ତାରା, ଦାନ୍ତ ଦେଖାଇ ହସିବା, ମୁହଁ
😘	ଚୁମା ଦେବା, ମୁହଁ, ମୁହଁରୁ ଏକ ଚୁମ୍ବନ ଉଡ଼ାଇବା, ମୁହଁରୁ ଏକ ଚୁମ୍ବନ ଉଡାଇବା
😗	ଚୁମା, ଚୁମ୍ବନ ଦେଉଥିବା ମୁହଁ, ମୁହଁ
☺️	ଆରାମ, ମୁହଁ, ରେଖାଙ୍କିତ, ହସ, ହସକୁରା ମୁହଁ, ହସହସିଆ ମୁହଁ
😚	ଆଖି, ଚୁମା, ବନ୍ଦ, ବନ୍ଦ ଆଖି ସହ ଚୁମ୍ବନ ଦେଉଥିବା ମୁହଁ, ମୁହଁ
😙	ଆଖି, ଚୁମା, ମୁହଁ, ହସ, ହସୁଥିବା ଆଖି ସହ ଚୁମ୍ବନ ଦେଉଥିବା ମୁହଁ
😋	ତୃପ୍ତିକର ସ୍ୱାଦିଷ୍ଟ ଖାଦ୍ୟ ଖାଇବା ପରେ ମୁହଁ, ପାଣି ଆସିବା, ମୁହଁ, ମୁହଁରେ ପାଣି ଆସିବା, ସ୍ଵାଦିଷ୍ଟ ଖାଦ୍ୟ, ହସ ମୁହଁ, ୟମ୍ ୟମ୍ ଭଲ
😛	ଜିଭ, ଜିଭ ବାହାରକରିଥିବା ମୁହଁ, ଜିଭ ବାହାରିଥିବା ମୁହଁ, ମୁହଁ
😜	ଆଖି, ଆଖିମାରିବା, କୌତୁକ, ଜିଭ, ଜିଭ ବାହାରିବା ସହିତ ଆଖି ଠାର ମାରୁଥିବା ମୁହଁ, ଜିଭ ସହିତ ଆଖି ମାରିବା ମୁହଁ, ମୁହଁ
🤪	ଅଦଭୁତ ମଜାଦାର ମୁଁହ, ଆଖି, ଛୋଟ, ବଡ଼, ମୁର୍ଖତାପୂର୍ଣ୍ଣ
😝	ଆଖି, ଜିଭ, ଜିଭ ବାହାରିବା ସହିତ ବକ୍ର ଚାହାଣି ଥିବା ମୁହଁ, ଭୟଙ୍କର, ମୁହଁ, ସ୍ୱାଦ
🤑	ଟଙ୍କା, ପାଟି, ପାଟିରେ ଟଙ୍କା ଥିବା ମୁହଁ, ମୁହଁ
🤗	ଆଲିଙ୍ଗନ, ଆଲିଙ୍ଗନ କରିବା, କୋଳାଇବାକୁ ହାତ ଖୋଲାଥିବା ମୁହଁ, ମୁହଁ
🤭	ଉତ୍ତେଜନାଜନିତ ଉଚ୍ଚ ଶବ୍ଦ, ପାଟିରେ ହାତ ବନ୍ଦ କରିଥିବା ମୁହଁ
🤫	ଚୁପ୍‌ ରହିବା । ନୀରବ, ଚୁପ୍‌ ରହିବା ପାଇଁ କହିବା ମୁହଁ
🤔	ଚିନ୍ତା କରିବା, ଚିନ୍ତାଶୀଳ ମୁହଁ, ମୁହଁ
🤐	ଜିପର୍‌, ଜିପ୍‌ ଲଗା ପାଟି ମୁହଁ, ପାଟି, ମୁହଁ
🤨	ଅବିଶ୍ଵାସ, ଉଠିଥିବା ଆଖିପତା ସହିତ ମୁହଁ, ସନ୍ଦେହୀ
😐️	ଭାବଶୂନ୍ୟ, ମୁହଁ, ସାଧାରଣ, ସାଧାରଣ ମୁହଁ
😑	ଅଭିବ୍ୟକ୍ତି ବିହୀନ ମୁହଁ, କୌଣସି ମନ୍ତବ୍ୟ ନାହିଁ, ଭାବଶୂନ୍ୟ, ମୁହଁ
😶	ଚୁପ୍‌ ରୁହ, ପାଟି, ପାଟି ନଥିବା ମୁହଁ, ମୁହଁ, ଶାନ୍ତ
😏	ନିର୍ବୋଧ ଭାବରେ ହସିବା, ନିର୍ବୋଧତା ଭରା ହସ ଥିବା ମୁହଁ, ମୁହଁ
😒	ଅପ୍ରସନ୍ନ, ଅପ୍ରସନ୍ନ ମୁହଁ, ଖୁସିନଥିବା, ମୁହଁ
🙄	ଆଖି, ଘୂରୁଥିବା, ଘୂରୁଥିବା ଆଖି ସହ ମୁହଁ, ମୁହଁ
😬	ଖତେଇହେବା, ବିକୃତ ମୁହଁ, ମୁହଁ
🤥	ପିନୋକିଓ, ମିଛ, ମିଛ କହୁଥିବା ମୁହଁ, ମୁହଁ
😌	ଆଶ୍ୱସ୍ତ, ଆଶ୍ୱସ୍ତ ମୁହଁ, ମୁହଁ
😔	ଉଦାସ, ଚିନ୍ତାଗ୍ରସ୍ତ, ଚିନ୍ତାଗ୍ରସ୍ତ ମୁହଁ, ମୁହଁ
