😀	față, față încântată, încântare
😃	deschisă, față, față încântată cu ochii mari, gură, zâmbet
😄	deschisă, față, față încântată cu ochi zâmbitori, gură, ochi, zâmbet
😁	față, față radioasă cu ochi zâmbitori, ochi, zâmbet, încântare
😆	deschisă, față, față încântată cu ochii întredeschiși, gură, râset, satisfacție, zâmbet
😅	față, față încântată cu sudoare rece, rece, sudoare, zâmbet
🤣	față, jos, râs, tăvăli, tăvălindu-se pe jos de râs
😂	bucurie, față, față cu lacrimi de bucurie, lacrimi, râset
🙂	față, față ușor zâmbitoare, zâmbet
🙃	față, față cu susul în jos, răsturnat, întors
😉	față, față care face cu ochiul, semn cu ochiul
😊	față zâmbitoare cu ochi zâmbitori, ochi, privire, zâmbet, îmbujorare
😇	aură, fantezie, față zâmbitoare cu aură, halou, inocent, înger
🥰	adorație, față zâmbitoare cu inimioare, pasiune, îndrăgostit, îndrăgostită
😍	dragoste, față, față zâmbitoare cu inimioare la ochi, inimioare, iubire, ochi
🤩	față, față cu steluțe la ochi, ochi, stea, încântare
😘	față, față care trimite un pupic, sărut
😗	față, față pupăcioasă, sărut
☺️	contur, față, față zâmbitoare, relaxare, zâmbet
😚	față, față pupăcioasă cu ochi închiși, ochi închiși, pupic
😙	față, față pupăcioasă cu ochi zâmbitori, ochi, pupic, zâmbet
😋	delicios, față, față savurând mâncare delicioasă, savurând, zâmbet
😛	față, față cu limba scoasă, limbă
😜	față, față cu limba scoasă, făcând cu ochiul, glumă, limbă, ochi, semn cu ochiul
🤪	față nebună, ochi mare, ochi mic
😝	față, față cu limba scoasă și ochii întredeschiși, gust, limbă, ochi, oribil
🤑	bani, față, față încântată de bani, gură
🤗	față, față cu gest de îmbrățișare, îmbrățișare
🤭	față cu mâna peste gură, ups
🤫	față care șâșâie, liniște, șșșt
🤔	față, față gânditoare, gândire, reflecție
🤐	buze, față, față cu fermoar la buze, fermoar, tăcere
🤨	față cu sprânceană ridicată, neîncredere, sceptic
😐️	expresie goală, față, față neutră, neutru
😑	față, față fără expresie, fără expresie, inexpresiv
😶	față, față fără gură, gură, liniște, tăcut
😏	afectare, față, față cu zâmbet superior, superioritate, zâmbet
😒	față, față morocănoasă, nemulțumire, neplăcere
🙄	față, față care dă ochii peste cap, ochi, peste cap
😬	față, față cu grimasă, grimasă
🤥	fața mincinoasă, față, minciună, pinocchio
😌	față, față ușurată, relaxare, ușurare
😔	demoralizat, față, față îngândurată, melancolic, îngândurat
😪	față, față somnoroasă, somn
🤤	față, față care salivează, salivare, salivă
😴	față, față adormită, sforăit, somn
😷	bolnav, doctor, față, față cu mască medicală, mască, răceală
🤒	boală, față, față cu termometru, gură, termometru
🤕	bandaj, durere, față, față cu capul bandajat, rană
🤢	față, față îngrețoșată, greață, vomă
🤮	față vomitând, greață, vomă
🤧	față, față care strănută, noroc, strănut
🥵	căldură, față fierbinte, față roșie, febril, fierbinte, transpirație
🥶	degerat, față albastră, față înghețată, frig, ger, rece
🥴	afumat, amețit, beat, ebrietate, față cherchelită
😵	amețeală, față, față amețită, ochi
🤯	cap care explodează, șocat
🤠	cowboy, cowgirl, față, față cu pălărie de cowboy, pălărie
🥳	față de petrecere, petrecere, pălărie, sărbătorire, trompetă
