😀	মুখ, হাঁহি, হাস্য মুখী
😃	উজ্জ্বল চকুৰে হাস্যমুখ, খোলা, মুখ, হাঁহি
😄	খোলা, চকু, মুখ, হাঁহি, হাস্যমুখী চকুৰে উজ্জ্বল মুখ
😁	চকু, মুখ, হাঁহি, হাস্যমুখী চকুৰ সৈতে উজ্জ্বল মুখ
😆	অট্টহাস্য, খোলা, মুখ, সন্তুষ্টি, হাঁহি, হাঁহি থকা মুখ
😅	খোলা, ঘমাৰ্ত, ঘমাৰ্ত মুখেৰে হাস্য মুখ, ঠাণ্ডা, মুখ, হাঁহি
🤣	অট্টহাস্য, বাগৰি পৰা, মজিয়া, মুখ, হাঁহি হাঁহি মজিয়াত বাগৰি পৰা
😂	অট্টহাস্য, আনন্দ, আনন্দাশ্ৰুৰ সৈতে মুখ, চকুপানী, মুখ
🙂	মুখ, লাহেকৈ হাঁহি থকা মুখ, হাঁহি
🙃	ওলোটা, ওলোটা মুখ, মুখ
😉	চিৎকাৰ, চিৎকাৰ কৰা মুখ, মুখ
😊	চকু, মুখ, লাজত ৰঙা পৰা, হাঁহি, হাস্যমুখী চকুৰে হাস্য মুখ
😇	অলৌকিক মহিমা, অলৌকিক মহিমাৰ চেহেৰা, দেবদূত, নিৰীহ, মুখ
🥰	উপাসনা, প্ৰণয়াসক্ত, ভাঙোন, হৃদয়, হৃদয়ৰ ছবি সম্বলিত হাঁহি থকা মুখ
😍	চকু, প্ৰেম, মুখ, হাঁহি, হৃদয় সদৃশ চকুৰে হাস্যমুখ
🤩	চকু, তৰা, ভেঙুচালি কৰি হঁহা, মুখ, ষ্টাৰ-ষ্টাৰ্ক
😘	চুম্বন, চুম্বন দিয়া মুখ, মুখ
😗	চুমা খোৱা মুখ, চুম্বন, মুখ
☺️	নিৰুদ্বেগ, মুখ, হাঁহি, হাঁহি থকা মুখ, হাস্য মুখ, ৰূপৰেখা
😚	চকু, চকু মুদি চুমা খোৱা মুখ, চুম্বন, বন্ধ, মুখ
😙	চকু, চুম্বন, মুখ, হাঁহি, হাঁহি থকা চকুৰে চুমা খোৱা মুখ
😋	খাদ্যৰ সোৱাদ লোৱা মুখ, মুখ, মুখলৈ সোৱাদ অনা, য়ম, সুস্বাদু, হাঁহি
😛	জিভা, জিভা মেলা মুখ, মুখ
😜	কৌতুক, চকু, চিৎকাৰ, জিভা, জিভা মেলি চিৎকাৰ কৰা মুখ, মুখ
🤪	চকু, নিৰ্বোধ, বিশাল, ব্যংগ মুখ, সৰু
😝	চকু, জিভা, জিভা মেলি মুখ বেকা কৰা চেহেৰা, ভয়ানক, মুখ, সোৱাদ
🤑	ধন, ধন-মুখী চেহেৰা, মুখ
🤗	আলিঙ্গন, আলিঙ্গন কৰা, আলিঙ্গন কৰা মুখ, মুখ
🤭	উফ, মুখত হাত দিয়া চেহেৰা
🤫	নীৰৱ, শান্ত, শান্ত মুখ
🤔	চিন্তা, চিন্তা কৰা মুখ, চিন্তাশীল মুখ, মুখ
🤐	বন্ধ ৰখা, মুখ, মুখ বন্ধ ৰখা চেহেৰা
🤨	অবিশ্বাস, চেলাউৰি দাং খাই থকা মুখ, সন্দেহবাদী
😐️	উদাসীন, উদাসীন মুখ, বিভোৰ, মুখ
😑	অভিব্যক্তিহীন, অভিব্যক্তিহীন মুখ, অৰ্থশূণ্য, অৰ্থহীন, মুখ
😶	নিঃশব্দ, মুখ, মুখবিহীন চেহেৰা, শান্ত
😏	কৃত্ৰিম হাঁহি, কৃত্ৰিম হাঁহি মৰা মুখ, মুখ
😒	অসুখী, দুঃখিত, দুঃখিত মুখ, মুখ
🙄	চকু, চকু পকাই থকা মুখ, পকোৱা, মুখ
😬	বিকৃত মুখ, মুখ, মুখ বিকৃত কৰা
🤥	পিনোচিয়ো, মিছা, মিছা কোৱা মুখ, মুখ
😌	মুখ, স্বস্তি, স্বস্তিৰ মুখ
😔	চিন্তাম্বিত, চিন্তাম্বিত মুখ, বিষণ্ণ, মুখ
😪	নিদ্ৰা, নিদ্ৰালু মুখ, মুখ
🤤	জিভাৰ পানী পৰি থকা, জিভাৰ পানী পৰি থকা মুখ, মুখ
😴	zzz, নিদ্ৰা, নিদ্ৰামগ্ন মুখ, মুখ
😷	অসুস্থ, ঔষধ, চিকিৎসক, চিকিৎসা মুখা পৰিহিত মুখ, ঠাণ্ডা, মুখ, মুখা
🤒	অসুস্থ, থাৰ্মোমিটাৰ, থাৰ্মোমিটাৰ লগাই থোৱা মুখ, থাৰ্মোমিটাৰৰ সৈতে চেহেৰা, মুখ
🤕	আঘাত, ক্ষতি, বেণ্ডেজ, মুখ, মুৰত বেণ্ডেজৰ সৈতে চেহেৰা
🤢	ঘৃণা, ঘৃণিত মুখ, বমি, মুখ
🤮	অসুস্থ, বমি, বমি কৰা মুখ
🤧	মুখ, স্বাস্থ্য, হাঁচি, হাঁচিওৱা মুখ
🥵	অত্যন্ত গৰমত জিভা মেলি পেলোৱা চেহেৰা, গৰম, ঘৰ্মাক্ত, চৰ্দি-গৰম, জ্বৰাক্ৰান্ত, ৰঙা পৰা মুখ
🥶	ঠাণ্ডা, ঠাণ্ডাত কঁপনি উঠা চেহেৰা, তুষাৰকণা, নীলা পৰা মুখ, বৰফৰ সমান ঠাণ্ডা পৰা, হিমিভৱন
🥴	তৰঙ্গায়িত মুখ, প্ৰমত্ত, বিষম চকু, বিহ্বল, বিহ্বল মুখ, মত্ত
😵	মুখ, মুৰ ঘুৰোৱা, মুৰ ঘুৰোৱা চেহেৰা
🤯	বিস্ফোৰিত মুৰ, বিস্মিত
🤠	গৰখীয়া, গৰখীয়া টুপী পৰিহিত চেহেৰা, টুপী, মুখ
🥳	উদযাপন, টুপী, পাৰ্টী, পাৰ্টী উদযাপন কৰা চেহেৰা, পেঁপা
😎	উজ্জ্বল, কুল, ছানগ্লাচ, ছানগ্লাচ পৰিহিত হাস্যমুখ, মুখ, সূৰ্য্য
🤓	গীক, বুৰ্বক, বুৰ্বক চেহেৰা, মুখ
🧐	মোনোকলৰ চেহেৰা, শ্বাসৰোধী
😕	বিভ্ৰান্ত, বিভ্ৰান্ত মুখ, মুখ
😟	চিন্তিত, চিন্তিত মুখ, মুখ
🙁	ভ্ৰু উঠোৱা, মুখ, সামান্য ভ্ৰু উঠোৱা মুখ
☹️	ভ্ৰু উঠোৱা, ভ্ৰু উঠোৱা মুখ, মুখ
😮	খোলা, খোলা মুখৰ চেহেৰা, মুখ, সহানুভূতি
😯	নিস্তব্ধ, নিস্তব্ধ চেহেৰা, বিষ্মিত, মুখ, হতভম্ব
😲	আচম্বিত, বিস্মিত, বিস্মিত মুখ, মুখ, সম্পূৰ্ণৰূপে
😳	বিস্মিত, মুখ, ৰঙা পৰা, ৰঙা পৰা মুখ
🥺	কৃপা, কোমল চকু, প্ৰতিবাদী মুখ, ভিক্ষা
😦	খোলা, খোলা মুখেৰে ভ্ৰান্ত চেহেৰা, ভ্ৰান্ত, মুখ
😧	দুখী, দুখী মুখ, মুখ
😨	ভয়, ভয়ভীত চেহেৰা, ভায়াৰ্ত, ভীতিপূৰ্ণ, মুখ
😰	খোলা, ঘাম, ঘামেৰে উদ্বিগ্ন চেহেৰা, ঠাণ্ডা, তীব্ৰ, নীলা, মুখ
😥	দুঃখিত কিন্তু স্বস্তিৰ মুখ, মুখ, স্থিৰ, স্বস্তি, হতাশ
😢	ক্ৰন্দন, ক্ৰন্দনৰত মুখ, চকুপানী, দুখী, মুখ
😭	উচ্চস্বৰে ক্ৰন্দনৰত মুখ, ক্ৰন্দন, চকুপানী, দুখী, ফোপনি, মুখ
😱	চিৎকাৰ, ভয়, ভয়ত চিৎকাৰ কৰা মুখ, ভয়ভীত, ভয়াৰ্ত, মাঞ্চ, মুখ
😖	মুখ, হতভম্ব, হতভম্ব মুখ
😣	উদ্যম, কঠোৰ পৰিশ্ৰমী মুখ, মুখ
😞	মুখ, হতাশ, হতাশ মুখ
😓	ঘমাৰ্ত নিৰাশ মুখ, ঘাম, ঠাণ্ডা, মুখ
😩	ক্লান্ত, ক্লান্ত চেহেৰা, মুখ
😫	ক্লান্ত, ক্লান্ত মুখ, মুখ
🥱	ক্লান্ত, চিৎকাৰ কৰা মুখমণ্ডল, বিৰক্ত, হামি
😤	জয়ী, নাকৰ পৰা ভাপ ওলোৱা মুখ, বিজয়, মুখ
😡	উন্মাদ, ক্ৰোধ, খং, চিঞৰা, চিঞৰা মুখ, মুখ, ৰঙা
😠	উন্মাদ, খং, খঙাল মুখ, মুখ
🤬	অঙ্গীকাৰ, মুখ চিহ্নৰে চেহেৰা, মুখত চিহ্নৰে চেহেৰা
😈	কল্পনা, পৰীৰ সাধু, মুখ, শিং, শিঙাল হাস্যমুখী চেহেৰা, হাঁহি
👿	কল্পনা, দানব, দৈত্য, পৰীৰ সাধু, ভুত পোৱালী, মুখ, শিঙাল ক্ৰোধিত মুখ
💀	দৈত্য, পৰীৰ সাধু, মুখ, মুৰৰ খোলা, মৃত্যু
☠️	ক্ৰছব’ন, দৈত্য, মুখ, মুৰৰ খোলা, মুৰৰ খোলা বা মুৰৰ খোলাৰ হাড়, মৃত্যু
💩	গোবৰ, দৈত্য, পাইল অৱ পু, পু, পুপ, মুখ
🤡	বিদূষক, বিদূষকৰ চেহেৰা, মুখ
👹	কল্পনা, দানব, দৈত্য, প্ৰাণী, পৰীৰ সাধু, মুখ
👺	কল্পনা, দানব, পিশাচ, প্ৰাণী, পৰীৰ সাধু, মুখ
👻	কল্পনা, দৈত্য, প্ৰাণী, পৰীৰ সাধু, ভূত, মুখ
👽️	অলৌকিক, ইউফ’, এলিয়েন, কল্পনা, প্ৰাণী, মুখ
👾	অলৌকিক, ইউফ’, এলিয়েন, এলিয়েন দৈত্য, দৈত্য, প্ৰাণী, মুখ
🤖	দৈত্য, মুখমণ্ডল, ৰবট
😺	খোলা, মুখ, মুখমণ্ডল, মেকুৰী, হাঁহি, হাঁহি থকা মেকুৰী, হাস্যমুখী
😸	চকু, বিকৃত হাঁহি, মুখমণ্ডল, মেকুৰী, হাঁহি, হাঁহি থকা চকুৰে হাস্যমুখী মেকুৰী
😹	আনন্দ, আনন্দাশ্ৰুৰ সৈতে মেকুৰী, চকুপানী, মুখমণ্ডল, মেকুৰী
😻	চকু, চকুত হৃদয়ৰ প্ৰতীক থকা হাস্যমুখী মেকুৰী, প্ৰেম, মেকুৰী, হাঁহি, হৃদয়
😼	বিকৃত, বিকৃত হাঁহি মৰা মেকুৰীৰ ছবি, মুখমণ্ডল, মেকুৰী, হাঁহি
😽	চকু, চুমা, চুম্বন কৰা মেকুৰীৰ ছবি, মুখমণ্ডল, মেকুৰী
🙀	অহ্‌, আশ্চৰ্য্য, ক্লান্ত, ক্লান্ত মেকুৰী, মুখমণ্ডল, মেকুৰী
😿	ক্ৰন্দন, ক্ৰন্দনৰত মেকুৰী, চকুপানী, দুখী, মুখমণ্ডল, মেকুৰী
😾	চিঞৰি থকা মেকুৰী, মুখ ফুলোৱা, মুখমণ্ডল, মেকুৰী
🙈	অশুভ, চোৱা, নিষিদ্ধ, বান্দৰ, বেয়া বস্তু নোচোৱা বান্দৰ, মুখ
🙉	অশুভ, নিষিদ্ধ, বান্দৰ, বেয়া কথা নুশুনা বান্দৰ, মুখ, শুনা
🙊	অশুভ, কথা, নিষিদ্ধ, বান্দৰ, বেয়া কথা নোকোৱা বান্দৰ, মুখ
💋	ওঁঠ, চুম্বন, চুম্বন চিহ্ন
💌	পত্ৰ, প্ৰেম, প্ৰেম পত্ৰ, মেইল, হৃদয়
💘	কাঁড়, কাঁড়ৰ সৈতে হৃদয়, কাপিড
💝	ভেলেণ্টাইন, ৰিবন, ৰিবনৰ সৈতে হৃদয়
💖	উৎসাহিত, ঝিলমিল, ঝিলমিলোৱা হৃদয়
💗	উৎসাহিত, নাড়ি, বিকশিত হৃদয়, বৰ্দ্ধমান, স্নায়বিক
💓	কঁপনি, স্পন্দন, স্পন্দিত হৃদয়, হাৰ্টবিট
💞	ঘূৰা, ঘূৰি থকা হৃদয়
💕	দুখন হৃদয়, প্ৰেম
💟	হাৰ্ট, হাৰ্ট সজোৱা
❣️	চিন, ভাববোধক, যতি-চিহ্ন, হৃদয়ৰ চিত্ৰ সম্বলিত ভাববোধক চিন
💔	ভগ্ন হৃদয়, ভঙা, ভাঙি যোৱা
❤️	হাৰ্ট, ৰঙা হৃদয়
🧡	কমলাৰঙী, কমলাৰঙী হৃদয়
💛	হালধীয়া, হালধীয়া হৃদয়
💚	সেউজীয়া, সেউজীয়া হৃদয়
💙	নীলা, নীলা হৃদয়
💜	বেঙুণীয়া, বেঙুণীয়া হৃদয়
🤎	মূগা, মূগা হৃদয়, হৃদয়
🖤	ক’লা, ক’লা হৃদয়, বিদ্বেষপূৰ্ণ, মন্দ
🤍	বগা, বগা হৃদয়ৰ ছবি, হৃদয়
💯	এশ, এশ নম্বৰ, পূৰা, স্ক’ৰ, ১০০, ১০০ নম্বৰ
💢	কমিক, খং, খঙৰ প্ৰতীক, পাগল
💥	কমিক, গৰ্জন, সংঘৰ্ষ
💫	কমিক, তৰা, হতবুদ্ধি
💦	কমিক, ঘাম ছিটিকি পৰা, ঘামৰ টোপাল
💨	উদ্যমী, কমিক, ঠেলা-ঠেলি, দৌৰা
🕳️	ছিদ্ৰ
💣️	কমিক, বোমা
💬	কথন, কমিক, বেলুন, সংলাপ, স্পিচ বেলুন
👁‍🗨	চকু, চকুৰ দৰে স্পিচ বাব’ল, সাক্ষী, স্পিচ বাব’ল
🗨️	কথন, বাওঁ কথন বুৰবুৰণি, সংলাপ
🗯️	খং, পাগল, বুৰবুৰণি, বেলুন, সোঁফালে খঙৰ বুৰবুৰণি
💭	কমিক, চিন্তা, চিন্তাৰ বেলুন, বুৰবুৰণি, বেলুন
💤	কমিক, নিদ্ৰা, নিদ্ৰালু
👋	লহৰ, লৰোৱা, হাত, হাত লৰোৱা
👋🏻	পাতল ছালৰ ৰং, লহৰ, লৰোৱা, হাত, হাত লৰোৱা: পাতল ছালৰ ৰং
👋🏼	মধ্যমীয়া-পাতল ছালৰ ৰং, লহৰ, লৰোৱা, হাত, হাত লৰোৱা: মধ্যমীয়া-পাতল ছালৰ ৰং
👋🏽	মধ্যমীয়া ছালৰ ৰং, লহৰ, লৰোৱা, হাত, হাত লৰোৱা: মধ্যমীয়া ছালৰ ৰং
👋🏾	মধ্যমীয়া-ক’লা ছালৰ ৰং, লহৰ, লৰোৱা, হাত, হাত লৰোৱা: মধ্যমীয়া-ক’লা ছালৰ ৰং
👋🏿	ক’লা ছালৰ ৰং, লহৰ, লৰোৱা, হাত, হাত লৰোৱা: ক’লা ছালৰ ৰং
🤚	হাত তোলা, হাত দঙা, হাতৰ পিছফাল
🤚🏻	পাতল ছালৰ ৰং, হাত তোলা, হাত দঙা, হাতৰ পিছফাল, হাতৰ পিছফাল: পাতল ছালৰ ৰং
🤚🏼	মধ্যমীয়া-পাতল ছালৰ ৰং, হাত তোলা, হাত দঙা, হাতৰ পিছফাল, হাতৰ পিছফাল: মধ্যমীয়া-পাতল ছালৰ ৰং
🤚🏽	মধ্যমীয়া ছালৰ ৰং, হাত তোলা, হাত দঙা, হাতৰ পিছফাল, হাতৰ পিছফাল: মধ্যমীয়া ছালৰ ৰং
🤚🏾	মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত তোলা, হাত দঙা, হাতৰ পিছফাল, হাতৰ পিছফাল: মধ্যমীয়া-ক’লা ছালৰ ৰং
