😀	malaking ngiti, mukha, mukhang nakangisi, mukhang nakangiti, nakangiti, ngiti
😃	masaya, mukha, nakangisi na may malaking mga mata, nakangiti, ngiti
😄	masaya, mata, mukha, nakangisi kasama ang mga nakangiting mata, nakangiti, nakatawa, ngiti
😁	malaking ngiti, mata, mukha, nakangiti, nakangiti nang malaki kasama ang mga mata, nakangiti pati ang mga mata, ngiti
😆	XD, masaya, mata, mukha, nakangiti, nakapikit, nakatawa, nakatawa nang nakapikit, ngiti
😅	malamig, mukha, nakangising mukha na may pawis, nakangiti, nakatawa, ngiti, pawis
🤣	gumugulong, gumugulong sa kakatawa, mukha, sahig, tumatawa
😂	iyak, luha, masaya, mukha, mukhang naiiyak sa tuwa, tawa, tumatawa
🙂	medyo nakangiti, mukha, nakangiti, ngiti
🙃	baligtad, baligtad na mukha, mukha
😉	kindat, kumikindat, mukha
😊	blush, masaya, mata, mukha, nakangiti, nakangiti kasama ang mga mata, ngiti
😇	anghel, banal, halo, inosente, mabait, mukha, nakangiti, nakangiti nang may halo, ngiti
🥰	crush, nakangiting mukha na may 3 na puso, sinasamba, umiibig
😍	mata, mukha, nakangiti, nakangiti nang may hugis-pusong mga mata, ngiti, pag-ibig, puso
🤩	bituin, mga mata, mukha, ngumingisi, star-struck
😘	flying kiss, halik, kindat, mukha, puso
😗	halik, humahalik, mukha, nguso
☺️	blush, mukha, nakangiti, ngiti
😚	halik, humahalik nang nakapikit, mata, mukha, ngiti
😙	halik, humahalik nang nakangiti ang mga mata, mata, mukha, ngiti
😋	lasa, lumalasap, lumalasap ng masarap na pagkain, masarap, mukha, nakangiti, ngiti, yummy
😛	belat, dila, mukha, nakabelat, nakadila
😜	biro, dila, kindat, kumikindat nang nakadila, mata, mukha, nakabelat, nakadila, nakakindat
🤪	baliw na mukha, malaki, maliit, mata
😝	dila, lasa, mata, nakadila, nakadila nang nakapikit
🤑	mukha, mukhang pera, pera
🤗	gesture, mukha, nangyayakap, yakap
🤭	mukha na nakatakip ang kamay sa bibig, oops, whoops
🤫	mukha na nagpapatahimik, shush, tahimik
🤔	isip, mukha, nag-iisip
🤐	bibig, hindi magsasalita, mukha, naka-zipper ang bibig, zipper
🤨	mukhang nakataas ang kilay, nagdududa, walang tiwala
😐️	mukha, neutral, walang emosyon, walang reaksyon
😑	mukha, walang ekspresyon, walang emosyon, walang reaksyon
😶	hindi nagsasalita, mukha, mukhang walang bibig, tahimik, walang bibig
😏	mukha, nakangisi, ngisi
😒	hindi masaya, hindi natutuwa, mukha
🙄	irap, itinitirik ang mga mata, mata, mukha, umiikot
😬	mukha, nagngingitngit, nagtitiis, nakangiwi, nandidiri, nasasaktan, ngiwi
🤥	mukha, nagsisinungaling, pinocchio, sinungaling
😌	buntung-hininga, mukha, nakahinga nang maluwag, whew
😔	malungkot, malungkot na nag-iisip, mukha, nag-iisip, nalulumbay
😪	humihilik, inaantok na mukha, mukha, natutulog, tulog
🤤	mukha, naglalaway
😴	humihilik, inaantok, mukha, natutulog, tulog
😷	doktor, gamot, mask, may suot na medical mask, mukha, nurse, sakit, sipon, surgeon, ubo
🤒	lagnat, may thermometer sa bibig, mukha, sakit, thermometer, trangkaso
🤕	aksidente, benda, injury, may benda sa ulo, mukha, nasaktan, sugat
🤢	mukha, nasusuka, suka
🤮	mukha na nagsusuka, nasusuka, suka
🤧	bahing, bumabahing, mukha
🥵	atake, feverish, mainit, mainit na mukha, mukhang-pula, pinapawisan
🥶	frostbite, giniginaw, icicles, malamig, malamig na mukha, mukhang asul
