😀	चेहरा, दात विचकणाऱ्या हास्याचा चेहरा, दात विचकणे
😃	उघडे, खुल्या तोंडाने मोठ्याने हसणे, चेहरा, तोंड, मोठ्या डोळ्यांनी दात विचकणाऱ्या हास्याचा चेहरा, हास्य
😄	उघडे, चेहरा, डोळे, तोंड, हसणारे डोळे, हसणाऱ्या डोळ्यांचा दात विचकणारा चेहरा, हास्य
😁	चेहरा, डोळे, विचकवणे, हसणाऱ्या डोळ्यांसह दात विचकणारा चेहरा, हास्य
😆	उघडे, चेहरा, डोळे बंद करून हसणारा चेहरा, तोंड, समाधानी, हसणे, हास्य
😅	उघडे, चेहरा, थंड, थंड घाम, थंड घामासह हास्य असलेला चेहरा, हास्य
🤣	चेहरा, जमीन, बेजार होणे, हसणे, हसून हसून बेजार होणे
😂	अश्रू, आनंद, आनंदाश्रूंसह चेहरा, चेहरा, हसणे
🙂	चेहरा, स्मित करणारा चेहरा, हास्य
🙃	उलटा चेहरा, चेहरा, वरील बाजू खाली, वरील बाजू खाली असलेला चेहरा
😉	एक डोळा मिचकावणारा चेहरा, चेहरा, डोळे मिचकावणे
😊	चेहरा, डोळे, लाली, हसणार्‍या होळ्यांसह हसणारा चेहरा, हसणाऱ्या डोळ्यांसह हसणारा चेहरा, हास्य
😇	आवड, चेहरा, तेजोमंडळ, तेजोमंडळ असणारा चेहरा, तेजोमंडळ असणारा हसणारा चेहरा, देवदूत, निष्पाप, परीकथा, हास्य
🥰	3 हृदये असलेला हसरा चेहरा, क्रश, प्रेम, प्रेमात
😍	चेहरा, डोळे, डोळ्यांमध्‍ये प्रेम असलेला हसरा चेहरा, प्रेम, हास्य
🤩	चेहरा, डोळे, प्रशंसक, मिठी, स्टार, हासणारा
😘	चुंबन, चुंबन देणारा चेहरा, चेहरा
😗	चेहरा, मुके, मुके घेणारा चेहरा
☺️	चेहरा, न भरलेला स्मित चेहरा, निश्चिंत, हसणारा चेहरा, हास्य
😚	चुंबन, चेहरा, डोळे, डोळे बंद करून चुंबन देणारा चेहरा, बंद
😙	चेहरा, डोळे, मुके, हास्य, हास्यासह चुंबन देणारा चेहरा, हास्यासह मुके घेणारा चेहरा
🥲	अभिमान, अश्रू, अश्रूंसह हसणारा चेहरा, कृतज्ञ, चिंतामुक्त, भावूक, हसरा
😋	चेहरा, स्वाद घेणे, स्वादिष्ट, स्वादिष्ट अन्न, स्वादिष्‍ट अन्नाची मजा लुटणारा चेहरा, हास्य
😛	चेहरा, जीभ, जीभ बाहेर काढलेला चेहरा
😜	एक डोळा मिचकावत जीभ बाहेर काढलेला चेहरा, चेहरा, जीभ, जीभ बाहेर, डोळा, विनोद
🤪	डोळे, मूर्ख, मोठे, लहान, वेडावाकडा चेहरा, वेडेवाकडे तोंड
😝	अत्यानंददायक चेहरा, चव, चेहरा, जीभ, जीभ बाहेर काढलेला अत्यानंददायक चेहरा, डोळे, भयंकर
🤑	चेहरा, तोंड, पैशांनी बनलेला चेहरा, पैसा
🤗	चेहरा, मिठी, मिठी मारणारा चेहरा, मिठी मारणे
🤭	अरेरे, तोंडावर हात असलेला चेहरा
🤫	गप्प, गप्प करणारा चेहरा, शांत
🤔	चेहरा, विचार करणारा चेहरा, विचार करणे
🤐	चेहरा, झिप लावलेला, तोंड, तोंडाला झिप लावलेला चेहरा
🤨	अविश्वास, भुवई उंच केलेला चेहरा, संशयवादी
😐️	चेहरा, तटस्थ, तटस्थ चेहरा, निर्विकार
😑	अप्रभावी, अव्यवहार्य, चेहरा, भावहीन, भावहीन चेहरा
😶	चेहरा, तोंड, तोंड नसलेला चेहरा, मूक, मूक चेहरा, शांत
😏	चेहरा, बनावटी हास्य, बनावटी हास्याचा चेहरा
😒	चेहरा, दु:खी चेहरा, दुःखी
🙄	चेहरा, डोळे, डोळे फिरवणारा चेहरा, डोळे फिरविणारा चेहरा, फिरविणे
😬	चेहरा, वाकुल्या दाखविणारा चेहरा, वाकुल्या दाखविणे
🤥	खोटं, खोटारडा चेहरा, चेहरा, पिनोकिओ
😌	चिंतामुक्त, चिंतामुक्त चेहरा, चेहरा
😔	उदास, उदास चेहरा, चेहरा
😪	चेहरा, झोप, झोप येत असलेला चेहरा
🤤	चेहरा, लाळ गळणे, लाळ गळत असलेला चेहरा
😴	चेहरा, झोप, झोपलेला चेहरा
😷	आजारी, औषध, चेहरा, डॉक्टर, थंड, मास्क, मेडिकल मास्कसह चेहरा
🤒	आजारी, चेहरा, थर्मोमीटर, थर्मोमीटर असलेला चेहरा, थर्मोमीटरसह चेहरा
🤕	इजा, चेहरा, डोक्याला पट्यी बांधलेला चेहरा, डोक्याला बँडेज बांधलेला चेहरा, दुखापत, बँडेज
🤢	ओकारी, चेहरा, मळमळ होणे, मळमळत असतानाचा चेहरा
🤮	आजारी, ओकणारा चेहरा, ओकारी
🤧	चेहरा, तब्येतीसाठी शुभेच्छा देणे, शिंकणे, शिंकत असतानाचा चेहरा
🥵	उष्णतेचा स्ट्रोक, गरम, गरम घामेजलेला चेहरा, घाम, तापयुक्त, लाल-चेहऱ्याचा
🥶	गोठणे, थंड, थंड चेहरा, निळ्या-चेहऱ्याचा, बर्फाचे तुकडे, हिमबाधा
🥴	असंगत डोळे, तापट, मादक, वाकडे तोंड, संभ्रमित, स्तंभित चेहरा
😵	चेहरा, भोवळ, भोवळ येणारा चेहरा
🤯	डोक्यावर स्फोट, स्तब्ध
🤠	काऊगर्ल, काऊबॉय, काऊबॉय हॅट लावलेला चेहरा, चेहरा, हॅट
🥳	आनंदोत्सव, पार्टी, पार्टीचा चेहरा, हॅट, हॉर्न
🥸	गुप्त, चष्मा घातलेला, चेहरा, नाक, वेषांतर, वेषांतर केलेला चेहरा
😎	उन्हाचा चष्मा, उन्हाचा चष्मा घातलेला हसरा चेहरा, चष्मा, चेहरा, डोळे, थंड, प्रखर, सूर्य, हास्य
🤓	अभ्यासू कंटाळवाणा, अभ्यासू कंटाळवाणा चेहरा, गीक, चेहरा
