😀	лице, широка насмевка, широко насмеано лице
😃	лице, насмеано лице со големи очи, насмевка, отворена, уста
😄	лице со отворена уста и насмеани очи, насмеано лице со отворена уста и насмеани очи, насмевка, отворена, очи, уста
😁	лице, насмевка, око, широка насмевка, широко насмеано лице со насмеани очи
😆	лице со отворена уста и затворени очи, насмеано лице со отворена уста и затворени очи, насмевка, отворена, очи, уста
😅	лице, насмеано лице со отворена уста и капка пот, насмеано лице со отворена уста и пот, насмевка, отворена, пот
🤣	под, превртување од смеење, смеење, тркалање
😂	лице, лице со солзи радосници, радост, смеа, солза
🙂	блага, лице, лице со блага насмевка, мала, насмевка
🙃	лице, наопаку, превртено, превртено лице
😉	лице, лице што намигнува, намигнување
😊	вцрвенето, лице, насмеано лице со насмеани очи, насмевка, очи
😇	ангел, насмеано лице со ореол, насмевка, невиност, ореол
🥰	заљубен, насмеано лице со срца, насмеано лице со срциња, обожава, симпатија, срциња
😍	лице, насмеано лице со очи во облик на срца, насмевка, љубов
🤩	лице, лице здогледува славна личност, очи, смеење, ѕвезда
😘	бакнеж, лице, лице што испраќа бакнеж, срце, љубов
😗	бакнеж, лице, лице што бакнува
☺️	лице, насмеано лице, насмевка, релаксирано
😚	бакнеж, затворени, лице, лице што бакнува со затворени очи, очи
😙	бакнеж, лице, лице што бакнува со насмеани очи, насмевка, очи
😋	вкусно, лице, лице што ужива во вкусна храна, насмевка, ужива
😛	лице, лице со исплазен јазик, јазик
😜	лице, лице со исплазен јазик и намигнато око, намигнување, шега, јазик
🤪	големо, лудо лице, мало, око
😝	вкус, лице, лице со исплазен јазик и затворени очи, ужасно, јазик
🤑	лице, лице со пари на устата, пари, уста
🤗	гушкање, лице, лице што гушка, прегратка
🤭	лице со дланка преку устата, упс
🤫	лице прави „шшш“, тишина, шшш
🤔	лице, лице што размислува, мисли, размислува
🤐	лице, лице со закопчана уста, патент, уста
🤨	лице со крената веѓа, недоверба, скептично
😐️	лице, неутралност, рамнодушно лице, рамнодушност
😑	без израз, лице, лице без никаков израз, монотоно
😶	лице, лице без уста, молчи, тивко, уста
😏	лице, лице со подбивна насмевка, насмевка, подбивно, самозадоволно
😒	лице, незаинтересирано, незаинтересирано лице, несреќно
🙄	лице, лице што превртува очи, очи, превртува
😬	гримаса, лице, лице со гримаса
🤥	лаже, лажење, лице, пинокио
😌	лице, лице со олеснување, олеснување
