😀	acmumeḥ meqqren
😃	acmumeh n lfarh
😄	acmumeh amesrar
😁	acmumeḥ n tuɣmas meṛṛa
😆	udem acmumaḥ akked yimi yeldin d wallen imedlen
😅	acmumeh n reffu
🤣	axbibed di tmurt si tedsa
😂	taḍsa ar imeṭṭawen
🙂	acmumeh afessas
😉	udem yemmalen aɣmaz n ti
😊	udem innecṛaḥen s wallen icmumḥen
😍	udem yecmumhen d wallen igan am wul
😘	tasudent d wul
😗	tamact
☺️	udem n ucmumeḥ
😚	tasudent allen medlent
😙	tasudent meqren
😋	ham-ham
😛	Udem s yiles
😜	Udem yessufɣen iles
🤗	udem yefkan ahennec
🤔	udem ikecmen di ttexmim
🤐	udem d yimi ixaden
🤨	afus irefden iḍudan bejqen
😐️	war awal
😑	udem war asunfal
😶	ulac imi
😏	acmumeh n tiherci
😒	udem ameklu
🙄	baɛar s wallen
😌	udem yenirsen
😪	udem yeṭṭsen
🤤	asluddu
😴	udem anudam
😷	udem s tgelmust
🤒	udem s utirmumitr
😎	acmumeḥ s nwader n yiṭij
☹️	udem amiglaz
😮	vennej
😯	udem war taɣect
😥	uk
😣	udem akayay
😫	udem yeɛyan
👶	ṣebyan
👶🏻	tagwlimt taceɛlalt, ṣebyan, ṣebyan: tagwlimt taceɛlalt
👶🏼	tagwlimt taceɛlalt talemmast, ṣebyan, ṣebyan: tagwlimt taceɛlalt talemmast
👶🏽	taglimt talemmast, ṣebyan, ṣebyan: taglimt talemmast
👶🏾	tagwlimt tubrikt talemmast, ṣebyan, ṣebyan: tagwlimt tubrikt talemmast
👶🏿	tagwlimt tubrikt, ṣebyan, ṣebyan: tagwlimt tubrikt
🧒	agrud
🧒🏻	agrud, agrud: tagwlimt taceɛlalt, tagwlimt taceɛlalt
🧒🏼	agrud, agrud: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🧒🏽	agrud, agrud: taglimt talemmast, taglimt talemmast
🧒🏾	agrud, agrud: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
🧒🏿	agrud, agrud: tagwlimt tubrikt, tagwlimt tubrikt
👦	aqruṛ
👦🏻	aqruṛ, aqruṛ: tagwlimt taceɛlalt, tagwlimt taceɛlalt
👦🏼	aqruṛ, aqruṛ: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👦🏽	aqruṛ, aqruṛ: taglimt talemmast, taglimt talemmast
👦🏾	aqruṛ, aqruṛ: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
👦🏿	aqruṛ, aqruṛ: tagwlimt tubrikt, tagwlimt tubrikt
👧	Taqruṛt
👧🏻	Taqruṛt, Taqruṛt: tagwlimt taceɛlalt, tagwlimt taceɛlalt
👧🏼	Taqruṛt, Taqruṛt: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👧🏽	Taqruṛt, Taqruṛt: taglimt talemmast, taglimt talemmast
👧🏾	Taqruṛt, Taqruṛt: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
👧🏿	Taqruṛt, Taqruṛt: tagwlimt tubrikt, tagwlimt tubrikt
🧑	amengaḍ
🧑🏻	amengaḍ, amengaḍ: tagwlimt taceɛlalt, tagwlimt taceɛlalt
🧑🏼	amengaḍ, amengaḍ: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🧑🏽	amengaḍ, amengaḍ: taglimt talemmast, taglimt talemmast
🧑🏾	amengaḍ, amengaḍ: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
🧑🏿	amengaḍ, amengaḍ: tagwlimt tubrikt, tagwlimt tubrikt
👨	argaz
👨🏻	argaz, argaz: tagwlimt taceɛlalt, tagwlimt taceɛlalt
👨🏼	argaz, argaz: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👨🏽	argaz, argaz: taglimt talemmast, taglimt talemmast
👨🏾	argaz, argaz: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
👨🏿	argaz, argaz: tagwlimt tubrikt, tagwlimt tubrikt
👨‍🦰	acekkuḥ azeggaɣ, argaz, argaz: acekkuḥ azeggaɣ
👨🏻‍🦰	acekkuḥ azeggaɣ, argaz, argaz: tagwlimt taceɛlalt, acekkuḥ azeggaɣ, tagwlimt taceɛlalt
👨🏼‍🦰	acekkuḥ azeggaɣ, argaz, argaz: tagwlimt taceɛlalt talemmast, acekkuḥ azeggaɣ, tagwlimt taceɛlalt talemmast
👨🏽‍🦰	acekkuḥ azeggaɣ, argaz, argaz: taglimt talemmast, acekkuḥ azeggaɣ, taglimt talemmast
