😀	tvár, úškrn, úškľabok, škeriaca sa tvár
😃	otvorené, tvár, úsmev, ústa, škeriaca sa tvár s veľkými očami
😄	oko, otvorené, tvár, úsmev, ústa, škeriaca sa tvár s prižmúrenými očami
😁	natešená tvár s prižmúrenými očami, oko, tvár, úsmev, úškrn, úškľabok
😆	otvorené, smiech, spokojné, tvár, úsmev, ústa, škeriaca sa tvár s privretými očami
😅	horúco, otvorené, pot, tvár, úsmev, škeriaca sa tvár s potom
🤣	smiech, tvár, váľam, váľam sa od smiechu
😂	plač, plačem od smiechu, radosť, slza, smiech, tvár
🙂	tvár, usmievajúca sa tvár, úsmev
🙃	otočená, prevrátená, prevrátená tvár, tvár
😉	tvár, žmurkajúca tvár, žmurkanie, žmurknutie
😊	oko, smejúca sa tvár s prižmúrenými očami, tvár, zapýrenie, úsmev
😇	anjel, nevinná, smejúca sa tvár so svätožiarou, svätožiara, svätá, tvár, úsmev
🥰	smejúca sa tvár s tromi srdiečkami, zamilovaná, zamilovaný, zaľúbená, zaľúbený, zbožňujem
😍	láska, oko, smejúca sa tvár so srdiečkami, srdce, tvár, úsmev
🤩	oči, pobláznenie, pobláznená tvár, tvár, úškrn, úškľabok
😘	bozk, srdce, tvár, tvár posielajúca bozk
😗	bozk, bozkávajúca tvár, tvár
☺️	pohoda, smejúca sa tvár, tvár, úsmev
😚	bozk, bozkávajúca tvár so zatvorenými očami, oko, tvár, zatvorené
😙	bozk, bozkávajúca tvár s prižmúrenými očami, oko, tvár, úsmev
😋	dobrota, jedlo, mňam, pochutnávajúca si tvár, tvár, úsmev
😛	drzá, jazyk, tvár, tvár s vyplazeným jazykom
😜	jazyk, oko, tvár, vtip, žmurkajúca tvár s vyplazeným jazykom, žmurkať
🤪	bláznivá, bláznivá tvár, tvár, šialenec, šialená
😝	chuť, hrozná, jazyk, oko, tvár, tvár s vyplazeným jazykom a privretými očami
🤑	peniaze, tvár, tvár s peniazmi na jazyku, ústa
🤗	objatie, objímajúca tvár, objímanie, tvár
🤭	chi, joj, tvár s rukou na ústach
🤫	pst, ticho, tvár s prstom na ústach, čit
🤔	premýšľajúca tvár, premýšľať, tvár
🤐	mlčať, tvár, tvár so zazipsovanými ústami, ústa
🤨	nedôvera, pochyba, skeptik, tvár so zdvihnutým obočím
😐️	kamenná, neutrálna, neutrálna tvár, tvár
😑	bezvýrazná, bezvýrazná tvár, neurčitá, tvár
😶	nemá, tichá, tvár, tvár bez úst, ústa
😏	samoľúba, samoľúba tvár, tvár
😒	nespokojná, nuda, tvár, znudená, znudená tvár
🙄	oči, prevracať, tvár, tvár prevracajúca oči
😬	grimasa, tvár, vyškerená, vyškerená tvár
🤥	klamať, klamstvo, lož, tvár, tvár s dlhým nosom
😌	tvár, tvár vyjadrujúca úľavu, upokojená, úľava
😔	deprimovaná, tvár, zamyslená, zamyslená tvár
😪	ospalá, ospalá tvár, tvár, únava
🤤	blaho, slintajúca tvár, slintať, tvár
😴	spať, spiaca tvár, spánok, tvár
😷	choroba, chorá, doktor, lekár, tvár, tvár s rúškom
🤒	chorá, nezdravá, teplomer, tvár, tvár s teplomerom
🤕	bandáž, poranená, tvár, tvár s obväzom, zranenie
🤢	nevoľnosť, tvár, tvár, ktorej je zle, vracať, zle
🤮	tvár, ktorá vracia, vracať, zle
🤧	kýchajúca tvár, kýchať, kýchnutie, tvár
🥵	horúco, horúčka, pot, potenie, rozhorúčená tvár, úpal
🥶	cencúľ, chladno, mrznúca tvár, mráz, zima
🥴	malátna tvár, omámený, opilec, opitý, podnapitý, závrat
😵	tvár, tvár so závratom, závrat
🤯	nechápem, vybuchujúca hlava, šokovaná
🤠	klobúk, kovboj, tvár, tvár s kovbojským klobúkom
🥳	oslava, oslavujúca tvár, párty, večierok, žúr
😎	okuliare, slnko, smejúca sa tvár s okuliarmi, super, tvár, úsmev
🤓	bifľloš, tvár, vedátor, čudák, šprták
🧐	staromódna, tvár, tvár s monoklom
😕	neviem, tvár, zmätená, zmätená tvár, zmätok
😟	obavy, tvár, ustaraná, ustaraná tvár
🙁	trochu zamračená tvár, tvár, zamračená
☹️	tvár, zamračená, zamračená tvár
😮	otvorené, súcit, tvár, tvár s otvorenými ústami, ústa
😯	ohromená, prekvapená, tvár, umlčaná, umlčaná tvár
😲	absolútne, tvár, udivená, udivená tvár, šokovaná
😳	sčervenená, tvár, zapýrená, zapýrená tvár
🥺	prosebná tvár, prosím, psie oči, zľutovanie
😦	otvorené, tvár, zamračená, zamračená tvár s otvorenými ústami, ústa
😧	tvár, utrápená, utrápená tvár
😨	bojazlivá, strach, tvár, vystrašená, vystrašená tvár
😰	náhliť, otvorené, pot, tvár, znepokojená tvár s potom, ústa
😥	sklamaná, sklamaná, ale uvoľnená tvár, tvár, uf, uvoľnená
😢	plakať, plač, plačúca tvár, slza, smutná, tvár
😭	nariekajúca tvár, nariekať, plač, slza, smutná, tvár
😱	strach, tvár, tvár kričiaca od strachu, vydesená, vystrašená, výkrik
😖	popletená, tvár, tvár v rozpakoch
😣	tvár, urputná tvár, vydržať, vytrvať
😞	sklamaná, sklamaná tvár, tvár
😓	deprimovaná, pot, skľúčená, skľúčená tvár s potom, tvár
😩	tvár, unavená, ustatá, ustatá tvár
😫	tvár, unavená, unavená tvár, únava
🥱	unavený, unudený, znudený, zívajúca tvár, zívať
😤	triumf, tvár, tvár s parou z nosa, víťazná
😡	hnev, nahnevaná, nazlostená, podráždená tvár, trucujúca, tvár, zlosť
😠	hnev, nahnevaná, nahnevaná tvár, nazlostená, tvár, zlosť
🤬	nadávajúca tvár, nadávať, nadávky
😈	rohy, rozprávka, smejúca sa tvár s rohmi, tvár, úsmev
👿	diabol, démon, nahnevaná tvár s rohmi, rozprávka, tvár, čert
💀	lebka, rozprávka, smrť, tvár
☠️	lebka, lebka s prekríženými kosťami, skrížené hnáty, smrť, tvár
💩	hnoj, hovienko, hovno, tvár
🤡	klaun, tvár, tvár klauna
👹	netvor, obluda, rozprávka, tvár
👺	netvor, obluda, rozprávka, tvár, škrat
👻	duch, netvor, rozprávka, strašidlo, tvár
👽️	mimozemšťan, tvár, ufón, vesmír
👾	mimozemská príšera, mimozemšťan, netvor, obluda, vesmír, votrelec
🤖	netvor, robot, tvár
😺	mačka, otvorené, tvár, úsmev, ústa, škeriaca sa mačka
😸	mačka, oko, tvár, úsmev, úškrn, úškľabok, škeriaca sa mačka s prižmúrenými očami
😹	mačka, mačka plače od smiechu, slza, smiech, tvár
😻	láska, mačka, oko, smejúca sa mačka so srdiečkami, srdce, tvár, úsmev
😼	ironická, mačka, mačka s úškľabkom, tvár, uštipačná, úsmev
😽	bozk, bozkávajúca mačka, mačka, oko, tvár
🙀	mačka, prekvapená, tvár, ustatá, vyčerpaná mačka
😿	mačka, plač, plačúca mačka, slza, smutná, tvár
😾	mačka, podráždená, podráždená mačka, trucujúca, tvár
🙈	gesto, nevidím, nevidím zlo, opica, tvár, zakázané, zlo, zlé
🙉	gesto, nepočujem, nepočujem zlo, opica, tvár, zakázané, zlo, zlé
🙊	gesto, nehovorím, nehovorím zlo, opica, tvár, zakázané, zlo, zlé
💋	bozk, odtlačok pier, pery, romanca
💌	list, láska, pošta, romanca, srdce, ľúbostný list
💘	kupido, romanca, srdce, srdce so šípom, šíp
💝	srdce, srdce so stuhou, stuha, valentín
💖	ligotanie, ligotavé srdce, radosť, srdce, trblietanie
💗	nervózne, pulz, radosť, rastúce srdce, srdce
💓	pulz, srdce, tlkot, tlčúce srdce
💞	krúžiace, krúžiace srdcia, srdce
💕	dve srdcia, láska, srdce
💟	ozdoba v tvare srdca, srdce
❣️	interpunkcia, srdce, výkričník, výkričník v tvare srdca, znak, zvolanie
💔	srdce, zlomené, zlomené srdce, zlomiť
❤️	srdce, červené srdce
🧡	oranžové, oranžové srdce, srdce
💛	srdce, žlté, žlté srdce
💚	srdce, zelené, zelené srdce
💙	modré, modré srdce, srdce
💜	fialové, fialové srdce, srdce
🤎	hnedé, hnedé srdce, srdce
🖤	podlosť, srdce, zlo, čierne, čierne srdce
🤍	biele, biele srdce, srdce
💯	100, plný počet, sto, sto bodov
💢	hnev, komiks, symbol hnevu, zlosť
💥	buch, bum, komiks, zrážka
💫	hviezdičky, komiks, mám závrat, závrat
💦	komiks, kvapky potu, pot
💨	bežať, komiks, trieliť, utekať, utekám
🕳️	diera, jama, kanál
💣️	bomba, komiks
💬	bublina, hovoriť, komiks, reč
👁‍🗨	bublina, dialóg, oko, oko v bubline, reč
