😀	ਮੁਸਕਰਾਉਂਦਾ ਚਿਹਰਾ, ਮੁਸਕਰਾਉਣਾ, ਮੁਸਕਾਨ, ਸਮਾਈਲੀ, ਹੱਸਣਾ
😃	ਖੁੱਲ੍ਹੇ ਮੁੰਹ ਨਾਲ ਹੱਸਦਾ ਚਿਹਰਾ, ਖੁੱਲ੍ਹੇ ਮੂੰਹ ਨਾਲ ਹਾਸਾ, ਖੁੱਲ੍ਹੇ ਮੂੰਹ ਨਾਲ ਹੱਸਦਾ ਚਿਹਰਾ, ਖੁੱਲ੍ਹੇ ਮੂੰਹ ਵਾਲਾ ਚਿਹਰਾ, ਸਮਾਈਲੀ, ਹਾਸਾ
😄	ਖੁੱਲ੍ਹੇ ਮੁੰਹ ਅਤੇ ਮੁਸਕਰਾਉਂਦੀਆਂ ਅੱਖਾਂ ਨਾਲ ਹੱਸਦਾ ਚਿਹਰਾ, ਖੁੱਲ੍ਹੇ ਮੂੰਹ ਅਤੇ ਮੁਸਕਰਾਉਂਦੀਆਂ ਅੱਖਾਂ ਨਾਲ ਹੱਸਦਾ ਚਿਹਰਾ, ਖੁੱਲ੍ਹੇ ਮੂੰਹ ਨਾਲ ਹਾਸਾ, ਸਮਾਈਲੀ, ਹਾਸਾ, ਹੱਸਦੀਆਂ ਅੱਖਾਂ
😁	ਮੁਸਕਰਾਉਂਦੀਆਂ ਅੱਖਾਂ ਨਾਲ ਹਸਦਾ ਚਿਹਰਾ, ਮੁਸਕਰਾਉਂਦੀਆਂ ਅੱਖਾਂ ਵਾਲਾ ਹੱਸਦਾ ਚਿਹਰਾ, ਮੁਸਕਰਾਉਣਾ, ਮੁਸਕਾਨ, ਮੁੁਸਕਰਾਉਂਦੀਆਂ ਅੱਖਾਂ
😆	ਅੱਖਾਂ ਬੰਦ ਨਾਲ ਮੁਸਕਾਨ, ਖੁੱਲ੍ਹਾ ਮੁੰਹ, ਖੁੱਲ੍ਹੇ ਮੁੰਹ ਅਤੇ ਘੁੱਟ ਕੇ ਬੰਦ ਕੀਤੀਆਂ ਅੱਖਾਂ ਨਾਲ ਹੱਸਦਾ ਚਿਹਰਾ, ਖੁੱਲ੍ਹੇ ਮੁੰਹ ਨਾਲ ਹਾਸਾ, ਚਿਹਰਾ, ਬੰਦ ਅੱਖਾਂ
😅	ਖੁੱਲ੍ਹੇ ਮੁੰਹ ਅਤੇੇ ਠੰਡੇ ਮੁੜ੍ਹਕੇ ਨਾਲ ਹੱਸਦਾ ਚਿਹਰਾ, ਠੰਡਾ ਮੁੜ੍ਹਕਾ, ਠੰਡਾ ਮੁੜ੍ਹਕਾ ਮੁਸਕਾਨ, ਮੁਸਕਾਨ ਪਰ ਠੰਡੇ ਮੁੜ੍ਹਕੇ ਨਾਲ
🤣	ਚਿਹਰਾ, ਫਰਸ਼, ਲੇਟਣਾ, ਹਾਸਾ, ਹੱਸ-ਹੱਸ ਲੋਟ-ਪੋਟ
😂	ਖੁਸ਼ੀ, ਖੁਸ਼ੀ ਦੇ ਹੰਝੂ, ਖੁਸ਼ੀ ਦੇ ਹੰਝੂਆਂ ਨਾਲ ਚਿਹਰਾ, ਚਿਹਰਾ, ਹੰਝੂ
🙂	ਚਿਹਰਾ, ਥੋੜ੍ਹਾ ਜਿਹਾ ਮੁਸਕਰਾਉਂਦਾ ਚਿਹਰਾ, ਮੁਸਕਰਾਉਂਦਾ ਚਿਹਰਾ, ਮੁਸਕਰਾਹਟ
🙃	ਚਿਹਰਾ, ਬੇਸਮਝ ਚਿਹਰਾ, ਬੇਹੂਦਗੀ, ਮੂਰਖ ਚਿਹਰਾ, ਮੂਰਖਤਾ
