😎	hali ya hewa, inayong’aa, jua, miwani ya jua, tabasamu, uso unaotabasamu uliovaa miwani, vali la macho
💗	furahia, kukua, moyo, moyo uanokua, moyo unaokua, mpaigo ya moyo, wasiwasi
👊	konde, kunja ngumi, mkono, mwili, ngumi, ngumi iliyonyooshewa
👊🏻	konde, kunja ngumi, mkono, mwili, ngozi nyeupe, ngumi, ngumi iliyonyooshewa, ngumi iliyonyooshewa: ngozi nyeupe
👊🏼	konde, kunja ngumi, mkono, mwili, ngozi nyeupe kiasi, ngumi, ngumi iliyonyooshewa, ngumi iliyonyooshewa: ngozi nyeupe kiasi
👊🏽	konde, kunja ngumi, mkono, mwili, ngozi ya kahawia, ngumi, ngumi iliyonyooshewa, ngumi iliyonyooshewa: ngozi ya kahawia
👊🏾	konde, kunja ngumi, mkono, mwili, ngozi nyeusi kiasi, ngumi, ngumi iliyonyooshewa, ngumi iliyonyooshewa: ngozi nyeusi kiasi
👊🏿	konde, kunja ngumi, mkono, mwili, ngozi nyeusi, ngumi, ngumi iliyonyooshewa, ngumi iliyonyooshewa: ngozi nyeusi
🤦‍♀	ishara, kutoamini, mwanamke anayeashiria kutoamini, mwanamke anayueashiria kutoamini
🤦🏻‍♀	ishara, kutoamini, mwanamke anayeashiria kutoamini, mwanamke anayeashiria kutoamini: ngozi nyeupe, mwanamke anayueashiria kutoamini, ngozi nyeupe
🤦🏼‍♀	ishara, kutoamini, mwanamke anayeashiria kutoamini, mwanamke anayeashiria kutoamini: ngozi nyeupe kiasi, mwanamke anayueashiria kutoamini, ngozi nyeupe kiasi
🤦🏽‍♀	ishara, kutoamini, mwanamke anayeashiria kutoamini, mwanamke anayeashiria kutoamini: ngozi ya kahawia, mwanamke anayueashiria kutoamini, ngozi ya kahawia
🤦🏾‍♀	ishara, kutoamini, mwanamke anayeashiria kutoamini, mwanamke anayeashiria kutoamini: ngozi nyeusi kiasi, mwanamke anayueashiria kutoamini, ngozi nyeusi kiasi
🤦🏿‍♀	ishara, kutoamini, mwanamke anayeashiria kutoamini, mwanamke anayeashiria kutoamini: ngozi nyeusi, mwanamke anayueashiria kutoamini, ngozi nyeusi
👨‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi na kofia ya kufuzu
👨🏻‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, ngozi nyeupe
👨🏼‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, ngozi nyeupe kiasi
👨🏽‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, ngozi ya kahawia
👨🏾‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, ngozi nyeusi kiasi
👨🏿‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, ngozi nyeusi
👩‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu
👩🏻‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, ngozi nyeupe
👩🏼‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, ngozi nyeupe kiasi
👩🏽‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, ngozi ya kahawia
👩🏾‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, ngozi nyeusi kiasi
👩🏿‍🎓	fuzu, hitimu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, ngozi nyeusi
👮	afisa, afisa wa polisi, polisi
👮🏻	afisa, afisa wa polisi, afisa wa polisi: ngozi nyeupe, ngozi nyeupe, polisi
👮🏼	afisa, afisa wa polisi, afisa wa polisi: ngozi nyeupe kiasi, ngozi nyeupe kiasi, polisi
👮🏽	afisa, afisa wa polisi, afisa wa polisi: ngozi ya kahawia, ngozi ya kahawia, polisi
👮🏾	afisa, afisa wa polisi, afisa wa polisi: ngozi nyeusi kiasi, ngozi nyeusi kiasi, polisi
👮🏿	afisa, afisa wa polisi, afisa wa polisi: ngozi nyeusi, ngozi nyeusi, polisi
🤰	mjamzito, mwanamke
🤰🏻	mjamzito, mwanamke, ngozi nyeupe
🤰🏼	mjamzito, mwanamke, ngozi nyeupe kiasi
🤰🏽	mjamzito, mwanamke, ngozi ya kahawia
🤰🏾	mjamzito, mwanamke, ngozi nyeusi kiasi
🤰🏿	mjamzito, mwanamke, ngozi nyeusi
🏋‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, uzani, uzito
🏋🏻‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, ngozi nyeupe, uzani, uzito
🏋🏼‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, ngozi nyeupe kiasi, uzani, uzito
🏋🏽‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, ngozi ya kahawia, uzani, uzito
🏋🏾‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, ngozi nyeusi kiasi, uzani, uzito
🏋🏿‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, ngozi nyeusi, uzani, uzito
🏋‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, uzani, uzito
🏋🏻‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, ngozi nyeupe, uzani, uzito
🏋🏼‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, ngozi nyeupe kiasi, uzani, uzito
🏋🏽‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, ngozi ya kahawia, uzani, uzito
🏋🏾‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, ngozi nyeusi kiasi, uzani, uzito
🏋🏿‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, ngozi nyeusi, uzani, uzito
🤹	mtu anayecheza mipira mingi, shughuli nyingi
🤹🏻	mtu anayecheza mipira mingi, mtu anayecheza mipira mingi: ngozi nyeupe, ngozi nyeupe, shughuli nyingi
🤹🏼	mtu anayecheza mipira mingi, mtu anayecheza mipira mingi: ngozi nyeupe kiasi, ngozi nyeupe kiasi, shughuli nyingi
🤹🏽	mtu anayecheza mipira mingi, mtu anayecheza mipira mingi: ngozi ya kahawia, ngozi ya kahawia, shughuli nyingi
🤹🏾	mtu anayecheza mipira mingi, mtu anayecheza mipira mingi: ngozi nyeusi kiasi, ngozi nyeusi kiasi, shughuli nyingi
🤹🏿	mtu anayecheza mipira mingi, mtu anayecheza mipira mingi: ngozi nyeusi, ngozi nyeusi, shughuli nyingi
🗣️	kichwa, kichwa kinachozungumza, kivuli, kuzungumza, uso, zungumza
🦙	alpaca, guanaco, lama, sufu, vicuña
🍅	mboga, mmea, nyanya
🍆	biringanya, mboga, mmea
🍜	bakuli, bakuli lenye tambi, kupika kwa mvuke, tambi, tambi za kijapani
🍺	baa, bia, kikombe, kikombe cha bia, kinywaji
🍻	baa, bia, gonganisha, kikombe, kinywaji, vikombe vya bia vinavyogonganishwa
🌄	asubuhi, hali ya hewa, jua, macheo, macheo kwenye milima, mlima
♨️	chemchemi za maji moto, chemichemi, chemichemi za maji ya moto, moto, mvuke
⛴️	boti, feri, kivuko
🛬	gari, inawasili, kutua, kuwasili, ndege, ndege inayowasili
🚠	gari, gari linalosafiri kwenye kamba zilizoning’inizwa hewani, gari linalosafiri milimani kwa kamba, kebo
🚡	gari, gari linalosafiri kwenye kamba zilizoning’inizwa hewani, hewani, kebo, njia ya kamba, njia ya tramu, tramu inayosafiri angani kwa kamba
🌒	anga, hali ya hewa, kuanza, mwezi, mwezi mwandamo
🌘	anga, hali ya hewa, kuisha, mwezi, mwezi kongo, mwezi mwandamo
🌠	anga, kimwondo, kuanguka, nyota
🌌	anga, hali ya jewa, kilimia
🔥	moto, mwale, zana
🪄	kifimbo cha miujiza, mchawi, muujiza
🧩	dokezo, fumbo, fungamana, kipande, kipande cha mchezo wa mafumbo, mchezofumbo
👓️	jicho, mavazi, miwani, miwani ya macho
🔈️	sauti, sauti ya chini ya spika, spika
💽	diski, diski ndogo, kompyuta, mwangaza
💿️	blu-ray, cd, diski, diski ya kutumia mwangaza, dvd, kompyuta, mwangaza
📀	blu-ray, cd, diski, diski dijitali, kompyuta, mwangaza
💹	benki, chati, chati inayopanda yenye yeni, grafu, juu, kupanda, ongezeka, pesa, sarafu, soko, uelekeo, yeni
🧬	dna, jenetiki, jeni, mageuko, maisha, mwanabiolojia
🛒	kigari cha kununulia bidhaa, mkokoteni, toroli, ununuzi
📵	hapana, katazwa, marufuku, simu, simu ya mkononi, simu za mkononi haziruhusiwi, siyo, ya mkononi
☣️	tahadhari ya kibilojia, tahadhari ya kibiolojia
♏️	nge, nyota ya nge, zodiaki
🔅	chini, fifia, kitufe cha kufifisha mwanga, kitufe cha kufifiza mwanga, kung’aa
💱	benki, pesa, sarafu, sarafu mbalimbali, ubadilishaji wa pesa, ubadilishanaji wa sarafu
💲	alama nzito ya dola, dola, pesa, sarafu
🆓	huru, kitufe cheney neno ‘FREE’, kitufe chenye neno ‘FREE’
🇦🇫	bendera: Afghanistani
🇦🇮	bendera: Anguila
