😀	నవ్వు, పళ్లు, పళ్లు చూపిస్తూ నవ్వుతున్న ముఖం, ముఖం
😃	నవ్వు, నోరు, నోరు తెరిచి నవ్వుతున్న ముఖం, పెద్ద కళ్లతో నోరు తెరిచి నవ్వుతున్న ముఖం, ముఖం
😄	నవ్వు, నోరు, నోరు తెరిచి సంతోషంతో నవ్వుతున్న ముఖం, ముఖం, సంతోషం
😁	నవ్వు, పళ్లు బయటకు పెట్టి నవ్వుతున్న ముఖం, పళ్లు బయటికి పెట్టి ఉండటం, ముఖం
😆	కళ్లు, కళ్లు మూసి నోరు తెరిచి నవ్వుతున్న ముఖం, నవ్వు, నోరు, ముఖం
😅	చెమట, చెమటతో నోరు తెరిచి నవ్వుతున్న ముఖం, నవ్వు, నోరు, ముఖం
🤣	కిందపడి, కిందపడి దొర్లుతూ నవ్వడం, దొర్లడం, నవ్వు, ముఖం
😂	ఆనందబాష్పాలు, ఆనందభాష్పాలతో ఉన్న ముఖం, ముఖం
🙂	చిరునవ్వు నవ్వుతున్న ముఖం, నవ్వు, ముఖం
🙃	తల, తలక్రిందులుగా ఉన్న ముఖం, ముఖం
😉	కన్ను, కన్ను కొడుతున్న ముఖం, ముఖం
😊	నవ్వు, ముఖం, సంతోం, సంతోషంతో నవ్వుతున్న ముఖం
😇	కాంతి, తల, తలపై కాంతి వలయంతో నవ్వుతున్న ముఖం, నవ్వు, ముఖం, వలయం
🥰	3 హృదయాకారాలతో నవ్వుతున్న ముఖం, ఆరాధించు, క్రష్, ప్రేమ
😍	ప్రేమ, ప్రేమను తెలిపే ముఖం, ముఖం
🤩	కళ్లు, నక్షత్రం, ముఖ కవళిక, ముఖం, స్టార్-స్ట్రక్
😘	ముఖం, ముద్దు, ముద్దువిసురుతున్న ముఖం
😗	ముఖం, ముద్దు, ముద్దు పెడుతున్న ముఖం
☺️	నవ్వు, నవ్వుతున్న ముఖం, ముఖం
😚	కళ్లు, కళ్లు మూసి ముద్దు పెడుతున్న ముఖం, ముఖం, ముద్దు
😙	కళ్లు, నవ్వు ముద్దు, నవ్వుతూ ముద్దు పెడుతున్న ముఖం, ముఖం
😋	ఆహారం, ముఖం, రుచి, రుచికరమైన ఆహారం తిన్న ముఖం
😛	నవ్వు, నాలుక, నాలుక బయటపెట్టి నవ్వుతున్న ముఖం, ముఖం
😜	కన్ను, నవ్వు, నాలుక, నాలుక బయటపెట్టి కన్ను కొడుతూ నవ్వుతున్న ముఖం, ముఖం
🤪	కళ్లు, చిన్న, పెద్ద, వెర్రి ముఖం
😝	కళ్లు, నవ్వు, నాలుక, నాలుక బయటపెట్టి కళ్లు మూసుకొని నవ్వుతున్న ముఖం, ముఖం
🤑	డబ్బు, డబ్బుతో కళ్లు, నోరు మూసుకుపోయిన ముఖం, నోరు, ముఖం
🤗	కౌగిలి, కౌగిలించుకున్న ముఖం, ముఖం
🤭	అయ్యో, చేతితో నోరు మూసుకున్న ముఖం
🤫	నిశ్శబ్ద చిహ్నం, నిశ్శబ్ద చిహ్నంతో ముఖం, నిశ్శబ్దం
🤔	ఆలోచన, ఆలోచిస్తున్న ముఖం, ముఖం
🤐	నోరు, నోరు కట్టి వేసిన ముఖం, ముఖం
🤨	అపనమ్మకం, కనురెప్పలు పైకి ఎత్తిన ముఖం, సందేహి
😐️	ఏ భావం లేని ముఖం, తటస్థ ముఖం, తటస్థం, ముఖం
😑	భావం, భావరహిత ముఖం, ముఖం
😶	నిశ్శబ్దం, నిశ్శబ్దాన్ని సూచించే ముఖం, ముఖం
😏	నవ్వు, ముఖం, వికారం, వికారంగా నవ్వుతున్న ముఖం
😒	అసంతృప్తి, అసంతృప్తి ముఖం, ముఖం
🙄	కళ్లు, కళ్లు తిప్పుతున్న ముఖం, ముఖం
😬	కోపం, కోపంతో పళ్లు కొరుకుతున్న ముఖం, పళ్లు, ముఖం
🤥	అబద్ధం, అబద్ధమాడుతున్న ముఖం, పీకియో, ముఖం
😌	ఉపశమనం, ఉపశమనం పొందిన ముఖం, ముఖం
😔	చింత, చింతిస్తున్న ముఖం, ముఖం
😪	నిద్ర, నిద్ర ఆవహించిన ముఖం, ముఖం
🤤	చొంగకారడం, చొంగకారుతున్న ముఖం, ముఖం
😴	నిద్ర, నిద్రపోతున్న ముఖం, ముఖం
😷	ఆసుపత్రి, ఆసుపత్రుల్లో ధరించే మాస్క్‌తో ఉన్న ముఖం, మాస్క్, ముఖం
🤒	థర్మామీటర్‌తో ఉన్న ముఖం, ధర్మామీటర్, ధర్మామీటర్‌తో ఉన్న ముఖం, ముఖం
🤕	కట్టు, తల, తలకు కట్టుతో ఉన్న ముఖం, ముఖం
🤢	నీరసం, ముఖం, వాంతి, వికారపు ముఖం
🤮	అనారోగ్యం, వాంతి, వాంతి చేసుకుంటున్న ముఖం
🤧	చీదుట, తుమ్ము, తుమ్ముతున్న ముఖం, ముఖం
🥵	చెమటలు, జ్వరం, వడదెబ్బ, వేడి, వేడితో ఎర్రబడిన ముఖం
🥶	ఐసికిల్‌లు, గడ్డకట్టుకుపోవడం, చలి, చల్లబడిన ముఖం, నీలిరంగు ముఖం, ఫ్రాస్ట్-బైట్
🥴	కళ్లు తేలేయడం, తాగిన మత్తు, నిషా, నోట్లో జల్లు కారడం, మత్తు, మత్తుగా ఉన్న ముఖం
😵	తల, తల తిరిగినట్లు ఉండే ముఖం, ముఖం
🤯	ఆశ్చర్యపోయారు, తల భారం
🤠	కౌగర్ల్, కౌబాయ్, కౌబాయ్ టోపీ ముఖం, టోపీ, ముఖం
🥳	టోపీ, పార్టీ, పార్టీలో వెలిగిపోతున్న ముఖం, వేడుకలు, హార్న్
😎	కళ్లద్దాలు, కళ్లద్దాలు పెట్టుకుని నవ్వుతున్న ముఖం, కళ్లద్దాలు పెట్టుకున్న ముఖం, ముఖం
🤓	తానే నవ్వుకుంటున్న ముఖం, నవ్వు, ముఖం
🧐	చిరచిరలాడటం, మానికల్ పెట్టుకున్న ముఖం
😕	అర్థం, గందరగోళంగా ఉన్న ముఖం, ముఖం
😟	దిగులు, దిగులుగా ఉన్న ముఖం, ముఖం
🙁	కొంచె కోపం, కొంచెం కోపంగా ఉన్న ముఖం, ముఖం
☹️	కోపం, కోపంగా ఉన్న ముఖం, ముఖం
😮	ఆశ్చర్యం, నోరు, నోరు తెరిచి ఉన్న ముఖం, ముఖం
😯	ఆశ్చర్యం, నిశ్శబ్దం, నిశ్శబ్దంగా చూస్తున్న ముఖం, ముఖం
😲	ఆశ్చర్యం, ఆశ్చర్యంతో నోరు తెరిచిన ముఖం, నోరు, ముఖం
😳	కలవరం, కలవరపాటుగా ఉన్న ముఖం, ముఖం
🥺	అందమైన కళ్లు, అభ్యర్థన, అభ్యర్థనగా ముఖం పెట్టడం, కరుణ
😦	కోపం, నోరు, నోరు తెరిచి కోపంగా ఉన్న ముఖం, ముఖం
😧	నిరుత్సాహం, భయం, ముఖం, వేదనతో ఉన్న ముఖం
😨	భయం, భయంతో ఉన్న ముఖం, ముఖం
😰	చెమట, నోరు, నోరు తెరిచి భయంతో చెమటలు పడుతున్న ముఖం, భయం, ముఖం
😥	ఉపశమనం, నిరాశ, నిరాశ చెందినా ఉపశమిస్తున్న ముఖం, ముఖం
😢	ఏడుపు, ఏడుస్తున్న ముఖం, ముఖం
😭	ఏడుపు, గట్టిగా ఏడుస్తున్న ముఖం, ముఖం
😱	భయం, భయంతో అరుస్తున్న ముఖం, ముఖం
😖	అయోమయం, అయోమయంగా ఉన్న ముఖం, ముఖం
😣	అసహాయత, అసహాయత ముఖం, ముఖం
😞	నిరాశ, నిరాశ చెందిన ముఖం, ముఖం
😓	అలసట, చెమట, చెమట పట్టిన ముఖం, ముఖం
😩	నిద్ర, నిద్రలేని ముఖం, ముఖం
😫	అలసట, అలిసిపోయిన ముఖం, ముఖం
🥱	అలసట, ఆవులింత, ఆవులిస్తున్న ముఖం, విసుగు
😤	నిట్టూర్చుతున్న ముఖం, నిట్టూర్పు, ముఖం
😡	ఎక్కువ కోపంతో చూస్తున్న ముఖం, కోపం, ముఖం
😠	కోపం, కోపంతో చూస్తున్న ముఖం, ముఖం
🤬	నోటిపై చిహ్నాలతో ముఖం, ప్రమాణం చేయడం
😈	కొమ్ము, కొమ్ములతో నవ్వుతున్న ముఖం, నవ్వు, ముఖం
👿	కొమ్ములతో కోపంగా చూస్తున్న ముఖం, దెయ్యం, బాధ, బాధించే దెయ్యం
💀	పుర్రె
☠️	అపాయకరం, పుర్రె, వ్యత్యస్త ఎముకలు
💩	కుప్ప, పెంట కుప్ప, పెంటకుప్ప, పేడ
🤡	జోకర్, జోకర్ ముఖం, ముఖం
👹	జపనీస్ ఓగ్రే, భయంకరమైన ముఖం
👺	జపనీస్ గోబ్లిన్, భయంకరమైన ముఖం
👻	దయ్యం, భూతం
👽️	గ్రహాంతర వాసి, గ్రహాంతరవాసి
👾	గ్రహాంతర రాక్షసుడు, గ్రహాంతరం, రాక్షసుడు
🤖	ముఖం, రోబో, రోబో ముఖం
😺	నవ్వు, నోరు, నోరు తెరిచి నవ్వుతున్న పిల్లి ముఖం, పిల్లి, ముఖం
😸	నవ్వు, పిల్లి, పెద్దగా నవ్వుతున్న పిల్లి ముఖం, ముఖం
😹	ఆనందబాష్పాలు, ఆనందబాష్పాలు కార్చుతున్న పిల్లి ముఖం, ఆనందభాష్పాలు కార్చుతున్న పిల్లి ముఖం, పిల్లి, ముఖం
😻	కళ్లు, నవ్వు, పిల్లి, ముఖం, హృదయం, హృదయాకార కళ్లతో నవ్వుతున్న పిల్లి ముఖం
😼	నవ్వు, పిల్లి, ముఖం, వెటకారంగా నవ్వే పిల్లి ముఖం
😽	కళ్లు, కళ్లు మూసుకొని ముద్దుపెడుతున్న పిల్లి ముఖం, పిల్లి, ముఖం, ముద్దు, ముద్దుపెడుతున్న పిల్లి ముఖం
🙀	నిద్ర, నిద్రలేని పిల్లి ముఖం, పిల్లి, ముఖం
😿	ఏడుపు, ఏడుస్తున్న పిల్లి ముఖం, పిల్లి, ముఖం
😾	కోపం, కోపంతో చూస్తున్న పిల్లి ముఖం, పిల్లి, ముఖం
🙈	కోతి, చెడు, చెడు చూడకు అని సూచించే కోతి
🙉	కోతి, చెడు, చెడు వినకు అని సూచించే కోతి
🙊	కోతి, చెడు, చెడు మాట్లాడకు అని సూచించే కోతి
💋	గుర్తు, ముద్దు, ముద్దు గుర్తు
💌	ప్రేమ, ప్రేమ లేఖ, లేఖ
💘	బాణం, హృదయం, హృదయాకారంలో బాణం
💝	రిబ్బన్, రిబ్బన్‌తో ఉన్న హృదయం, హృదయం
💖	మెరుపు, మెరుస్తున్న హృదయం, హృదయం
💗	పెరుగు, స్పందిస్తున్న హృదయం, హృదయం
💓	స్పందించడం, స్పందించే హృదయం, హృదయం
💞	తిరుగు, తిరుగుతున్న హృదయాలు, హృదయం
💕	రెండు, రెండు హృదయాలు, హృదయం
💟	అలంకరణ, హృదయ అలంకరణ, హృదయం
❣️	ఆశ్చర్యం, ఆశ్చర్యార్థకం గుర్తుతో ఉన్న భారమైన నగ, నగ, హృదయం
💔	గాయం, గాయపడిన హృదయం, హృదయం
❤️	ఎరుపు, ఎరుపు రంగు హృదయం, హృదయం
🧡	ఆరెంజ్, నారింజ రంగు హృదయం
💛	పసుపు పచ్చ, పసుపు పచ్చ రంగు హృదయం, హృదయం
💚	ఆకుపచ్చ, ఆకుపచ్చ రంగు హృదయం, హృదయం
💙	నీలం, నీలం రంగు హృదయం, హృదయం
💜	ఊదా, ఊదా రంగు హృదయం, హృదయం
🤎	గోధుమరంగు, గోధుమరంగు హృదయం, హృదయం
🖤	చెడు, నలుపు, నలుపు రంగు హృదయం, మోసపూరిత, హృదయం
🤍	తెలుపురంగు, తెలుపురంగు హృదయం, హృదయం
💯	100 పాయింట్‌లు, సంఖ్య
💢	కోపం, కోపానికి చిహ్నం
💥	కామిక్, ఢీకొనడం, పేలడం
💫	కళ్లు తిరగడం, చూడటం, నక్షత్రం, నక్షత్రాలను చూడటం
💦	స్వేదం, స్వేదం కారుతున్న చిహ్నం
💨	పరుగు, వేగం, వేగంగా పరిగెత్తడం
🕳️	రంధ్రం
💣️	బాంబ్, విధ్వంసం
💬	డైలాగ్, డైలాగ్ బుడగ, బుడగ
👁‍🗨	కన్ను, ప్రసంగ బడుగ, ప్రసంగ బుడుగలో కన్ను, సాక్షి
🗨️	ఎడమ డైలాగ్ బుడగ, డైలాగ్, బుడగ
🗯️	కోపం, కోపంతో ఉన్న కుడి బుడగ, బుడగ
💭	ఆలోచన, ఆలోచన బుడగ, బుడగ
💤	గురక, గురక గుర్తు, గుర్తు
👋	ఊపడం, చేయి, చేయి ఊపడం
👋🏻	ఊపడం, చేయి, చేయి ఊపడం: లేత చర్మపు రంగు, లేత చర్మపు రంగు
👋🏼	ఊపడం, చేయి, చేయి ఊపడం: మధ్యస్థంగా లేత చర్మపు రంగు, మధ్యస్థంగా లేత చర్మపు రంగు
👋🏽	ఊపడం, చేయి, చేయి ఊపడం: మధ్యస్థ చర్మపు రంగు, మధ్యస్థ చర్మపు రంగు
👋🏾	ఊపడం, చేయి, చేయి ఊపడం: మధ్యస్థంగా ముదురు చర్మపు రంగు, మధ్యస్థంగా ముదురు చర్మపు రంగు
👋🏿	ఊపడం, చేయి, చేయి ఊపడం: ముదురు చర్మపు రంగు, ముదురు చర్మపు రంగు
🤚	చేతి వెనుకవైపు, పైకెత్తడం, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు
🤚🏻	చేతి వెనుకవైపు, పైకెత్తడం, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు: లేత చర్మపు రంగు, లేత చర్మపు రంగు
🤚🏼	చేతి వెనుకవైపు, పైకెత్తడం, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు: మధ్యస్థంగా లేత చర్మపు రంగు, మధ్యస్థంగా లేత చర్మపు రంగు
🤚🏽	చేతి వెనుకవైపు, పైకెత్తడం, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు: మధ్యస్థ చర్మపు రంగు, మధ్యస్థ చర్మపు రంగు
🤚🏾	చేతి వెనుకవైపు, పైకెత్తడం, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు: మధ్యస్థంగా ముదురు చర్మపు రంగు, మధ్యస్థంగా ముదురు చర్మపు రంగు
🤚🏿	చేతి వెనుకవైపు, పైకెత్తడం, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు, పైకెత్తి చూపిస్తున్న చేతి వెనుకవైపు: ముదురు చర్మపు రంగు, ముదురు చర్మపు రంగు
🖐️	చేయి, వేళ్లు, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి
🖐🏻	చేయి, లేత చర్మపు రంగు, వేళ్లు, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి: లేత చర్మపు రంగు
🖐🏼	చేయి, మధ్యస్థంగా లేత చర్మపు రంగు, వేళ్లు, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి: మధ్యస్థంగా లేత చర్మపు రంగు
🖐🏽	చేయి, మధ్యస్థ చర్మపు రంగు, వేళ్లు, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి: మధ్యస్థ చర్మపు రంగు
🖐🏾	చేయి, మధ్యస్థంగా ముదురు చర్మపు రంగు, వేళ్లు, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి: మధ్యస్థంగా ముదురు చర్మపు రంగు
🖐🏿	చేయి, ముదురు చర్మపు రంగు, వేళ్లు, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి, వేళ్లు తెరిచి పైకి ఎత్తిన చేయి: ముదురు చర్మపు రంగు
✋	అభయ హస్తం, అరచేయి, ఆగుము చిహ్నం, ఎత్తిన చేయి
✋🏻	అభయ హస్తం, అరచేయి, ఆగుము చిహ్నం, ఎత్తిన చేయి, ఎత్తిన చేయి: లేత చర్మపు రంగు, లేత చర్మపు రంగు
✋🏼	అభయ హస్తం, అరచేయి, ఆగుము చిహ్నం, ఎత్తిన చేయి, ఎత్తిన చేయి: మధ్యస్థంగా లేత చర్మపు రంగు, మధ్యస్థంగా లేత చర్మపు రంగు
✋🏽	అభయ హస్తం, అరచేయి, ఆగుము చిహ్నం, ఎత్తిన చేయి, ఎత్తిన చేయి: మధ్యస్థ చర్మపు రంగు, మధ్యస్థ చర్మపు రంగు
✋🏾	అభయ హస్తం, అరచేయి, ఆగుము చిహ్నం, ఎత్తిన చేయి, ఎత్తిన చేయి: మధ్యస్థంగా ముదురు చర్మపు రంగు, మధ్యస్థంగా ముదురు చర్మపు రంగు
✋🏿	అభయ హస్తం, అరచేయి, ఆగుము చిహ్నం, ఎత్తిన చేయి, ఎత్తిన చేయి: ముదురు చర్మపు రంగు, ముదురు చర్మపు రంగు
🖖	ఆయురారోగ్య ఐశ్వర్య ప్రాప్తిరస్తు, ఆయువు, ఆరోగ్యం, ఐశ్వర్యం పొందాలనే ఆకాంక్ష సంకేతం
🖖🏻	ఆయురారోగ్య ఐశ్వర్య ప్రాప్తిరస్తు, ఆయురారోగ్య ఐశ్వర్య ప్రాప్తిరస్తు: లేత చర్మపు రంగు, ఆయువు, ఆరోగ్యం, ఐశ్వర్యం పొందాలనే ఆకాంక్ష సంకేతం, లేత చర్మపు రంగు
🖖🏼	ఆయురారోగ్య ఐశ్వర్య ప్రాప్తిరస్తు, ఆయురారోగ్య ఐశ్వర్య ప్రాప్తిరస్తు: మధ్యస్థంగా లేత చర్మపు రంగు, ఆయువు, ఆరోగ్యం, ఐశ్వర్యం పొందాలనే ఆకాంక్ష సంకేతం, మధ్యస్థంగా లేత చర్మపు రంగు
