😀	irve, laia naeratusega nägu, naeratus, nägu
😃	avatud, avatud suuga naerunägu, lahti, naeratus, nägu, suu
😄	avatud, avatud suu ja naeratavate silmadega naerunägu, lahti, naeratus, nägu, silm, suu
😁	irve, naeratus, naerul silmade ja laia naeratusega nägu, nägu, silm
😆	avatud, avatud suu ja suletud silmadega naerunägu, lahti, naer, naeratus, nägu, rahul, suu
😅	avatud, higi, külm, külma higiga kaetud ja avatud suuga naerunägu, naeratus, nägu
🤣	kõver, naer, naerust kõveras
😂	naer, nägu, pisar, rõõm, rõõmupisaratega nägu
🙂	naeratus, naeratusega nägu, nägu
🙃	nägu, tagurpidi, tagurpidi nägu
😉	nägu, silma pilgutav nägu, silmapilgutus
😊	naeratavate silmadega naerunägu, naeratus, nägu, punastamine, silm
😇	aupaistega naerunägu, fantaasia, halo, ingel, muinasjutt, naeratus, nägu, süütu
🥰	armunud, imetlev, naeratav kolme südamega nägu, sisse võetud
😍	armastus, naeratus, nägu, silm, süda, südamekujuliste silmadega naerunägu
🤩	nägu, silmad, staar, staariga silmitsi, suu kõrvuni
😘	nägu, suudlus, suudlust saatev nägu, süda
😗	nägu, suudlev nägu, suudlus
☺️	naeratus, naerunägu, nägu, piirjoon, rahulik
😚	nägu, silm, suletud, suletud silmadega suudlev nägu, suudlus
😙	naeratavate silmadega suudlev nägu, naeratus, nägu, silm, suudlus
😋	maitsev, maitsvat toitu nautija nägu, naeratus, nautimine, nägu
😛	keel, nägu, suust väljas keelega nägu
😜	keel, nali, nägu, silm, silmapilgutus, suust väljas keelega ja silma pilgutav nägu
🤪	pöörase ilmega nägu, silm, suur, väike
😝	keel, maitse, nägu, silm, suust väljas keelega ja suletud silmadega nägu, õudne
🤑	nägu, nägu, millel on raha suus, raha, suu
🤗	kallistamine, kallistav nägu, kallistus, nägu
🤭	kätt suul hoidev nägu, ups
🤫	kuss!, sõrme suul hoidev nägu, vaikust
🤔	mõtlemine, mõtlev nägu, nägu
🤐	nägu, suu, tõmblukk, tõmblukusuuga nägu
🤨	kergitatud kulmudega nägu, skeptiline, umbusaldav
😐️	erapooletu nägu, neutraalne, nägu, surmtõsine
😑	ilmetu, ilmetu nägu, mittemidagiütlev, nägu, väheütlev
😶	ilma suuta nägu, nägu, suu, vaikne, vaikus
😏	irvitus, muigav nägu, nägu
😒	nägu, põlglik, põlglik nägu, õnnetu
🙄	nägu, pööritamine, pööritavate silmadega nägu, silmad
😬	grimass, grimassitav nägu, nägu
🤥	nägu, vale, valetav nägu
😌	kergendus, kergendust tundev nägu, nägu
😔	mõtlik, mõtlik nägu, nukker, nägu
😪	magamine, nägu, unine nägu
🤤	ila, ilastav nägu, nägu
😴	magav nägu, nägu, uni, zzz
😷	arst, haige, kirurgimaskiga kaetud nägu, külm, mask, nägu, ravim
🤒	haige, kraadiklaas, kraadiklaasiga nägu, nägu
🤕	kinniseotud, kinniseotud peaga nägu, nägu, side, vigastus
🤢	iiveldus, iiveldust tundev nägu, nägu, okse
🤮	iiveldus, okse, oksendav nägu
🤧	aevastav nägu, aevastus, nägu, terviseks
🥵	higistav, higistav nägu, kuumarabandus, näost punane, palavikuline
