😀	դեմք, ծիծաղող դեմք, քմծիծաղել
😃	բաց, բերան, դեմք, ժպտալ, ժպտացող դեմք բաց բերանով
😄	աչք, բաց, բերան, դեմք, ժպտալ, ժպտացող դեմք բաց բերանով և ժպտացող աչքերով
😁	աչք, դեմք, ժպտալ, ծիծաղող դեմք ժպտացող աչքերով, քմծիծաղել
😆	բաց, բերան, գոհ, դեմք, ժպտալ, ժպտացող դեմք բաց բերանով և ամուր փակած աչքերով, ծիծաղել
😅	բաց, դեմք, ժպտալ, ժպտացող դեմք բաց բերանով և սառը քրտինքով, սառը, քրտինք
🤣	գլորվել, դեմք, ծիծաղ, ծիծաղից գլորվում է
😂	արցունք, դեմք, դեմք ուրախության արցունքներով, ծիծաղել, ուրախություն
🙂	դեմք, թեթևակի ժպտացող դեմք, ժպտալ
🙃	գլխնիվայր, գլխնիվայր դեմք, դեմք
😉	աչքով անել, աչքով անող դեմք, դեմք
😊	աչք, դեմք, ժպտալ, ժպտացող դեմք ժպտացող աչքերով, շիկնել
😇	անմեղ, դեմք, ժպտալ, ժպտացող դեմք լուսապսակով, լուսապսակ, հեքիաթ, հրեշտակ, ֆանտազիա
🥰	ժպտացող դեմք սրտիկներով, սեր, սիրահարվածություն
😍	աչք, դեմք, ժպտալ, ժպտացող դեմք սրտաձև աչքերով, սեր, սիրտ
🤩	աչքեր, աչքերում աստղեր, աստղեր, դեմք, ծիծաղ
😘	դեմք, համբույր ուղարկող դեմք, համբուրել, սիրտ
😗	դեմք, համբույր, համբուրող դեմք
☺️	անկաշկանդ, դեմք, ժպտալ, ժպտացող դեմք
😚	աչք, դեմք, համբուրել, համբուրող դեմք փակ աչքերով, փակ
😙	աչք, դեմք, ժպտալ, համբուրել, համբուրող դեմք ժպտացող աչքերով
😋	դեմք, ժպտալ, համեղ, համեղ ուտելիք վայելող դեմք, նյամ, վեյելել
😛	դեմք, լեզու, լեզու հանած դեմք
😜	աչք, աչքով անել, դեմք, լեզու, լեզու հանած և աչքով անող դեմք, կատակել
🤪	աչք, խենթ դեմք, մեծ, փոքր
😝	աչք, դեմք, լեզու, լեզու հանած և ամուր փակած աչքերով դեմք, համ, սարսափելի
🤑	բերան, դեմք, թղթադրամը բերանին դեմք, փող
🤗	գրկախառնում, գրկախառնվել, գրկող դեմք, դեմք
🤭	ձեռքը բերանին դեմք, վայ
🤫	«սուս» անող դեմք, լուռ, լռություն, սուս
🤔	դեմք, մտածող, մտածող դեմք
🤐	բերան, դեմք, ճարմանդ, ճարմանդավոր բերանով դեմք
🤨	անհավատ, բարձրացրած հոնքով դեմք, կասկածանք
😐️	անվրդով, դեմք, չեզոք, չեզոք դեմք
😑	անարտահայտիչ, անհույզ դեմք, առանց էմոցիաների, դեմք, ոչինչ չարտահայտող
😶	առանց բերանի դեմք, բերան, դեմք, լուռ, հանգիստ
😏	դեմք, կեղծ ժպտալ, կեղծ ժպտացող դեմք
😒	անտրամադիր, անտրամադիր դեմք, դեմք, դժբախտ
🙄	աչքեր, դեմք, պտտվող, պտտվող աչքերով դեմք
😬	դեմք, ծամածռություն, ծամածռվող դեմք
🤥	դեմք, խաբող դեմք, պինոկիո, սուտ
😌	դեմք, թեթևացած, թեթևացած դեմք
😔	դեմք, մռայլված, մտածկոտ, մտածկոտ դեմք
😪	դեմք, քնատ դեմք, քնել
🤤	դեմք, խլնքոտ, փսլնքոտ, փսլնքոտ դեմք
😴	դեմք, խռռ, քնած դեմք, քնել
😷	բժիշկ, բժշկական, բժշկական դիմակով դեմք, դեմք, դիմակ, հիվանդ, սառը
🤒	դեմք, հիվանդ, ջերմաչափ, ջերմաչափով դեմք
🤕	գլխակապով դեմք, դեմք, վիրակապ, վնասվածք
🤢	դեմք, սիրտը խառնում է, սրտխառնոց, փսխում
🤮	սրտխառնոց, փսխող դեմք, փսխում
🤧	դեմք, փռշտացող դեմք, փռշտոց
🥵	կարմիր դեմք, հիվանդ, շոգ, շոգած դեմք, ջերմություն, տաքություն, տենդ
🥶	կապտած, մրսած, մրսած դեմք, սառած, ցուրտ
🥴	գլխապտույտ, գլխապտույտով դեմք, սրտխառնոց, վատ զգացողություն
😵	գլխապտույտ, գլխապտույտ ունեցող դեմք, դեմք
🤯	ապշած, պայթող գլուխ
🤠	գլխարկ, դեմք, կովբոյ, կովբոյի դեմք
🥳	գլխարկ, խնջույք, խնջույք անող դեմք, ուրախություն, տոն
😎	ակնոց, աչք, արև, արևային ակնոց, դեմք, եղանակ, զիլ, ժպտալ, ժպտացող դեմք արևային ակնոցով, պայծառ
🤓	գերազանցիկ, գերազանցիկի դեմք, դեմք, խելացի
🧐	բարձրամիտ, խստաբարո, մոնոկլով դեմք
😕	դեմք, շփոթված, շփոթված դեմք
😟	անհանգստացած, անհանգստացած դեմք, դեմք
🙁	դեմք, թեթևակի խոժոռված դեմք, խոժոռված
☹️	դեմք, խոժոռված, խոժոռված դեմք
😮	բաց, բաց բերանով դեմք, բերան, դեմք, համակրանք
😯	ապշած, դեմք, զարմացած, սաստված, սաստված դեմք
😲	ամբողջովին, ապշահար, ապշահար դեմք, դեմք, ցնցված
😳	դեմք, հիացած, շիկնած, շիկնած դեմք
🥺	աղաչող, աղաչող դեմք, արցունքներ, խնդրող
😦	բաց, բաց բերանով խոժոռված դեմք, բերան, դեմք, խոժոռված
😧	դեմք, վշտահար, վշտահար դեմք
