😀	cerenje, lice
😃	kez, lice, osmijeh, otvorena usta
😄	kez sa škiljenjem, lice, osmijeh, oči, usta
😁	cerenje, cerenje sa škiljenjem, lice, škiljenje
😆	kez žmireći, lice, smijeh, zadovoljstvo
😅	hladan znoj, kez uz hladan znoj, lice, osmijeh
🤣	lice, pod, smijeh, valjanje, valjanje od smijeha
😂	lice, plakanje od smijeha, radost, smijeh, suza
🙂	diskretni osmijeh, lice, osmijeh
🙃	lice, naglavačke, obrnuto
😉	lice, mig, namigivanje
😊	lice, oko, osmijeh, rumen, širok osmijeh
😇	anđeo, fantazija, nevin, oreol, oreol iznad glave
🥰	nasmijano lice sa srcima, obožavanje, zaljubiti se, zaljubljenost
😍	lice, ljubav, osmijeh, osmijeh sa srcima u očima, srce
🤩	cerenje, lice, oči, zvijezda, zvjezdane oči
😘	lice, poljubac, slanje poljupca, srce
😗	davanje poljupca, lice, poljubac
☺️	lice, opušten, osmijeh
😚	lice, oko, poljubac, poljubac žmireći, žmirenje
😙	lice, oko, osmijeh, poljubac, poljubac sa škiljenjem
😋	lice, njam njam, oblizivanje, ukusno, žderanje
😛	isplažen, jezik, lice, ruganje
😜	jezik, lice, mig, ruganje sa namigivanjem, šala
🤪	ludilo, malo, oko, veliko
😝	lice, oko, ruganje žmireći, strašan, ukus
🤑	lice, lice s novčanicama, novčanice, pare
🤗	lice, zagrliti, zagrljaj
🤭	opa, ruka preko usta, ups
🤫	psst, tišina, ušutkivanje, šuti
🤔	lice, razmišljanje
🤐	lice, usta, začepljena, šuti ko zaliven
🤨	nepovjerljiv, podignuta obrva, skeptičan
😐️	indiferentno, indiferentnost, lice, neutralno
😑	bezizražajan, bezizražajnost, lice
😶	lice, lice bez usta, tiho, usta, šutnja
😏	lice, smješkanje, zlobno, zlobno smješkanje
😒	lice, nesretan, nezainteresovanost, smor, smorenost
🙄	kolutanje, kolutanje očima, lice, oči
😬	grimasa, lice
🤥	laganje, laž, lice, pinokio
😌	lice, olakšanje, rasterećenje
😔	bezvoljan, potišten, utučen, zamišljen, zamišljenost
😪	lice, pospanost, umor
🤤	lice, slina, slinjenje
😴	lice, lice koje spava, spavanje, zzz
😷	bolest, doktor, maska, nosi medicinsku masku
🤒	bolestan, lice, nezdrav, toplomjer, toplomjer u ustima
🤕	bol, lice, povreda, zavoj, zavoj na glavi
🤢	lice, muka, povraćanje
🤮	muka, povraćanje
🤧	kihanje, lice, nazdravlje
🥵	crveno lice, groznica, pregrijano lice, toplotni udar, vruće, znoj
🥶	hladnoća, ledenice, ledeno lice, plavo lice, promtzlina, smrzavanje
🥴	intoksikacija, iskrivljena usta, nejednake oči, ošamućeno lice, pripitost, vrtoglavica
😵	lice, vrtoglavica
🤯	eksplodirajuća glava, šok
🤠	kauboj, lice, šešir
🥳	lice koje se zabavlja, party, proslava, slavlje, zabava, šešir
😎	fora, naočale, osmijeh sa sunčanim naočalama, sunčane naočale, svjetlost
🤓	lice, čudak, štreber
🧐	monokl, začepljen
😕	lice, zbunjen, zbunjenost
😟	lice, zabrinutost
🙁	diskretna namrštenost, lice, mrštenje
☹️	lice, mrštenje, namrštenost
😮	lice, usta, zinuo, šokiranost
😯	iznenađen, lice, nijem, zanijemio, zapanjen
😲	lice, totalno, zapanjen, zapanjenost, zatečen
😳	ispran, ispranost, lice, omama, ošamućen
🥺	milost, molećiv, molećivo lice, pseći pogled
😦	mrštenje, namrštenost s otvorenim ustima, otvorena, usta
😧	izmučenost, lice, mučenje
😨	plašenje, plašljivost, prepad, strah
😰	hladan, otvorena usta i hladan znoj, plav, usta, znoj
😥	lice, olakšanje, olakšavajuće razočarenje, razočarenje
😢	lice, plakanje, plač, suza, tuga
😭	glasan plač, jecanje, lice, plakanje, tuga
😱	prestrašen, strah, strašljiv, vrištanje od straha
😖	lice, potpuna rezigniranost, rezigniranost
😣	lice, ustrajni pogled, ustrajnost
😞	lice, razočaranost, razočarenje
😓	hladan, lice, oblivenost hladnim znojem, znoj
😩	iscrpljen, iscrpljenost, lice, umoran
😫	lice, umor, umoran
🥱	dosada, umor, zijevanje
😤	bijes, huja, lice, ljutnja
😡	bijes, crven, durenje, ljutnja, lud
😠	lice, ljut, ljutnja
🤬	psovke, znakovi na ustima
😈	fantazija, rogovi, smiješak, vragolasto smješkanje
👿	fantazija, lice, vrag, đavo, đavoljak
💀	lobanja, smrt, tijelo, čudovište
☠️	kosti, lobanja, lobanja i ukrštene kosti, smrt, čudovište
💩	humor, izmet, kaka, lice, čudovište
🤡	klaun, lice
👹	fantazija, japansko, ljudožder, stvorenje, čudovište
👺	fantazija, goblin, japansko, stvorenje, čudovište
👻	duh, fantazija, stvorenje, čudovište
👽️	fantazija, nlo, stvorenje, svemir, vanzemaljac
👾	fantazija, nlo, stvorenje, svemir, vanzemaljac, vanzemaljsko čudovište
🤖	lice, robot, čudovište
😺	maca sa otvorenim ustima, mačka, osmijeh, otvorena, usta
😸	cerenje, maca koja se ceri, mačka, oko, osmijeh
😹	maca koja plače od smijeha, mačka, oko, radost, suza
😻	ljubav, maca sa srcima u očima, mačka, osmijeh, srce
😼	ironija, iskrivljen, kiseo, maca sa kiselim osmijehom, mačka
😽	lice, maca šalje poljubac zatvorenih očiju, mačka, oko, poljubac
🙀	iscrpljen, iscrpljena maca, mačka, uh, umoren
😿	maca plače, mačka, plakanje, suza, tužna
😾	durenje, lice, maca se duri, mačka
🙈	lice, majmun, ne vidim, zabranjeno, zlo
🙉	lice, majmun, ne čujem, zabranjeno, zlo
🙊	lice, majmun, ne govorim, zabranjeno, zlo
💋	otisak poljupca, poljubac, usne
💌	ljubav, ljubavno pismo, pismo, srce
💘	kupid, srce, srce probodeno strijelom, strijela
💝	mašnica, srce, srce s mašnicom
💖	iskra, srce, svjetlucavo srce, uzbuđenje
💗	nervoza, puls, raste, uvećano srce, uzbuđenje
💓	otkucaji srca, pulsiranje, srce, srce koje kuca
💞	kretanje, srca, više srca se okreće
💕	dva srca, ljubav, srce
💟	srce, srce ukras
❣️	simbol, srce, uzvičnik, uzvičnik u obliku srca, znak
💔	patnja, slomljeno, slomljeno srce, srce
❤️	crveno srce, srce
🧡	narandžasta, narandžasto srce, srce
💛	srce, žuta, žuto srce
💚	srce, zelena, zeleno srce
💙	plava, plavo srce, srce
💜	ljubičasta, ljubičasto srce, srce
🤎	smeđa, smeđe srce, srce
🖤	crno, iskvareno, srce, zlo
🤍	bijela, bijelo srce, srce
💯	100, poeni, pun, sto, sto poena
💢	bijes, ljutnja, simbol ljutnje, stripovi
💥	eksplozija, stripovi
💫	ošamutiti, ošamućen, stripovi
💦	kapljice znoja, stripovi, znoj
💨	bježanje, pobjeći, stripovi
🕳️	rupa
💣️	bomba, stripovi
💬	dijalog, oblačić, oblačić razgovora, razgovor, stripovi
👁‍🗨	motrenje, oblačić razgovora, oko, oko u oblačiću razgovora
🗨️	dijalog, oblačić razgovora okrenut nalijevo, razgovor
🗯️	dijalog, ljutnja, oblačić, oblačić ljutitog razgovora okrenut nadesno, razgovor
💭	dijalog, oblačić, oblačić razmišljanja, razmišljanje, stripovi
💤	spavanje, stripovi, zzz
👋	mahanje, mahanje rukom, ruka
👋🏻	mahanje, mahanje rukom, mahanje rukom: svijetla boja kože, ruka, svijetla boja kože
👋🏼	mahanje, mahanje rukom, mahanje rukom: umjereno svijetla boja kože, ruka, umjereno svijetla boja kože
👋🏽	mahanje, mahanje rukom, mahanje rukom: umjerena boja kože, ruka, umjerena boja kože
👋🏾	mahanje, mahanje rukom, mahanje rukom: umjereno tamna boja kože, ruka, umjereno tamna boja kože
👋🏿	mahanje, mahanje rukom, mahanje rukom: tamna boja kože, ruka, tamna boja kože
🤚	dlan, podignuto, ruka, ruka gore, uspravno
🤚🏻	dlan, podignuto, ruka, ruka gore, ruka gore: svijetla boja kože, svijetla boja kože, uspravno
