😀	roześmiana buźka, szeroko uśmiechnięta twarz
😃	uśmiech, uśmiechnięta twarz z otwartymi ustami, wesoły
😄	uśmiech, uśmiechnięta twarz z otwartymi ustami i roześmianymi oczami, wesoły
😁	szeroko uśmiechnięta twarz o roześmianych oczach, uśmiech, wyszczerzone, zęby, śmiech
😆	satysfakcja, uśmiech, uśmiechnięta twarz z przymrużonymi oczami, wesoły
😅	kropla potu, uśmiech, uśmiechnięta twarz z otwartymi ustami, oblana zimnym potem, wesoły
🤣	kulać się, tarza się ze śmiechu, śmiech
😂	twarz ze łzami radości, łzy, śmiech
🙂	buźka, lekko uśmiechnięta twarz
🙃	do góry nogami, odwrócona twarz
😉	puszczać oko, twarz puszczająca oko
😊	przyjazny, serdeczny, uśmiech, uśmiechnięta twarz o roześmianych oczach
😇	nic nie zrobiłem, uśmiechnięta twarz z aureolą, świętoszek
🥰	uwielbienie, uśmiechnięta buźka z sercami, uśmiechnięta twarz z 3 sercami, zadurzenie, zakochany
😍	buźka, kocham, serca, uśmiech, uśmiechnięta twarz z oczami w kształcie serca, zakochany
🤩	buźka, gwiazdy, zafascynowanie, zafascynowany
😘	całus, kocham, twarz przesyłająca całusa, ślę całusa
😗	całująca twarz, całus, ślę całusa
☺️	buźka, uśmiech, uśmiechnięta twarz, zrelaksowany
😚	całująca twarz z zamkniętymi oczami, całus, ślę całusa
😙	całująca twarz o roześmianych oczach, całus, ślę całusa
😋	oblizywać się, twarz delektująca się pysznym jedzeniem
😛	buźka pokazująca język, twarz wystawiająca język
😜	język, mrugnięcie, pokazuję język, twarz wystawiająca język i puszczająca oko
🤪	duże, małe, oko, szalona twarz
😝	język, okropne, pokazywać język, smak, twarz ze zmrużonymi oczami wystawiająca język, zamknięte oczy
🤑	hajs, kasa, pieniądze, twarz, twarz z pieniędzmi na ustach
🤗	twarz z gestem przytulania, uśmiech, ściskam
🤭	twarz z ręką na ustach, ups
🤫	cicho, uciszająca twarz, uciszać
🤔	buźka, myśląca twarz, myślę, zamyślony, zastanawiam się
🤐	buzia na kłódkę, nic nie powiem, twarz z zamkiem błyskawicznym na ustach
🤨	brew, buźka, sceptyczny, twarz z podniesioną brwią
😐️	hm, neutralna twarz, nic, nie mam zdania
😑	nic, nie mam zdania, nie obchodzi mnie, twarz bez wyrazu
😶	buźka, cisza, nic nie mówię, twarz bez ust
😏	twarz z uśmieszkiem, uśmieszek
😒	niezadowolona buźka, niezadowolona twarz
🙄	buźka, przewracam oczami, twarz przewracająca oczami
😬	grymaśna buźka, twarz z grymasem
🤥	długi nos, kłamać, pinokio, twarz kłamcy
😌	odprężona buźka, twarz z wyrazem ulgi
😔	zamyślona buźka, zamyślona twarz
😪	senna twarz, śpiąca buźka
🤤	ślina, śliniąca się twarz, ślinka
😴	sen, spanie, twarz, zzz, śpiąca twarz
😷	choroba, lekarz, maska, operacja, pielęgniarka, twarz, twarz w masce medycznej
🤒	choroba, gorączka, temperatura, termometr, twarz z termometrem
🤕	bandaż, czoło, głowa, rana, skaleczenie, twarz z bandażem
🤢	mdłości, twarz z mdłościami, wymiotować
🤮	chory, wymiotująca twarz, wymioty
🤧	katar, kichająca twarz, kichać, na zdrowie, smarkanie
🥵	czerwona twarz, rozgrzana twarz, rozpalony, spocony, uderzenie gorąca, upał
🥶	mróz, niebieska twarz, odmrożenie, sopel lodu, zimno, zmarznięta twarz
🥴	faliste usta, nierówne oczy, odurzony, oszołomiony, wstawiony, zamroczona twarz
😵	oszołomiona twarz, oszołomiony
🤯	eksplodująca głowa, szok
🤠	głowa w kapeluszu kowbojskim, kapelusz, kowboj, kowbojka
🥳	czapeczka, przyjęcie, trąbka, świętowanie, świętująca twarz
😎	luzak, na luzie, okulary, uśmiechnięta twarz w okularach przeciwsłonecznych, zadowolony
🤓	buźka w okularach, inteligent, kujon
🧐	twarz z monoklem, wyniosły
😕	zakłopotana buźka, zdezorientowana twarz
😟	zmartwiona buźka, zmartwiona twarz
🙁	grymas, lekko zachmurzona twarz, niezadowolenie
☹️	grymas, niezadowolenie, zachmurzona twarz
😮	twarz z otwartymi ustami, zaskoczenie, zaskoczona buźka
😯	zaskoczenie, zaskoczona buźka, zdumiona twarz
😲	zadziwiona twarz, zaskoczenie, zaskoczona buźka
