👫	couple, hand, hold, man, man and woman holding hands, woman, woman and man holding hands
👫🏻	couple, hand, hold, light skin tone, man, man and woman holding hands, woman, woman and man holding hands
👩🏻‍🤝‍👨🏼	couple, hand, hold, light skin tone, man, man and woman holding hands, medium-light skin tone, woman, woman and man holding hands
👩🏻‍🤝‍👨🏽	couple, hand, hold, light skin tone, man, man and woman holding hands, medium skin tone, woman, woman and man holding hands
👩🏻‍🤝‍👨🏾	couple, hand, hold, light skin tone, man, man and woman holding hands, medium-dark skin tone, woman, woman and man holding hands
👩🏻‍🤝‍👨🏿	couple, dark skin tone, hand, hold, light skin tone, man, man and woman holding hands, woman, woman and man holding hands
👩🏼‍🤝‍👨🏻	couple, hand, hold, light skin tone, man, man and woman holding hands, medium-light skin tone, woman, woman and man holding hands
👫🏼	couple, hand, hold, man, man and woman holding hands, medium-light skin tone, woman, woman and man holding hands
👩🏼‍🤝‍👨🏽	couple, hand, hold, man, man and woman holding hands, medium skin tone, medium-light skin tone, woman, woman and man holding hands
👩🏼‍🤝‍👨🏾	couple, hand, hold, man, man and woman holding hands, medium-dark skin tone, medium-light skin tone, woman, woman and man holding hands
👩🏼‍🤝‍👨🏿	couple, dark skin tone, hand, hold, man, man and woman holding hands, medium-light skin tone, woman, woman and man holding hands
👩🏽‍🤝‍👨🏻	couple, hand, hold, light skin tone, man, man and woman holding hands, medium skin tone, woman, woman and man holding hands
👩🏽‍🤝‍👨🏼	couple, hand, hold, man, man and woman holding hands, medium skin tone, medium-light skin tone, woman, woman and man holding hands
👫🏽	couple, hand, hold, man, man and woman holding hands, medium skin tone, woman, woman and man holding hands
👩🏽‍🤝‍👨🏾	couple, hand, hold, man, man and woman holding hands, medium skin tone, medium-dark skin tone, woman, woman and man holding hands
👩🏽‍🤝‍👨🏿	couple, dark skin tone, hand, hold, man, man and woman holding hands, medium skin tone, woman, woman and man holding hands
👩🏾‍🤝‍👨🏻	couple, hand, hold, light skin tone, man, man and woman holding hands, medium-dark skin tone, woman, woman and man holding hands
👩🏾‍🤝‍👨🏼	couple, hand, hold, man, man and woman holding hands, medium-dark skin tone, medium-light skin tone, woman, woman and man holding hands
👩🏾‍🤝‍👨🏽	couple, hand, hold, man, man and woman holding hands, medium skin tone, medium-dark skin tone, woman, woman and man holding hands
👫🏾	couple, hand, hold, man, man and woman holding hands, medium-dark skin tone, woman, woman and man holding hands
👩🏾‍🤝‍👨🏿	couple, dark skin tone, hand, hold, man, man and woman holding hands, medium-dark skin tone, woman, woman and man holding hands
👩🏿‍🤝‍👨🏻	couple, dark skin tone, hand, hold, light skin tone, man, man and woman holding hands, woman, woman and man holding hands
👩🏿‍🤝‍👨🏼	couple, dark skin tone, hand, hold, man, man and woman holding hands, medium-light skin tone, woman, woman and man holding hands
👩🏿‍🤝‍👨🏽	couple, dark skin tone, hand, hold, man, man and woman holding hands, medium skin tone, woman, woman and man holding hands
👩🏿‍🤝‍👨🏾	couple, dark skin tone, hand, hold, man, man and woman holding hands, medium-dark skin tone, woman, woman and man holding hands
👫🏿	couple, dark skin tone, hand, hold, man, man and woman holding hands, woman, woman and man holding hands
🪴	boring, grow, house, nurturing, plant, potted plant, useless
🫑	bell pepper, capsicum, pepper, vegetable
🩴	beach sandals, flip-flop, sandals, thong sandal, thong sandals, thongs, zōri
