😀	დაკრეჭა, დაკრეჭილი, დაკრეჭილი სახე, სახე
😃	მომღიმარე სახე ღია პირით, პირი, პირღია, სახე, ღია, ღიმილი
😄	თვალი, მომღიმარე სახე ღია პირითა და მომღიმარე თვალებით, პირი, პირღია, სახე, ღია, ღიმილი
😁	დაკრეჭა, დაკრეჭილი, დაკრეჭილი სახე მომღიმარე თვალებით, თვალი, სახე, ღიმილი
😆	კმაყოფილი, მომღიმარე სახე ღია პირითა და მაგრად დახუჭული თვალებით, პირი, პირღია, სახე, სიცილი, ღია, ღიმილი
😅	მომღიმარე სახე ღია პირითა და ცივი ოფლით, ოფლი, ოფლიანი, პირღია, სახე, ღია, ღიმილი, ცივი
🤣	იატაკი, სახე, სიცილი, სიცილისგან იატაკზე ხოხვა, ხოხვა
😂	მხიარული, სახე, სახე სიხარულის ცრემლებით, სიცილი, სიხარული, ცრემლი, ცრემლიანი
🙂	ოდნავ მომღიმარე სახე, სახე, ღიმილი
🙃	ამოტრიალებული, ამოტრიალებული სახე, სახე
😉	სახე, სახე ჩაკრული თვალით, ჩაკვრა, ჩაპაჭუნება
😊	თვალი, მომღიმარე სახე მომღიმარე თვალებით, სახე, სირცხვილი, უხერხულობა, ღიმილი
😇	ანგელოზი, ზღაპარი, მომღიმარე სახე შარავანდედით, სახე, უდანაშაულო, უმანკო, ფანტაზია, ფანტასტიკა, ღიმილი, შარავანდედი
🥰	გაღმერთება, თაყვანისცემა, მომღიმარე სახე სამი გულით, შეყვარებული
😍	გული, თვალი, მომღიმარე სახე გულის ფორმის თვალებით, სახე, სიყვარული, ღიმილი
🤩	დაკრეჭილი, ვარსკვლავი, ვარსკვლავიანი სახე, თვალები, სახე
😘	გული, კოცნა, სახე, სახე, რომელიც კოცნას აგზავნის
😗	კოცნა, კოცნის გამომხატველი სახე, სახე
☺️	კონტურიანი, მომღიმარე სახე, მშვიდი, სახე, ღიმილი
😚	დახურული, თვალი, კოცნა, კოცნის გამომხატველი სახე დახუჭული თვალებით, სახე
😙	თვალი, კოცნა, კოცნის გამომხატველი სახე მომღიმარე თვალებით, სახე, ღიმილი
😋	გემრიელი, დაგემოვნება, მმმ, სახე, სახე, რომელიც გემრიელ საჭმელს აგემოვნებს, ღიმილი
😛	ენა, სახე, სახე გამოყოფილი ენით
😜	ენა, თვალი, სახე, სახე გამოყოფილი ენითა და ჩაკრული თვალით, ჩაკვრა, ჩაპაჭუნება, ხუმრობა
🤪	გაგიჟებული, დიდი, პატარა, სახე, შეშლილი, შეშლილი სახე
😝	გემო, ენა, თვალი, საშინელი, სახე, სახე გამოყოფილი ენითა და მაგრად დახუჭული თვალებით
🤑	პირი, სახე, სახე ენაზე ფულით, ფული
🤗	სახე, ჩახუტება, ჩახუტების გამომხატველი სახე
🤭	ვაი, სახეზე აფარებული ხელი, უი
🤫	გაჩუმების ჟესტი, სიჩუმე, სუუ, შშშ, ჩუ, ჩუმად
🤔	სახე, ფიქრი, ჩაფიქრებული სახე
🤐	ელვა, ელვა-შესაკრავიანი სახე, პირი, სახე
🤨	ეჭვი, სკეპტიკური, უნდობლობა, წარბაწეული სახე
😐️	ნეიტრალური, ნეიტრალური სახე, სახე, უემოციო
😑	არაფრის მთქმელი, არაფრისმთქმელი, სახე, უემოციო, უემოციო სახე
😶	პირი, სახე, სიჩუმე, სიწყნარე, უპირო სახე
😏	დამცინავი სახე, დაცინვა, სახე
😒	სახე, უხალისო, უხალისო სახე, ცალყბა
🙄	გადატრიალება, თვალები, სახე, სახე გადატრიალებული თვალებით
😬	დამანჭვა, დამანჭული სახე, სახე
🤥	მატყუარა სახე, პინოქიო, სახე, ტყუილი
😌	სახე, შვება, შვების გამომხატველი სახე
😔	დამწუხრებული, კალამი, სახე, ფიქრებში ჩაძირული სახე, ფიქრიანი
😪	სახე, ძილი, ძილმორეული სახე
🤤	დორბლიანი, დორბლიანი სახე, სახე
😴	zzz, მძინარე სახე, სახე, ძილი
😷	ავადმყოფი, გაციებული, ექიმი, მედიცინა, ნიღაბი, სახე, სახე სამედიცინო ნიღბით
🤒	ავადმყოფობა, თერმომეტრი, სახე, სახე თერმომეტრით
🤕	ბინტი, ნატკენი, სახე, სახე თავზე ბინტით, ტრავმა
🤢	გულისრევა, სახე, ღებინება
🤮	გულისრევა, ღებინება
🤧	სახე, სიცოცხლე, ცემინება
🥵	დასიცხული, სიცხიანი, ცხელი, ცხელი სახე
🥶	გაყინვა, ლურჯი სახე, ყინული, ცივი, ცივი სახე
🥴	თავბრუდახვეული სახე, თავბრუსხვევა, მოწამლული, ნასვამი
😵	გაბრუებული, გაბრუებული სახე, სახე
🤯	აფეთქებული თავი, დაშოკილი
🤠	კოვბოი, კოვბოი გოგონა, სახე, სახე კოვბოის ქუდით, ქუდი
🥳	ზეიმი, მოზეიმე სახე, ფართი, ქუდი, წვეულება
😎	ამინდი, თვალი, კაშკაშა, მზე, მზის სათვალე, მომღიმარე სახე მზის სათვალით, სათვალე, სახე, ტიპი, ღიმილი
🤓	ნერდი, სახე, სულელური სახე
🧐	მკაცრი, პედანტი, სახე მონოკლით, წესრიგიანი
😕	დაბნეული, დაბნეული სახე, სახე
😟	აღელვებული, აღელვებული სახე, სახე
🙁	ოდნავ შეჭმუხნილი სახე, სახე, შეკრული, შეჭმუხნილი
☹️	სახე, შეკრული, შეჭმუხნილი, შეჭმუხნილი სახე
😮	თანაგრძნობა, პირი, პირღია, სახე, სახე ღია პირით, ღია
😯	გაოგნებული, გაოცებული, გაოცებული სახე, სახე
😲	გაკვირვებული, გაკვირვებული სახე, სახე, შოკირებული
😳	გაწითლებული, გაწითლებული სახე, სახე, წითელი
🥺	ვედრება, ლეკვის გამოხედვა, მოწყალება, შემოვედრება
😦	პირი, პირღია, სახე, ღია, შეკრული, შეჭმუხნილი, შეჭმუხნილი სახე ღია პირით
😧	სახე, ტანჯული, ტანჯული სახე
😨	სახე, შეშინებული, შეშინებული სახე, შიში
😰	ლურჯი, ოფლი, ოფლიანი, პირი, პირღია, სახე, სახე ღია პირითა და ცივი ოფლით, ღია, ცივი, ცისფერი
😥	იმედგაცრუებული, იმედგაცრუებული, მაგრამ შვების გამომხატველი სახე, სახე, შვება
😢	მტირალა სახე, მწუხარება, სახე, ტირილი, ცრემლი, ცრემლიანი
😭	მწუხარება, სახე, ტირილი, ქვითინი, ცრემლი, ცრემლიანი, ხმამაღლა მტირალა სახე
😱	კივილი, სახე, სახე, რომელიც შიშისგან კივის, შეშინებული, შიში
😖	სახე, შეცბუნებული, შეცბუნებული სახე
😣	სახე, შეუპოვარი სახე, შეუპოვრობა
😞	იმედგაცრუებული, იმედგაცრუებული სახე, სახე
😓	ოფლი, ოფლიანი, სახე, სახე ცივი ოფლით, ცივი
😩	დაქანცული, დაქანცული სახე, დაღლილი, სახე
😫	დაღლილი, დაღლილი სახე, სახე
